ID	SEMANTIC_CLASS_ID	CATEGORY	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SEMANTIC_CHANGE
Urban-2011-160-1	I	Natural and topological concepts	1	animal	619	ANIMAL	[5] «animal» > «bird» (8 polysemies, 8 overt markings)
Urban-2011-160-2	I	Natural and topological concepts	2	ashes	646	ASH	[10] «ashes» > «embers» (6 polysemies, 2 overt markings)
Urban-2011-160-3	I	Natural and topological concepts	3	bark	1204	BARK	
Urban-2011-160-4	I	Natural and topological concepts	4	bay	663	BAY	
Urban-2011-160-5	I	Natural and topological concepts	5	beak	73	BEAK	
Urban-2011-160-6	I	Natural and topological concepts	6	bird	937	BIRD	[45] «bird» > «airplane» (3 polysemies, 3 overt markings)
Urban-2011-160-7	I	Natural and topological concepts	7	bloom (blossom, flower)	239	FLOWER	[13] «bloom (blossom, flower)» > «bud» (3 polysemies, 4 overt markings)
Urban-2011-160-8	I	Natural and topological concepts	8	branch	1531	BRANCH	
Urban-2011-160-9	I	Natural and topological concepts	9	bud	1684	BUD	
Urban-2011-160-10	I	Natural and topological concepts	10	cave	1155	CAVE	
Urban-2011-160-11	I	Natural and topological concepts	11	clearing	2284	CLEARING	
Urban-2011-160-12	I	Natural and topological concepts	12	cloud	1489	CLOUD	[0] «cloud» > «fog/mist» (24 polysemies, 7 overt markings)
Urban-2011-160-13	I	Natural and topological concepts	13	coal	2658	COAL	
Urban-2011-160-14	I	Natural and topological concepts	14	coast	1525	COAST	
Urban-2011-160-15	I	Natural and topological concepts	15	dew	1977	DEW	
Urban-2011-160-16	I	Natural and topological concepts	16	dust	2	DUST	
Urban-2011-160-17	I	Natural and topological concepts	17	eclipse	2285	ECLIPSE	
Urban-2011-160-18	I	Natural and topological concepts	18	egg	744	EGG	[41] «egg» > «testicle» (20 polysemies, 9 overt markings)
Urban-2011-160-19	I	Natural and topological concepts	19	embers	67	EMBERS	
Urban-2011-160-20	I	Natural and topological concepts	20	estuary	2286	ESTUARY	
Urban-2011-160-21	I	Natural and topological concepts	21	feather	1201	FEATHER	
Urban-2011-160-22	I	Natural and topological concepts	22	flame	889	FLAME	
Urban-2011-160-23	I	Natural and topological concepts	23	flood	613	HIGH TIDE	
Urban-2011-160-24	I	Natural and topological concepts	24	foam	1768	FOAM	[46] «foam» > «lungs» (3 polysemies, 2 overt markings)
Urban-2011-160-25	I	Natural and topological concepts	25	fog/mist	249	FOG	
Urban-2011-160-26	I	Natural and topological concepts	26	forest	420	FOREST	
Urban-2011-160-27	I	Natural and topological concepts	27	gold	1369	GOLD	
Urban-2011-160-28	I	Natural and topological concepts	28	grass	606	GRASS	[2] «grass» > «straw/hay» (11 polysemies, 10 overt markings)
Urban-2011-160-29	I	Natural and topological concepts	29	headland	1662	CAPE	
Urban-2011-160-30	I	Natural and topological concepts	30	honey	942	HONEY	[16] «honey» > «wax» (2 polysemies, 4 overt markings)
Urban-2011-160-31	I	Natural and topological concepts	31	horizon	2287	HORIZON	
Urban-2011-160-32	I	Natural and topological concepts	32	horn	1393	HORN (ANATOMY)	
Urban-2011-160-33	I	Natural and topological concepts	33	lagoon	623	LAGOON	
Urban-2011-160-34	I	Natural and topological concepts	34	lake	624	LAKE	[6] «lake» > «swamp» (8 polysemies, 4 overt markings)
Urban-2011-160-35	I	Natural and topological concepts	35	lightning	1654	LIGHTNING	
Urban-2011-160-36	I	Natural and topological concepts	36	meteoroid (shooting/shining star)	2288	METEROID (SHOOTING OR SHINING STAR)	
Urban-2011-160-37	I	Natural and topological concepts	37	milk	635	MILK	[23] «milk» > «nipple» (5 polysemies, 4 overt markings)
Urban-2011-160-38	I	Natural and topological concepts	38	Milky Way	2289	MILKY WAY	
Urban-2011-160-39	I	Natural and topological concepts	39	moon	1313	MOON	
Urban-2011-160-40	I	Natural and topological concepts	40	mountain	639	MOUNTAIN	
Urban-2011-160-41	I	Natural and topological concepts	41	mushroom (fungus)	641	MUSHROOM	
Urban-2011-160-42	I	Natural and topological concepts	42	nest	539	NEST	
Urban-2011-160-43	I	Natural and topological concepts	43	plant	653	PLANT (VEGETATION)	
Urban-2011-160-44	I	Natural and topological concepts	44	puddle	2290	PUDDLE	
Urban-2011-160-45	I	Natural and topological concepts	45	rain	658	RAIN (PRECIPITATION)	
Urban-2011-160-46	I	Natural and topological concepts	46	rainbow	1733	RAINBOW	
Urban-2011-160-47	I	Natural and topological concepts	47	resin	664	RESIN	
Urban-2011-160-48	I	Natural and topological concepts	48	river/stream	666	RIVER	[18] «river/stream» > «flood» (2 polysemies, 2 overt markings)
Urban-2011-160-49	I	Natural and topological concepts	49	river bed	993	RIVER BED	
Urban-2011-160-50	I	Natural and topological concepts	50	root	670	ROOT	
Urban-2011-160-51	I	Natural and topological concepts	51	seed	714	SEED	[43] «seed» > «testicle» (6 polysemies, 6 overt markings)
Urban-2011-160-52	I	Natural and topological concepts	52	shadow	1388	SHADE	[44] «shadow» > «mirrow» (3 polysemies, 5 overt markings)
Urban-2011-160-53	I	Natural and topological concepts	53	sky	1732	SKY	
Urban-2011-160-54	I	Natural and topological concepts	54	smoke	778	SMOKE (EXHAUST)	[3] «smoke» > «fog/mist» (11 polysemies, 3 overt markings); [7] «smoke» > «dust» (8 polysemies, 4 overt markings); [8] «smoke» > «cloud» (7 polysemies, 2 overt markings)
Urban-2011-160-55	I	Natural and topological concepts	55	soil	1228	EARTH (SOIL)	
Urban-2011-160-56	I	Natural and topological concepts	56	spark	518	SPARK	
Urban-2011-160-57	I	Natural and topological concepts	57	spring/well	2144	SPRING OR WELL	
Urban-2011-160-58	I	Natural and topological concepts	58	star	1430	STAR	
Urban-2011-160-59	I	Natural and topological concepts	59	steam	1193	STEAM	[4] «steam» > «fog/mist» (9 polysemies, 2 overt markings)
Urban-2011-160-60	I	Natural and topological concepts	60	straw	2299	STRAW	
Urban-2011-160-61	I	Natural and topological concepts	61	sun	1343	SUN	[1] «sun» > «moon» (17 polysemies, 3 overt markings); [15] «sun» > «noon» (2 polysemies, 24 overt markings); [42] «sun» > «clock» (15 polysemies, 16 overt markings)
Urban-2011-160-62	I	Natural and topological concepts	62	swamp	1145	SWAMP	
Urban-2011-160-63	I	Natural and topological concepts	63	tail	1220	TAIL	
Urban-2011-160-64	I	Natural and topological concepts	64	thorn	124	THORN	
Urban-2011-160-65	I	Natural and topological concepts	65	thunder	1150	THUNDER	
Urban-2011-160-66	I	Natural and topological concepts	66	tree	906	TREE	[9] «tree» > «branch» (6 polysemies, 17 overt markings); [11] «tree» > «forest» (4 polysemies, 6 overt markings)
Urban-2011-160-67	I	Natural and topological concepts	67	valley	921	VALLEY	
Urban-2011-160-68	I	Natural and topological concepts	68	volcano	2291	VOLCANO	
Urban-2011-160-69	I	Natural and topological concepts	69	waterfall	943	WATERFALL	
Urban-2011-160-70	I	Natural and topological concepts	70	wave	978	WAVE	
Urban-2011-160-71	I	Natural and topological concepts	71	wax	1931	BEESWAX	
Urban-2011-160-72	I	Natural and topological concepts	72	whirlpool	1982	WHIRLPOOL	
Urban-2011-160-73	II	Artifacts	73	airplane	1597	AIRPLANE	
Urban-2011-160-74	II	Artifacts	74	ball	1845	BALL	
Urban-2011-160-75	II	Artifacts	75	bed	1663	BED	[40] «bed» > «nest» (2 polysemies, 2 overt markings)
Urban-2011-160-76	II	Artifacts	76	belt	772	BELT	
Urban-2011-160-77	II	Artifacts	77	boat	1844	BOAT	
Urban-2011-160-78	II	Artifacts	78	car	1111	CAR	[25] «car» > «train» (3 polysemies, 3 overt markings)
Urban-2011-160-79	II	Artifacts	79	chair	1476	CHAIR	
Urban-2011-160-80	II	Artifacts	80	clock	1323	CLOCK	
Urban-2011-160-81	II	Artifacts	81	glasses	1898	SPECTACLES	
Urban-2011-160-82	II	Artifacts	82	house	1252	HOUSE	[36] «house» > «nest» (7 polysemies, 14 overt markings)
Urban-2011-160-83	II	Artifacts	83	key	1472	KEY	
Urban-2011-160-84	II	Artifacts	84	knife	1352	KNIFE	
Urban-2011-160-85	II	Artifacts	85	ladder	1464	LADDER	
Urban-2011-160-86	II	Artifacts	86	mirror	1171	MIRROR	[27] «mirror» > «glasses» (2 polysemies, 9 overt markings)
Urban-2011-160-87	II	Artifacts	87	needle	1382	NEEDLE (FOR SEWING)	
Urban-2011-160-88	II	Artifacts	88	paper	648	PAPER	
Urban-2011-160-89	II	Artifacts	89	pen	794	PEN	
Urban-2011-160-90	II	Artifacts	90	rope	1218	ROPE	
Urban-2011-160-91	II	Artifacts	91	scissors	356	SHEARS	
Urban-2011-160-92	II	Artifacts	92	shoe	1381	SHOE	
Urban-2011-160-93	II	Artifacts	93	road/street/way	667	ROAD	[39] «road/street/way» > «Milky Way» (2 polysemies, 15 overt markings)
Urban-2011-160-94	II	Artifacts	94	table	1775	TABLE	
Urban-2011-160-95	II	Artifacts	95	toilet	219	TOILET	
Urban-2011-160-96	II	Artifacts	96	train	900	TRAIN	
Urban-2011-160-97	II	Artifacts	97	weapon	951	WEAPONS	
Urban-2011-160-98	II	Artifacts	98	window	1375	WINDOW	
Urban-2011-160-99	III	Body Parts and Body Fluids	99	Adam's apple	802	ADAM'S APPLE	
Urban-2011-160-100	III	Body Parts and Body Fluids	100	ankle	803	ANKLE	
Urban-2011-160-101	III	Body Parts and Body Fluids	101	beard	678	BEARD	
Urban-2011-160-102	III	Body Parts and Body Fluids	102	belly/stomach	2114	BELLY OR STOMACH	[21] «belly/stomach» > «womb» (11 polysemies, 6 overt markings); [30] «belly/stomach» > «navel» (2 polysemies, 3 overt markings)
Urban-2011-160-103	III	Body Parts and Body Fluids	103	bladder	1746	BLADDER	
Urban-2011-160-104	III	Body Parts and Body Fluids	104	blood	946	BLOOD	
Urban-2011-160-105	III	Body Parts and Body Fluids	105	bone	1394	BONE	[17] «bone» > «horn» (2 polysemies, 2 overt markings)
Urban-2011-160-106	III	Body Parts and Body Fluids	106	brain	1583	BRAIN	
Urban-2011-160-107	III	Body Parts and Body Fluids	107	breast	1402	BREAST	[19] «breast» > «milk» (43 polysemies, 30 overt markings)
Urban-2011-160-108	III	Body Parts and Body Fluids	108	buttocks	834	BUTTOCKS	
Urban-2011-160-109	III	Body Parts and Body Fluids	109	calf	498	CALF OF LEG	
Urban-2011-160-110	III	Body Parts and Body Fluids	110	cheek	1730	CHEEK	[31] «cheek» > «buttocks» (2 polysemies, 3 overt markings)
Urban-2011-160-111	III	Body Parts and Body Fluids	111	chin	1510	CHIN	
Urban-2011-160-112	III	Body Parts and Body Fluids	112	eyeball	3807	EYEBALL	
Urban-2011-160-113	III	Body Parts and Body Fluids	113	eyebrow	1173	EYEBROW	
Urban-2011-160-114	III	Body Parts and Body Fluids	114	eyelash	1540	EYELASH	
Urban-2011-160-115	III	Body Parts and Body Fluids	115	eyelid	17	EYELID	
Urban-2011-160-116	III	Body Parts and Body Fluids	116	finger	1303	FINGER	
Urban-2011-160-117	III	Body Parts and Body Fluids	117	fingernail	1258	FINGERNAIL	
Urban-2011-160-118	III	Body Parts and Body Fluids	118	guts	1334	GUTS	
Urban-2011-160-119	III	Body Parts and Body Fluids	119	heart	1223	HEART	[22] «heart» > «belly/stomach» (7 polysemies, 2 overt markings); [26] «heart» > «kidney» (3 polysemies, 3 overt markings); [28] «heart» > «lungs» (2 polysemies, 3 overt markings)
Urban-2011-160-120	III	Body Parts and Body Fluids	120	jaw	798	JAW	
Urban-2011-160-121	III	Body Parts and Body Fluids	121	kidney	489	KIDNEY	
Urban-2011-160-122	III	Body Parts and Body Fluids	122	lip	478	LIP	
Urban-2011-160-123	III	Body Parts and Body Fluids	123	liver	1224	LIVER	[24] «liver» > «lungs» (4 polysemies, 9 overt markings)
Urban-2011-160-124	III	Body Parts and Body Fluids	124	lungs	688	LUNG	
Urban-2011-160-125	III	Body Parts and Body Fluids	125	mouth	674	MOUTH	[20] «mouth» > «lip» (16 polysemies, 31 overt markings); [32] «mouth» > «cheeck» (2 polysemies, 3 overt markings); [34] «mouth» > «beak» (18 polysemies, 11 overt markings); [37] «mouth» > «estuary» (5 polysemies, 5 overt markings)
Urban-2011-160-126	III	Body Parts and Body Fluids	126	mucus	208	NASAL MUCUS (SNOT)	
Urban-2011-160-127	III	Body Parts and Body Fluids	127	navel	1838	NAVEL	
Urban-2011-160-128	III	Body Parts and Body Fluids	128	neck	1333	NECK	
Urban-2011-160-129	III	Body Parts and Body Fluids	129	nipple	796	NIPPLE	
Urban-2011-160-130	III	Body Parts and Body Fluids	130	nostrils	1178	NOSTRIL	
Urban-2011-160-131	III	Body Parts and Body Fluids	131	pupil	1658	PUPIL	
Urban-2011-160-132	III	Body Parts and Body Fluids	132	pus	1808	PUS	
Urban-2011-160-133	III	Body Parts and Body Fluids	133	rib	801	RIB	
Urban-2011-160-134	III	Body Parts and Body Fluids	134	saliva/spittle	1503	SALIVA	[35] «saliva/spittle» > «foam» (8 polysemies, 4 overt markings)
Urban-2011-160-135	III	Body Parts and Body Fluids	135	scar	497	SCAR	
Urban-2011-160-136	III	Body Parts and Body Fluids	136	skin	763	SKIN	[33] «skin» > «bark» (45 polysemies, 26 overt markings)
Urban-2011-160-137	III	Body Parts and Body Fluids	137	snot	208	NASAL MUCUS (SNOT)	
Urban-2011-160-138	III	Body Parts and Body Fluids	138	semen	2283	SEMEN	
Urban-2011-160-139	III	Body Parts and Body Fluids	139	sweat	2458	PERSPIRE OR SWEAT	
Urban-2011-160-140	III	Body Parts and Body Fluids	140	tear	1651	TEAR (OF EYE)	
Urban-2011-160-141	III	Body Parts and Body Fluids	141	tendon/sinew	1137	TENDON	
Urban-2011-160-142	III	Body Parts and Body Fluids	142	testicle	797	TESTICLES	
Urban-2011-160-143	III	Body Parts and Body Fluids	143	tongue	1205	TONGUE	[38] «tongue» > «flame» (2 polysemies, 24 overt markings)
Urban-2011-160-144	III	Body Parts and Body Fluids	144	tooth	1380	TOOTH	[29] «tooth» > «jaw» (2 polysemies, 2 overt markings)
Urban-2011-160-145	III	Body Parts and Body Fluids	145	urine	1142	URINE	
Urban-2011-160-146	III	Body Parts and Body Fluids	146	uvula	2293	UVULA	
Urban-2011-160-147	III	Body Parts and Body Fluids	147	vein	1924	VEIN	
Urban-2011-160-148	III	Body Parts and Body Fluids	148	womb	804	WOMB	
Urban-2011-160-149	III	Body Parts and Body Fluids	149	wrinkle	2294	WRINKLE	
Urban-2011-160-150	IV	Basic Temporal Concepts and Miscellanea	150	dawn	729	DAWN	
Urban-2011-160-151	IV	Basic Temporal Concepts and Miscellanea	151	day	1225	DAY (NOT NIGHT)	[12] «day» > «dawn» (3 polysemies, 20 overt markings); [14] «day» > «noon» (2 polysemies, 35 overt markings)
Urban-2011-160-152	IV	Basic Temporal Concepts and Miscellanea	152	dusk	2297	DUSK	
Urban-2011-160-153	IV	Basic Temporal Concepts and Miscellanea	153	night	1233	NIGHT	
Urban-2011-160-154	IV	Basic Temporal Concepts and Miscellanea	154	noon	12	MIDDAY	
Urban-2011-160-155	IV	Basic Temporal Concepts and Miscellanea	155	sunrise	2296	SUNRISE	
Urban-2011-160-156	IV	Basic Temporal Concepts and Miscellanea	156	sunset	2295	SUNSET	
Urban-2011-160-157	IV	Basic Temporal Concepts and Miscellanea	157	man (human being)	683	PERSON	
Urban-2011-160-158	IV	Basic Temporal Concepts and Miscellanea	158	saturday	1700	SATURDAY	
Urban-2011-160-159	IV	Basic Temporal Concepts and Miscellanea	159	virgin	2298	VIRGIN	
Urban-2011-160-160	IV	Basic Temporal Concepts and Miscellanea	160	widow	1756	WIDOW	
