CONCEPTICON_ID	WORDNET_SYNSET	OPEN_WORDNET_ID	WORDNET_GLOSS	WORDNET_POS	WORDNET_DEFINITION
2	n14839846	14839846-n	dust	n	fine powdery material such as dry earth or pollen that can be blown about in the air; "the furniture was covered with dust"
3	a00262792	00262792-a	brave//courageous	a	possessing or displaying courage; able to face and deal with danger or fear without flinching; "Familiarity with danger makes a brave man braver but less daring"- Herman Melville; "a frank courageous heart...triumphed over pain"- William Wordsworth; "set a courageous example by leading them safely into and out of enemy-held territory"
6	n07428954	07428954-n	earthquake//quake//temblor//seism	n	shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
7	v01380638	01380638-v	gather//garner//collect//pull together	v	assemble or get together; "gather some stones"; "pull your thoughts together"
8	v00865958	00865958-v	curse//beshrew//damn//bedamn//anathemize//anathemise//imprecate//maledict	v	wish harm upon; invoke evil upon; "The bad witch cursed the child"
9	v00974367	00974367-v	announce//denote	v	make known; make an announcement; "She denoted her feelings clearly"
10	n15100644	15100644-n	firewood	n	wood used for fuel; "they collected and cut their own firewood"
11	n13983515	13983515-n	dark//darkness	n	absence of light or illumination
12	n15165490	15165490-n	noon//twelve noon//high noon//midday//noonday//noontide	n	the middle of the day
13	n00752431	00752431-n	deception//deceit//dissembling//dissimulation	n	the act of deceiving
14	n04613350	04613350-n	yoke	n	support consisting of a wooden frame across the shoulders that enables a person to carry buckets hanging from each end
16	n04235291	04235291-n	sled//sledge//sleigh	n	a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow
17	n05313822	05313822-n	eyelid//lid//palpebra	n	either of two folds of skin that can be moved to cover or open the eye; "his lids would stay open no longer"
18	n05323588	05323588-n	earlobe//ear lobe	n	the fleshy pendulous part of the external human ear
19	n03351768	03351768-n	fishing line	n	a length of cord to which the leader and float and sinker and hook are attached
21	v02194286	02194286-v	taste//savor//savour	v	have flavor; taste of something
23	n12134025	12134025-n	rye//Secale cereale	n	hardy annual cereal grass widely cultivated in northern Europe where its grain is the chief ingredient of black bread and in North America for forage and soil improvement
24	v00759944	00759944-v	pray	v	address a deity, a prophet, a saint or an object of worship; say a prayer; "pray to the Lord"
27	n14841267	14841267-n	air	n	a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of; "air pollution"; "a smell of chemicals in the air"; "open a window and let in some air"; "I need some fresh air"
31	n03880531	03880531-n	pan//cooking pan	n	cooking utensil consisting of a wide metal vessel
32	n15095103	15095103-n	cerumen//earwax	n	a soft yellow wax secreted by glands in the ear canal
