CONCEPTICON_ID	LEGO_ID
10	129
100	2118
1000	2092
1001	1525
1002	1551
1003	2277
1005	183
1006	1255
1007	327
1008	325
101	2240
1010	2259
1011	1650
1012	1226
1013	620
1014	2181
1019	1794
102	969
1021	1201
1022	2341
1025	2205
1026	44
1028	909
1029	1189
1032	2269
1033	1076
1034	2367
1035	2124
1038	2154
1039	2015
1042	1511
1044	1237
1045	2246
1046	1777
1047	1628
1048	1836
1049	805
1052	2057
1058	226
1059	225
1060	219
1061	2328
1062	2361
1063	204
1064	2330
1065	727
1067	2364
1068	2362
1069	1522
107	2417
1071	1827
1072	2339
1074	2347
1075	2357
1077	1298
1079	2043
108	1665;1668
1081	1710
1082	1718
1084	2236
1085	1627
1087	946
1088	1593
1090	950
1091	2001
1092	2117
1093	1793
1095	1698
1098	1725
11	91
1100	1035
1102	1615
1103	2395
1107	1620
1109	973
1110	634
1113	1571
1115	2219
1116	1694
1119	1775
112	503
1121	2161
1122	1713
1123	947
1124	1440
1125	1003
1126	1404
1127	1642
1128	2274;2275
113	22
1130	251
1131	250
1132	1250
1133	128
1134	155
1135	1609
1136	423
1141	2094
1143	1043
1144	2368
1145	56
1148	975
1149	227
1150	86
1151	1184
1152	945
1153	323
1154	1120
1155	26
1156	1776
1157	2178
1159	931
1160	2386
1161	1163
1162	2165
1169	326
117	2144
1170	2358
1171	1208
1172	2355
1173	776
1174	1964
1175	2416
1176	1279
1178	792
1179	1963
1180	1965
1181	1369
1183	829
1185	594
1186	1936
1187	549
1188	130
119	1596
1192	2239
1193	112
1198	1879
1199	150
12	1957
1200	147
1201	599
1202	1806
1203	1808
1204	1395
1205	800
1207	1923
1208	404
1209	233
121	1156
1210	2056
1211	241
1212	249
1213	252
1215	236
1216	160
1217	156
1218	1455
1219	667
122	1651
1220	757
1221	789
1222	893
1223	867
1224	870
1225	1952
1226	1977
1227	1252
1228	4
1229	1924
123	770
1230	2070
1231	1922
1232	2067
1233	1953
1234	2051
1235	2195
1236	2191
1237	2193
1238	2192
1239	2188
1240	2186
1241	1883
1242	1881
1243	1812
1244	1814
1245	1134
1246	1807
1247	785
1248	775
1251	866
1252	1212
1256	763
1257	598
1258	841
1259	154
126	914
1260	1951
1261	2199
1262	172
1263	175
1264	1839
1265	1781
1267	1813
1268	2183
1269	2184
127	127
1270	2196
1272	199
1273	1242
1274	1123
1275	2227
1276	1984
1277	828
1278	917
128	2204
1280	1580
1281	2379
1283	1961
1286	2064
1287	2068
1289	144
129	1034
1290	382
1291	758
1292	2125
1293	2129
1294	1842
1296	2264
1297	843
13	2122
1300	2255
1301	854
1302	1058
1303	833
1304	143
1305	1234
1306	2267
1307	2221
1308	2167
1309	2226
1310	2135
1312	401
1313	74
1314	2010
1316	1215
1318	548
1322	1061
1323	1967
1324	1605
1325	2278
1326	1736
1327	194
1329	1962
133	1158
1330	2336
1331	329
1332	2280
1333	811
1335	2026
1336	1011
1337	335
1338	2300
1339	1956
134	2128
1340	2484
1342	1983
1343	73
1344	330
1345	331
1346	813
1347	812
1348	333
1349	2392
1350	384
1351	334
1352	1057;1469
1353	1966
1355	2081
1357	170
1358	2279
1359	1774
1360	531
1361	1510
1363	2198
1364	965
1366	139
1367	1829
1368	1071
1369	1529
1370	1976
1371	846
1372	997
1374	1191
1375	1229
1376	1928
1378	1056
138	942
1380	801
1381	1175
1382	1161
1383	184
1384	1903
1385	1124
1386	414
1387	1629
1388	92
1389	858
139	806
1390	2127
1391	2257
1393	749
1394	746
1395	1831
1396	2053
1398	2063
1399	1538
14	1654
140	1267
1401	1021
1402	862
1403	918
1404	1824
1405	2223
1406	1797
1407	904
1408	2006
1409	2011
141	117
1410	2142
1413	2083
1414	1502
1415	2138
1416	1757
1417	958
1418	1278
1420	1875
1421	1028
1422	951
1423	2298
1424	2033
1425	2032
1426	1722
1427	2132
1428	118
1429	1887
1430	78
1431	107
1432	1465
1434	1468
1435	2353
1436	981
1437	1485
1439	1595
1440	916
1441	1599
1442	1764
1443	1610
1445	1569
1446	1621
1447	1686
