CONCEPTICON_ID	NUMBER
1294	0
1493	1
1498	2
492	3
1500	4
493	5
1703	6
1704	7
1705	8
1483	9
1515	10
1706	11
1707	12
1708	13
2451	14
1709	15
2454	16
2453	17
1713	18
1714	19
1710	20
1734	21
1736	24
1738	25
3476	26
3477	27
3478	28
3479	29
1715	30
3480	31
3481	32
3482	33
3483	34
3484	35
3485	36
3486	37
3487	38
3488	39
1716	40
3556	41
3557	42
3489	43
3490	44
3491	45
3558	46
3559	47
3492	48
3560	49
1717	50
3561	51
3562	52
3493	53
3563	54
3494	55
3564	56
3565	57
3566	58
3567	59
1718	60
3568	61
3569	62
3495	63
3570	64
3571	65
3572	66
3573	67
3574	68
3575	69
1721	70
3576	71
3496	72
3497	73
3577	74
3578	75
3579	76
3580	77
3581	78
3582	79
1722	80
3583	81
3584	82
3498	83
3585	84
3586	85
3587	86
3588	87
3589	88
3590	89
1724	90
3499	91
3591	92
3592	93
3593	94
3594	95
3500	96
3595	97
3596	98
3501	99
1634	100
3502	101
3503	110
3504	120
3164	123
3505	133
3506	140
3507	144
3508	150
3509	160
3510	180
2676	200
3511	201
3512	216
3513	300
3514	399
3515	400
3516	500
3517	600
3518	700
3519	800
3520	900
3521	999
1843	1000
3522	1221
3523	1296
3524	2000
3525	3000
3526	4000
3527	5000
3528	7000
3529	7776
3530	9000
2078	10000
3531	46656
3532	100000
3533	1000000
3597	10000000
3598	100000000
3599	1000000000
3600	10000000000
3601	100000000000
3602	1000000000000
