CONCEPTICON_ID	AOA_WORD	OCCUR_TOTAL	OCCUR_NUM	FREQ_PM	RATING_MEAN	RATING_SD	DUNNO
1	contemptible	18	12	0.78	13.33	2.02	0.67
2	dust	18	18	23.84	5.06	1.39	1.00
3	brave	19	19	31.71	6.00	2.03	1.00
4	courtyard	19	19	2.14	9.95	3.44	1.00
5	gazelle	19	19	1.22	9.37	2.93	1.00
6	earthquake	19	19	6.37	7.53	2.04	1.00
7	gather	20	20	15.67	6.50	2.44	1.00
8	curse	19	19	18.22	7.47	2.67	1.00
9	announce	21	21	9.76	9.48	2.29	1.00
10	firewood	18	18	1.51	6.61	2.00	1.00
11	darkness	18	18	17.49	4.83	1.89	1.00
12	midday	19	19	0.82	7.37	2.36	1.00
13	deceit	19	19	1.86	10.95	3.64	1.00
14	yoke	20	16	0.43	7.94	4.19	0.80
15	otter	19	17	1.35	5.47	2.48	0.89
16	sled	19	19	2.92	4.89	1.88	1.00
17	eyelid	18	18	0.33	6.33	3.16	1.00
18	earlobe	19	18	0.33	6.00	2.47	0.95
20	scythe	18	15	0.31	11.87	2.80	0.83
22	intend	18	18	23.20	8.94	2.41	1.00
23	rye	19	19	4.16	9.26	3.77	1.00
24	pray	19	19	36.22	5.79	2.35	1.00
25	dirt	18	18	25.69	3.83	1.15	1.00
26	unpleasant	19	19	6.10	9.32	3.43	1.00
27	air	18	18	139.02	3.94	1.55	1.00
28	moisten	18	18	0.08	9.28	2.72	1.00
29	geld	19	13	0.04	13.15	3.91	0.68
30	dispel	18	18	0.27	11.39	3.90	1.00
31	pan	18	18	12.29	4.72	1.53	1.00
32	earwax	18	18	0.18	6.39	1.79	1.00
33	nettle	19	12	0.16	14.33	3.68	0.63
34	stairs	18	18	23.76	4.22	1.86	1.00
35	tamarind	18	7	0.06	14.86	4.30	0.39
37	liberate	20	20	1.16	11.75	3.02	1.00
39	keen	20	20	4.47	10.70	1.56	1.00
40	envy	19	19	9.55	8.37	2.95	1.00
41	ignore	19	19	18.65	6.74	2.02	1.00
44	injure	18	17	1.00	7.53	3.32	0.94
45	evil	21	21	73.16	6.71	2.99	1.00
47	excreta	20	10	0.02	12.80	3.65	0.50
