ID	WORD	CONCRETENESS_MEAN	SUBTLEX_FREQ	CONCEPTICON_ID	MATCH
4	abacus	4.52	12	2489	1
5	abandon	2.54	413	1097	2
30588	stomach	4.89	1725	1251	1
30	ability	1.81	980	2527	1
62	above	3.33	2493	1265	1
11612	fast	3.32	7010	303	1
133	abuse	2.71	523	1953	1
191	accompany	3.07	242	1542	3
236	accuse	2.25	290	1814	6
246	ache	3.43	127	1815	1
267	acorn	4.96	37	968	3
285	acquit	2.13	24	988	3
297	across	3.07	4801	2670	3
307	active	3.32	584	1861	1
341	add	3	1686	2882	2
421	admit	2.32	3019	2022	3
428	adobe	4.19	24	901	2
452	adornment	2.83	4	917	1
457	adult	4.4	729	3635	1
464	adultery	2.79	99	902	4
542	affair	2.45	1502	2214	1
561	affirmative	1.93	241	1268	1
586	afraid	2.7	12631	1419	7
588	after	2.12	34812	1685	17
599	afternoon	3.7	4666	1807	11
611	afterwards	2.14	714	2093	4
614	again	2	40428	204	22
615	against	1.8	10288	2469	2
38774	old age	3.04	0	1789	1
617	aged	3.14	183	2112	1
665	agree	2.31	3298	3643	1
672	agreement	2.22	892	3644	1
694	air	4.11	7090	27	7
23810	plane	4.92	4872	1597	3
791	alike	2.38	579	1558	1
18799	living	3.04	7983	1422	1
10911	everything	2.3	33399	98	2
836	allow	2.41	2263	1003	1
861	alone	2.86	15735	1964	7
880	already	1.64	16246	2576	6
883	altar	4.85	259	853	2
885	alter	3.07	244	1264	1
907	aluminum	4.88	115	3385	1
909	always	1.71	33418	1676	12
911	am	1.96	56438	1579	1
924	amazing	1.55	4167	1863	1
953	ambush	3.16	277	65	2
993	amount	2.74	1262	2987	2
1012	amulet	4	118	2804	1
1061	ancestors	3.36	279	1669	4
1065	anchor	4.77	378	1870	3
1074	and	1.52	682780	1577	59
1098	anger	2.41	991	82	6
1109	angry	2.53	3008	2223	1
1115	animal	4.61	2320	619	64
1126	ankle	4.81	409	803	12
1140	announce	3.31	498	9	4
1143	annoy	1.93	128	2892	3
1167	another	2.69	25970	197	2
1168	answer	2.89	8986	1275	10
1174	ant	4.86	273	587	54
1183	anteater	4.86	11	181	1
1184	antelope	5	50	3674	1
1189	anthill	4.89	29	1873	1
25977	rectum	4.92	25	1935	1
1294	anvil	4.96	32	1648	4
1295	anxiety	2.21	345	1000	1
1359	appear	3.13	1192	1076	4
1360	appearance	2.57	591	1017	1
1380	apple	5	1207	1320	14
1426	approach	2.74	1070	1778	5
1447	apron	4.87	136	2046	2
1477	arch	4.59	188	876	3
1514	area	3.72	3821	2980	2
1520	argue	2.75	1007	3302	2
1541	arm	4.96	3336	1673	58
1543	armadillo	4.9	154	1885	3
1554	armor	4.76	372	1061	1
1557	armpit	4.8	64	1886	25
1560	army	4.7	4370	1561	11
1574	arrange	2.79	791	1568	4
1586	arrive	3.22	953	1387	10
1590	arrow	4.97	400	977	55
1596	arson	3.66	153	1889	3
20628	mount	4	597	705	1
1658	ash	4.96	469	646	51
1659	ashamed	1.74	1396	1894	9
25380	question	3.36	10116	1309	1
1678	aspen	4.59	96	903	1
1690	ass	4.67	11545	1862	1
1808	at	2.07	164072	1461	54
1809	ate	3.74	1722	1336	1
1834	atop	3.24	52	57	3
1845	attack	3.71	3853	722	2
1861	attentive	1.78	66	1908	2
1872	attractive	2.64	1256	2410	1
1915	aunt	4.17	2815	3042	1
1977	autumn	3.27	193	1276	16
2004	avoid	2.41	1239	3639	1
2010	await	1.54	181	1590	1
2011	awake	3.32	1362	825	2
2012	awaken	3.45	125	3174	1
2035	awl	3.81	2	278	5
14511	hatchet	4.93	100	677	1
2047	axle	4.5	63	1769	8
2055	baboon	4.92	87	1197	3
16585	infant	4.93	215	1289	1
2072	back	4.33	102467	2910	2
2076	backbone	4.19	84	805	3
2141	backwards	3.17	667	2911	2
36806	worse	1.61	5002	1292	1
2173	bag	4.9	4796	2468	9
2190	bait	4.45	496	2013	3
2192	bake	4.21	323	183	4
2194	baker	4.71	698	2568	1
2205	bald	4.69	496	1125	11
2207	baldhead	4.44	2	3415	1
29934	sphere	4.44	126	1845	1
2223	balloon	4.92	442	3083	2
2242	bamboo	4.86	80	1927	35
2248	banana	5	547	399	1
2273	bank	4.78	4334	3463	2
2334	bark	4.52	280	1206	7
2339	barley	4.59	46	932	22
2354	barrel	4.86	542	2548	2
2369	barter	2.96	46	370	1
2371	base	3.86	1804	831	1
2391	basin	4.63	96	1530	1
2395	basket	5	672	1539	17
2405	bastard	3.14	3348	1947	2
2411	bat	5	1052	1793	20
2414	bath	4.85	1587	138	4
2431	battery	4.67	633	662	2
2433	battle	4	2155	579	1
2446	bay	4.81	1236	663	2
2454	beach	4.79	2888	3460	1
2462	bead	4.9	57	1860	5
2469	beak	4.96	107	73	5
2472	beam	3.96	445	1132	8
2477	bean	5	349	2574	1
2483	bear	4.88	2928	1820	37
2486	beard	4.96	643	678	31
2497	beast	4.63	1252	958	1
2501	beat	3.97	6716	3308	1
2510	beautiful	2.16	14266	1427	17
2517	because	1.22	54622	1157	48
2520	become	1.54	5894	1990	2
2524	bed	5	9543	1663	23
2528	bedbug	4.54	15	1949	6
2542	bedroom	4.9	1872	2505	1
15093	honeybee	4.86	10	665	3
2550	beech	3.96	18	1950	7
2552	beef	4.74	1005	2570	2
14962	hive	4.83	50	88	1
2566	beer	4.88	3850	1639	8
36099	wax	4.97	461	1931	3
2572	beetle	4.83	105	2242	3
12020	first	2.76	42869	1882	1
2584	beg	2.96	2600	3534	4
2585	beget	2.25	16	1152	1
2586	beggar	4.59	126	1934	6
2588	begin	2.56	2906	1806	2
2590	beginning	2.5	3219	1557	5
2607	behind	3.48	9581	1686	15
2614	beige	3.41	69	3707	1
2620	belch	4.14	37	2245	5
2621	belief	1.19	388	3333	1
11491	faith	1.63	2363	1890	1
4904	chime	4.4	47	2246	1
2648	below	3.45	1430	721	1
2650	belt	4.9	1242	772	10
2659	bench	4.87	493	2584	1
2664	bend	3.88	768	2004	3
2670	beneath	3.11	593	690	1
2678	benefit	2.25	732	2929	1
2693	berry	4.93	178	904	9
2699	beside	2.59	774	1816	7
2716	betray	2.17	466	1902	3
2724	between	2.72	8932	689	10
2734	bewitch	2.11	6	118	1
2762	bicycle	4.89	337	747	2
13894	great	1.81	41864	1202	2
13110	gall	2.6	101	1780	2
2808	billion	3.79	568	3599	1
2817	bind	3.4	171	1917	1
2880	birch	4.12	79	1855	9
2881	bird	5	2318	937	166
2894	birth	4.46	1405	1195	1
2895	birthday	3.2	4958	2407	2
2897	birthmark	4.35	85	1751	1
2912	bison	4.68	17	3142	7
2920	bite	4.44	2080	1403	97
2927	bitterness	2.36	72	887	1
2939	black	3.76	8565	163	164
2943	blackboard	4.72	60	3084	2
2944	blacken	3.43	20	2808	1
29344	smith	3.81	1856	1001	1
2966	bladder	4.48	202	1746	8
2968	blade	4.93	663	869	2
2973	blame	2.06	2998	381	3
2992	blanket	5	662	806	9
3028	bleed	4.4	515	3615	2
3037	bless	2.68	1788	391	3
3046	blind	4.03	2337	1653	18
36534	wink	4.23	180	1655	3
3067	blister	4.71	48	1584	2
3101	blood	4.86	9492	946	176
3127	bloom	4	281	3287	1
3144	blow	3.74	4976	176	8
3147	blowgun	4.83	3	432	1
3164	blue	3.76	5222	837	25
3166	blueberry	4.96	131	2809	1
3191	blunt	3.07	250	379	15
3212	boar	4.8	111	1348	8
3213	board	4.57	3272	1227	10
3522	brag	2.41	179	101	1
3225	boat	4.93	4885	1844	30
3250	body	4.79	9972	1480	32
3266	boil	4.2	303	793	1
3272	boiling	4.39	215	792	1
3284	bolt	4.67	351	2860	1
3287	bomb	4.84	2736	1804	1
3309	bone	4.9	1329	1394	174
3336	book	4.9	9026	963	13
3371	boomerang	4.7	47	135	1
3380	boot	4.96	568	585	8
3401	border	4.29	876	2546	2
23298	perforate	3.33	9	1501	1
3408	bored	2.13	1029	905	2
3414	born	3.22	4268	1090	2
3416	borrow	3.1	1495	1823	6
3420	bosom	4.63	159	1402	1
3421	boss	3.83	6339	2930	2
3435	bother	2	3436	2869	2
3437	bottle	4.91	2588	1321	10
3463	boundary	3.04	69	1010	4
3480	bovine	3.93	22	3044	1
18910	longbow	4.96	7	994	1
3484	bowels	4.33	87	1991	1
3497	box	4.9	4577	3108	3
3504	boy	4.76	27021	1366	23
3516	bracelet	4.96	398	1754	11
3527	braid	4.38	48	1043	4
3538	brains	3.96	1401	1583	5
3550	braise	3.09	0	2067	1
3552	brake	4.44	305	966	1
3556	bran	4.48	67	2362	1
3557	branch	4.9	514	3223	2
6850	courageous	2	161	3	2
3586	brawl	3.63	108	2902	1
3599	bread	4.92	1445	1368	14
3606	breadfruit	4.79	6	2371	4
3611	break	3.71	11275	2558	2
3619	breakfast	4.43	3381	1322	6
3627	breast	4.89	457	1592	3
3628	breastbone	4.33	9	2810	1
3636	breath	4.36	2291	870	14
3643	breathing	4.1	1417	1407	1
3670	bribe	3.44	308	1163	1
3673	brick	4.83	519	1006	6
3680	bride	4.63	1235	1266	6
3683	bridge	4.97	2331	1011	17
3699	bright	3.92	2265	679	17
3707	brilliant	2.07	1826	3709	1
3715	bring	2.55	16685	692	14
3729	broad	2.45	751	2531	3
3747	broken	4.11	3634	3191	1
3761	bronze	4.47	143	2313	1
3766	brood	2.96	55	2075	1
3772	broom	4.89	243	245	25
3776	brother	4.43	14481	1262	22
3785	brown	4.48	3066	2409	5
3796	bruise	4.73	165	1148	3
3802	brush	4.54	722	3109	1
3822	bubble	4.6	408	3689	1
3832	bucket	4.96	511	2052	5
3834	buckeye	3.76	9	1009	1
3844	buckwheat	4.54	24	2040	5
3845	bud	4.48	1808	2076	1
3850	budge	2.65	104	2861	1
3856	buffalo	4.83	607	934	20
3863	bug	5	1068	1027	1
3868	build	3.71	2452	1840	12
3871	building	4.64	5078	3396	2
3874	bulb	4.93	200	2617	1
3885	bull	4.85	1403	1008	20
3890	bullet	4.83	1950	1114	4
3926	bunch	3.5	3003	1966	2
3928	bundle	4.22	199	2943	1
3978	burning	3.85	1561	1428	1
3987	bury	3.82	1054	1719	8
3989	bus	4.9	3783	1070	3
3991	bush	4.9	720	1683	10
3994	bushfire	4.75	0	2811	1
4001	business	3.28	16371	2931	3
4016	busy	2.41	5433	2755	3
4020	but	2.04	225291	1869	1
4023	butcher	4.65	434	2569	1
4027	butt	4.75	1967	834	2
4028	butter	4.9	1042	1245	8
4036	butterfly	4.93	281	1791	32
4044	button	4.96	1441	757	9
4058	buzzard	4.74	93	1865	2
4073	cabbage	4.75	148	774	7
4092	cactus	5	148	2595	1
4111	cake	4.81	2298	2408	3
4120	calculate	2.74	106	2867	3
4129	calendar	4.62	363	1967	1
4131	calf	4.48	151	498	1
4139	call	4	43931	2944	2
4151	calm	2.83	4541	3458	1
4162	came	1.85	23650	1446	1
4163	camel	4.93	256	1871	7
4166	camera	5	2907	2618	2
4171	camp	4.35	2612	1105	2
4175	campfire	4.79	64	2986	1
4182	can	4.55	267620	1051	1
4199	candle	4.86	409	1273	12
4209	cane	4.87	425	1296	1
4223	cannon	4.79	444	3202	1
4226	canoe	4.86	182	1970	11
4243	cap	4.59	956	771	1
4250	cape	4.77	420	1662	1
4283	car	4.89	24636	1111	8
4301	card	4.9	4357	2619	1
4321	careful	1.86	5550	2758	1
4363	carpenter	4.41	306	1042	5
4373	carriage	4.86	381	2620	1
4377	carrot	5	195	3085	3
4379	carry	4.04	3361	465	1
4385	cart	4.89	461	122	2
4397	carve	3.69	158	228	6
4403	case	3.93	14403	1465	2
4427	castle	4.96	1099	1938	1
4430	castrate	3.82	31	29	3
18005	kitty	4.97	1362	1208	1
4457	catch	4.11	6911	702	7
4477	caterpillar	4.87	57	2247	7
4502	cauliflower	5	28	2843	8
4510	cause	2.43	15812	860	4
4529	cave	4.96	713	1155	20
4573	cemetery	4.93	443	3284	1
4583	center	3.85	2335	491	2
4595	centipede	4.79	22	1974	11
4627	certainly	1.86	6067	509	1
4642	chain	4.55	1082	1627	9
4647	chair	4.58	2511	1476	22
4670	chameleon	4.68	37	1555	2
4682	change	2.89	12258	2857	3
4693	channel	4.18	1245	2423	1
4712	character	2.93	1946	1024	1
4722	charcoal	4.85	90	1188	19
4750	chase	3.48	1673	1435	1
4761	chat	3.66	830	2903	2
16556	inexpensiveness	1.92	1	1887	1
4783	cheat	2.23	901	3055	1
4787	check	4.11	14228	1975	1
4804	cheek	4.83	365	1730	23
4826	cheese	4.7	1991	1569	8
4833	cheetah	4.7	117	3146	1
4858	chew	3.93	462	321	17
4865	chicken	4.8	3148	2512	1
4875	chieftain	3.44	15	301	1
4879	child	4.78	8040	1801	3
4882	childbirth	4.04	78	2805	1
4894	children	4.89	8930	2099	3
37519	chili pepper	4.83	0	919	4
4896	chill	2.89	828	2932	1
4905	chimney	5	213	1305	3
4908	chin	4.89	647	1510	37
4930	chisel	4.63	45	1979	6
4955	choke	3.97	330	129	5
4985	chose	2.48	952	1750	1
4967	chop	4.48	694	3151	1
4970	chopper	4.07	596	3067	2
4974	chopstick	4.93	13	1987	1
5030	church	4.9	3553	1349	4
5043	cigarette	4.88	1357	969	2
5057	circle	4.44	1097	1467	7
5065	circular	3.79	81	2302	1
5100	citizen	4.43	680	1032	2
5106	city	4.79	8624	2547	2
5141	clan	3.46	209	302	2
5149	clap	4.16	241	3110	4
5189	clavicle	4.5	50	1994	1
5190	claw	4.83	223	72	59
5193	clay	4.93	612	1399	10
5195	clean	3.07	6183	2235	4
5201	cleanness	3.61	2	704	1
5208	clear	3.55	8763	3710	1
5215	clearing	3.79	331	2284	1
5238	clever	1.79	1391	1310	12
5248	cliff	4.71	1100	992	6
5253	climate	3.5	180	2426	1
5259	climb	4.11	1007	1102	16
5285	clitoris	4.93	54	3257	2
5286	cloak	4.71	153	326	3
5291	clock	5	2990	1323	5
5302	close	3.2	11191	1046	7
5303	closed	3.37	2758	589	2
5314	cloth	4.9	311	1616	23
5316	clothes	4.76	5158	1895	11
5323	cloud	4.54	599	1489	150
22419	overcast	4.04	24	2341	1
5343	club	3.78	5038	1763	7
5377	coal	4.66	335	2658	7
5384	coarse	3.25	69	2151	2
5387	coast	4.21	1361	1525	3
5396	coat	4.97	2146	603	6
5420	cock	4.79	580	1511	4
27141	roach	4.96	135	1575	1
5439	coconut	4.79	234	970	12
5474	coffee	4.81	7371	1299	2
5480	coffin	4.86	461	2011	1
5507	coin	4.89	497	1867	3
5524	cold	3.85	6638	102	1
5531	coldness	3.33	17	1287	1
5546	collar	4.64	536	2012	8
5594	color	4.08	2011	1613	5
5620	comb	5	309	188	1
5670	command	2.48	2225	1998	1
5771	company	4.11	7507	2983	1
5779	compare	2.52	426	3429	1
5868	compound	3.03	361	483	1
5910	computer	4.93	3011	3086	4
5921	conceal	3.19	129	602	1
5935	conceive	2.04	117	1087	2
5998	condemn	1.96	121	484	4
6035	conduct	2.08	566	3111	2
6181	conjunctivitis	3.75	6	3026	1
6187	connect	2.88	492	2862	2
6522	convey	1.72	136	2898	1
6527	convict	4.11	324	983	1
6547	cook	4.32	2324	2315	1
6550	cookhouse	4.62	1	334	2
6552	cooking	4.19	1307	1100	2
6555	cool	3.53	9990	3068	2
6584	copper	4.52	336	1825	11
6591	copulate	3.13	13	549	1
6603	coral	4.4	121	3179	1
30756	string	4.76	646	1218	1
6622	corn	4.96	725	605	1
6628	corner	4.61	2679	192	7
6643	corona	3.46	58	1943	1
6654	corpse	4.89	515	767	14
6656	correct	2.59	2292	1725	22
6748	cotton	4.97	723	1850	17
6758	cough	4.36	448	879	22
6759	could	1.34	83109	972	1
6767	count	3	4588	2945	1
6834	counting	3.57	1095	1420	1
6836	country	4.17	8254	1300	7
6849	courage	1.52	1207	3049	1
6858	court	4.31	5137	1068	4
6870	courtyard	4.57	109	4	2
6871	cousin	3.7	2491	1643	7
6878	cover	4.23	4808	761	6
6893	coward	2.93	734	1319	2
6915	coyote	4.96	185	912	1
6920	crab	4.9	352	2348	8
6928	crack	4.53	1675	3080	2
6942	cradle	4.93	145	2946	2
6962	crane	4.68	1714	1830	4
6989	crawl	4.27	614	96	9
6995	crayfish	4.93	2	467	1
16851	insane	1.77	1973	1899	2
7050	creek	4.87	454	990	4
7051	creep	3.38	573	3215	1
7069	crested	3.15	5	2496	2
7085	cricket	4.77	144	2354	2
7088	crime	3.03	3633	1066	2
7139	crocodile	4.83	115	1857	16
7401	curved	3.35	31	297	1
7152	cross	4.44	2807	1367	3
7157	crossbow	4.77	56	3193	5
7185	crouch	4.27	38	296	2
7189	crow	4.93	227	2074	1
7191	crowd	4.52	1906	2023	1
7192	crowded	3.28	456	2517	2
7214	cruel	2.11	936	500	3
20638	mourn	2.33	129	1839	1
7291	cuckoo	4.42	151	2934	3
7292	cucumber	4.83	101	496	13
7312	cultivate	3.14	48	1541	4
7335	cunning	2.12	207	2335	1
7339	cup	5	2634	476	12
7376	current	3.16	869	2935	1
7382	curse	2.39	929	8	2
7393	curtain	4.82	525	2621	1
7404	cushion	4.68	110	1044	1
7416	custom	2.68	316	1747	4
7425	cut	4.55	11718	2156	1
7443	cuttlefish	4.23	10	2814	1
7469	cypress	4.76	38	3243	1
7500	damage	3.2	1686	1116	1
7512	damp	3.81	149	2998	3
7520	dance	4.32	7550	3472	3
7530	dandruff	4.79	41	576	2
7532	danger	2.68	2227	1810	5
7533	dangerous	2.13	3817	3466	2
7541	dare	2.28	2826	1779	4
7550	dark	4.29	4519	706	29
7557	darkness	3.85	892	11	12
7570	dash	3.39	308	2863	1
7589	daughter	4.79	8739	1357	31
7601	dawn	4.46	1301	729	11
7603	day	3.92	40893	1260	8
7614	daytime	4.31	193	1225	8
7629	dead	4.07	22898	1625	12
7642	deaf	3.27	741	996	20
7655	dear	2.25	11395	2470	3
7658	death	3.73	11051	910	6
7685	debt	2.72	725	1914	4
7711	decay	3.89	105	2907	2
7736	deception	1.86	160	13	2
7722	deceive	1.68	174	3230	3
7742	decide	1.92	2571	685	3
7805	decorate	3.4	118	1739	3
7814	decrease	2.68	60	2864	2
7839	deep	3.38	3896	1593	25
7846	deer	4.86	444	1936	26
7859	defeat	2.96	580	782	3
11035	excrete	2.89	2	676	1
7866	defect	2.48	126	1995	1
7875	defense	2.45	1665	1330	1
7873	defendant	3.8	904	1034	3
7979	deity	2.33	28	3231	1
8010	delicious	2.43	1098	1813	6
8090	demolish	3.46	27	681	1
8475	devil	3.41	2108	1973	2
8141	dense	3.14	108	2239	1
8152	deny	2.2	1091	755	5
8161	depart	2.86	109	1752	1
38170	go down	3.5	0	2014	6
8281	descendant	3.53	55	490	1
8301	desert	4.86	1427	3687	1
8330	desire	1.7	1034	2117	1
8334	desk	4.87	2239	1775	3
8353	despise	2.12	230	2715	1
8505	dew	4.38	109	1977	17
8531	dialect	2.67	68	2815	2
8545	diarrhea	4.52	122	1177	1
8563	did	2.45	119410	813	1
8565	die	3.07	13318	1494	98
8576	different	1.97	10686	2504	15
8585	difficult	2.21	3068	584	17
8597	dig	4.33	2357	1418	64
8638	diligent	1.69	40	2077	4
8642	dilute	3.1	19	550	1
8655	diminish	2.5	42	1184	1
31274	supper	4.63	988	1833	4
8690	dip	4.22	406	3697	1
8705	direction	2.79	1228	3427	1
8722	dirt	4.86	1310	25	4
8725	dirty	4.23	3389	1230	80
8751	disappear	2.86	1069	485	6
15688	illness	3.54	371	1986	3
8939	disgrace	2.11	409	75	1
8953	disgust	2.19	141	2465	1
8958	disgusting	2.21	1357	2507	2
8961	dish	4.9	584	3542	1
9211	distance	3.17	1306	2978	2
9212	distant	2.75	439	1406	2
9286	disturb	3.04	566	2883	3
9294	ditch	4.5	401	2002	5
9303	dive	4.03	654	119	6
9325	divide	2.86	298	1359	1
9351	divorce	3.25	1669	1134	2
23587	physician	4.65	313	597	2
15251	hound	4.48	257	2009	1
9420	doll	5	1263	1659	5
9426	dolphin	4.96	141	1479	1
9453	donate	2.88	203	196	1
9487	doorway	4.75	164	1567	2
9516	doubt	1.79	3205	3536	2
