CONCEPTICON_ID	OMEGAWIKI_ID
1	1001394
2	1009
3	1016033
4	1017244
5	1018466
6	1019
7	1022541
8	1023517
9	1024716
10	1024755
11	1025381
12	1026415
13	1030671
14	1031313
15	1031630
16	1043216
17	1046808
18	1048124
19	1048155
20	1050369
21	1051228
22	1053143
23	1054188
24	1056622
25	1057993
26	1058073
27	106
28	1061652
29	1063981
30	1064345
31	1071911
32	1071961
33	1072992
34	1073134
35	1073190
36	1073333
37	1077778
38	1083572
39	1085146
40	1086952
41	1089331
42	1089734
43	1091895
44	1092621
45	1098473
46	1101921
47	1103044
48	1103280
49	1103325
50	1103893
51	1103925
52	1106980
53	1107036
54	1107625
55	1107650
56	1107818
57	1108044
58	1108224
59	1109
60	1111216
61	1111642
62	1114697
63	1114745
64	1116679
65	1117421
66	1120420
67	1124797
68	1130256
69	1131008
70	1132622
71	1139186
72	828398
73	1142217
74	1143662
75	1146047
76	1148249
77	1148254
78	1149393
79	1152220
80	1153341
81	1153477
82	1156554
83	1157984
84	1159914
85	1160012
86	1160828
87	1161432
88	1161759
89	1162698
90	1162733
91	1164655
92	1165745
93	1166811
94	1167115
95	1167672
96	1168231
97	1172828
98	1173416
99	1175443
100	1176245
101	1176597
102	1178541
103	1182947
104	1187180
105	1188104
106	1188869
107	1192008
108	1192505
109	1193088
110	1200
111	1200507
112	1200609
113	1201459
114	1210547
115	1223517
116	1223914
117	1229900
118	1230099
119	1235455
120	1238556
121	1240334
122	1240424
123	1241509
124	1243793
125	1250835
126	1250941
127	1255943
128	1258410
129	1260643
130	1262281
131	1273978
132	1275504
133	1280854
134	1280872
135	1285089
136	1287831
137	1292296
138	1295154
139	1295456
140	1296409
141	1299599
142	1300468
143	1301943
144	1309356
145	1310646
146	1310853
147	1311390
148	1311851
149	1312191
150	1316305
151	1318581
152	1325252
153	1325782
154	1329165
155	1329931
156	1333710
157	1335255
158	1335540
159	1336889
160	1337057
161	1337987
162	1339563
163	1341728
164	1355026
165	1355268
166	1364993
167	1366616
168	1366972
169	1370660
170	1372531
171	1372595
172	1372842
173	1373556
174	1374507
175	1375415
177	1377747
178	1378364
179	1378372
180	1378786
181	1385114
182	1391013
183	1392775
184	1393299
185	1395201
186	1398936
187	1398982
188	1399210
189	1399403
190	1403529
191	1403728
192	1404011
193	1404411
194	1405
195	1405241
196	1406230
197	1406403
198	1406712
199	1407
200	1407061
201	1410
202	1410993
203	1411401
204	1412012
205	1412223
206	1415152
207	1416056
208	1417428
209	1417819
210	1419171
211	1421991
212	1425
213	1425624
214	1425791
215	1425860
216	1431
217	1431444
218	1444
219	1444087
220	1444665
221	1446
222	1450635
223	1451560
224	1454028
225	1454217
226	1454741
227	1460
228	1462598
229	1462871
230	1466959
231	1473013
232	1476
233	1478056
234	1478129
235	1478231
236	1480454
237	1480565
238	1486478
239	1487
240	1488304
241	1490199
242	1496031
243	1496751
244	1499731
245	1501242
246	1501591
247	1501856
248	1501924
249	1502
250	1502678
251	1503230
252	1504545
253	1504671
254	1504854
255	1504891
256	1505
257	1505545
258	1505685
259	1505691
260	1505696
261	1505700
