CONCEPTICON_ID	BABELNET_ID	BABELNET_GLOSS	BABELNET_DEFINITION
65	00003300n	ambush, ambuscade, lying in wait	The act of concealing yourself and lying in wait to attack by surprise
66	00090123v	kneel	Rest one's weight on one's knees
68	00076204n	tattoo	A design on the skin made by tattooing
69	00110837a	sober	Not affected by a chemical substance (especially alcohol)
70	00098796a	brackish, briny	Slightly salty (especially from containing a mixture of seawater and fresh water)
72	00019617n	claw	Sharp curved horny process on the toe of a bird or some mammals or reptiles
73	00009304n	beak, neb, rostrum	Beaklike mouth of animals other than birds (e.g., turtles)
74	00065261n	puppy, puppy dog, whelp	A young dog
75	00082903v	attaint, dishonour, disgrace	Bring shame or dishonor upon
78	13601451a	that	The indicated item (at a distance from the speaker, or previously mentioned, or at another time).
79	00086685v	ravage, desolate, devastate, waste	Cause extensive destruction or ruin utterly
81	00033790n	fathom, fthm	A linear unit of measurement (equal to 6 feet) for water depth
82	00004085n	anger, choler, ire	A strong emotion; a feeling that is oriented toward some real or supposed grievance
83	00086877v	forbid, prohibit, disallow	Command against
84	00116052r	just now, just	Only a moment ago
86	00093721v	sift, strain, sieve	Separate by passing through a sieve or other straining device to separate out coarser elements
87	00111101a	squint-eyed	Affected by strabismus
88	00009581n	beehive, hive	A structure that provides a natural habitation for bees; as in a hollow tree
90	00099796a	clean-handed, guiltless, innocent	Free from evil or guilt
91	00103110a	flip, impudent, insolent	Marked by casual disrespect
96	00085991v	crawl, creep	Move slowly; in the case of people or animals with the body near the ground
97	00063809n	postposition, Preposition and postposition, Through	(linguistics) the placing of one linguistic element after another (as placing a modifier after the word that it modifies in a sentence or placing an affix after the base to which it is attached)
98	00079145n	universal quantifier, Universal quantification, All (logic)	A logical quantifier of a proposition that asserts that the proposition is true for all members of a class of things
99	00023921n	humpback, hunchback, crookback	A person whose back is hunched because of abnormal curvature of the upper spine
100	00102728a	faithful, loyal	Steadfast in affection or allegiance
101	00083668v	blow, bluster, boast	Show off
103	00088500v	fornicate	Have sex without being married
105	00053881n	mattress	A large thick pad filled with resilient material and often incorporating coiled springs, used as a bed or part of a bed
106	00110112a	satiate, satiated	Supplied (especially fed) to satisfaction
107	00058935n	omen, portent, presage	A sign of something about to happen
108	00068495n	rudder	(nautical) steering mechanism consisting of a hinged vertical plate mounted at the stern of a vessel
109	00103206a	strange, foreign	Relating to or originating in or characteristic of another place or part of the world
110	00056041n	motor, engine	Machine that converts other forms of energy into mechanical energy and so imparts motion
112	00078701n	turtle	Any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming
113	00071235n	shore	The land along the edge of a body of water
114	00063636n	porpoise	Any of several small gregarious cetacean mammals having a blunt snout and many teeth
115	00069538n	spendthrift, spender, scattergood, profligate	Someone who spends money prodigally
116	00050006n	larch, larch tree, Larix	Any of numerous conifers of the genus Larix all having deciduous needlelike leaves
117	00085805v	copy, imitate, simulate	Reproduce someone's behavior or looks
