SOURCE	RELATION	TARGET
1086	narrower	2281
1100	narrower	2146
2191	similar	721
2135	narrower	898
2135	narrower	370
1072	sameas	1073
771	broader	2130
1741	similar	1591
1395	broader	2302
1395	broader	2303
1392	narrower	2280
668	broader	2125
898	broader	2135
2108	narrower	1253
2108	narrower	658
330	broader	331
1209	broader	2301
2192	resultsin	1495
2215	resultsin	1826
2017	similar	696
833	similar	1186
2178	broader	1383
2112	broader	1229
2112	narrower	565
2112	narrower	566
1625	similar	2101
423	similar	485
769	broader	2100
781	broader	2109
2309	sameas	1422
1288	broader	2130
2173	broader	1985
1970	narrower	2189
267	narrower	2280
1558	broader	2276
412	broader	700
77	broader	962
1826	resultof	2215
1811	narrower	1182
992	broader	618
370	broader	2135
1432	narrower	2156
1432	narrower	2155
203	narrower	2164
203	narrower	2163
1425	narrower	2300
1040	broader	2107
1057	narrower	2265
1057	narrower	2264
1408	broader	2126
2301	narrower	1209
123	broader	2107
1037	broader	2138
2249	sameas	2307
2249	narrower	2308
2249	broader	2305
2249	broader	2306
2095	sameas	1282
51	broader	1109
1591	similar	1741
736	narrower	4
2267	broader	1056
2140	narrower	1225
2140	narrower	1343
2144	narrower	849
2144	narrower	954
2266	broader	1056
1235	broader	2147
398	similar	1434
20	broader	2132
28	produces	1726
732	sameas	2091
2255	broader	1055
2050	sameas	404
1303	broader	2120
956	narrower	2142
1847	broader	2103
2280	broader	267
2280	broader	1392
1253	broader	2108
1253	similar	658
1443	broader	695
1229	narrower	2112
1422	sameas	2309
395	sameas	396
1372	broader	2268
959	sameas	122
2271	narrower	1513
2271	narrower	1415
375	broader	1586
2141	narrower	906
2141	narrower	1803
636	usedfor	1033
2263	broader	1553
947	broader	666
620	narrower	929
620	narrower	1027
721	similar	2191
954	broader	2144
823	broader	2137
929	broader	620
1665	narrower	354
1665	broader	2133
415	broader	700
2211	sameas	2063
619	broader	2096
122	sameas	959
2374	producedby	1920
2305	narrower	2249
2146	narrower	991
2146	narrower	1962
2146	broader	1100
390	sameas	1196
1919	broader	2131
2251	broader	868
1213	narrower	2111
1213	broader	2312
1857	narrower	1581
2229	resultsin	1906
2102	narrower	1428
2102	narrower	141
1513	broader	2271
1513	similar	1415
2304	narrower	1215
1203	broader	2143
1588	narrower	1445
1588	narrower	1444
927	sameas	925
565	broader	2112
2254	broader	1055
1801	narrower	1620
1801	narrower	1357
1801	broader	2099
279	broader	2100
763	broader	2127
1411	broader	2116
1411	resultof	215
2345	broader	1136
2345	broader	1190
1428	broader	2102
