gloss	source	target	ignore
*burn	141,burn (something)	2102,burn	
afterwards	1685,after	2093,afterwards	
angry	2223,be angry	1826,angry	
awaken	1602,wake up	825,awake	
bad	1035,good	1292,bad	
banana/plantain	868,banana	399,plantain	
be	361,peg	1579,be	
be afraid	252,frighten	1419,fear (be afraid)	
bend	2224,bend (something)	2004,bend	
boil	2492,boil (something)	2493,boil	
boil	792,boil (of liquid)	2493,boil	
boil	2492,boil (something)	2493,boil	
branch	826,branch (bifurcation)	1531,branch	
brother	560,brother (of woman)	1262,brother	
by-and-by	1685,after	94,gradually	
climb,ascend	1102,climb	705,go up (ascend)	
climb/ascend	1102,climb	705,go up (ascend)	
close	589,closed	1046,shut	
cold (of weather)	1287,cold	2483,cold (of weather)	
cold (weather)	1287,cold	2483,cold (of weather)	
cook	2315,cook (person)	1100,cook (something)	
darkness	706,dark	11,darkness	
day	1260,day (24 hours)	1225,day (not night)	Allen-2007-500
down, below	1326,down	2094,down or below	
earth	1288,cap	1228,earth (soil)	
expensive	884,share	1426,expensive	
fear	2109,fear or frighten	1419,fear (be afraid)	
five	1738,twenty five	493,five	
foot	2098,foot or leg	1301,foot	
four	1736,twenty four	1500,four	
game	1413,play	2467,game	
grandfather (paternal)	1383,grandfather	2560,paternal grandfather	
ground	1228,earth (soil)	2159,ground	Pozdniakov-2014-100b
ground	690,bottom	2159,ground	
hide	2485,hide (oneself)	2486,hide	
hide	602,hide (conceal)	2486,hide	
hide	763,skin	2486,hide	
know	2248,know (somebody)	1410,know (something)	
KNOW	2248,know (somebody)	1410,know (something)	
leech	949,water leech	2273,leech	
left hand	244,left	2182,left hand	
look at	1650,watch	1819,look	
loose	1933,loosen	2506,loose	
louse	310,head louse	1392,louse	Kassian-2010-116
louse (head)	1392,louse	310,head louse	
male	2263,male (of animal)	1553,male	
man (adult male)	2106,male person	1554,man	
man (human being)	1554,man	683,person	
man (male)	1554,man	2106,male person	
man/male	1554,man	2106,male person	
many	428,be many	1198,many	
milk	93,draw milk	635,milk	
mist	2,dust	249,fog	
mortar	1731,mortar binder	224,mortar crusher	
no/not	1269,no	2279,no or not	
no, not	1240,not	2279,no or not	
not	2279,no or not	1240,not	
oar	234,paddle	108,rudder	
old	2113,old (used)	1229,old	Allen-2007-500
one	1515,ten	1493,one	
painful	2411,hurt (somebody)	1129,painful	
path	667,road	2252,path	
plant	1486,plant (something)	653,plant (vegetation)	
red pepper	506,maize	919,chili pepper	
rice (cooked)	926,RICE	1191,COOKED RICE	
rice (in fields)	925,cassava	2026,rice plant	
rice (in fields)	926,rice	2026,rice plant	
rice (in fields)	925,cassava	2026,rice plant	
right (correct)	1019,right	1725,correct (right)	
right hand	1019,right	2183,right hand	
shadow	960,wind	1388,shade	
short (height)	1645,short	2484,small (not tall)	
sickness	1847,sick	1986,disease	
sister	562,sister (of woman)	1263,sister	
sleep/lie down	2116,rest or sleep	1585,sleep	
smell	1586,smell (perceive)	2124,smell	Wang-2006-200,Chen-1996-200,Chen-1996-100b
smell	1587,smell (stink)	2124,smell	Wang-2006-200,Chen-1996-200,Chen-1996-100b
smoke	1689,smoke (inhale)	778,smoke (exhaust)	
soil	1015,soil	1228,earth (soil)	
stand up	501,lift	570,stand up	
stick	339,digging stick	1295,stick	
sweat	125,sweat (substance)	2458,perspire or sweat	Bulakh-2013-870
sweat	126,sweat (perspire)	2458,perspire or sweat	Bulakh-2013-870
thin	1400,thin (slim)	2308,thin	
thing	1911,draw (water)	738,thing	
think	1415,think (reflect)	2271,think	Ringe-2002-333
thunder	2378,thunder (verb)	1150,thunder	
to be thirsty	848,thirst	847,thirsty	
to drip	808,drip (fall in globules)	2253,drip (emit liquid)	
to fall	2234,fall (of snow and rain)	1280,fall	
to leave it	1752,leave	1097,abandon	
to think	1513,think (believe)	2271,think	
to think	1415,think (reflect)	2271,think	
to think	1513,think (believe)	2271,think	
turn	1445,turn (something)	1588,turn	
war	579,battle	935,war	
warm (of weather)	1232,warm	2110,warm (of weather)	
we (inclusive)	1212,we	1131,we (inclusive)	
weep	130,gratis (of charge)	1839,cry	
whistle	175,blow (of wind)	1025,whistle	
woman/female	962,woman	2105,female person	
flesh	634,meat	2259,flesh	
warm	2110,warm (of weather)	1232,warm	
warm	2272,hot or warm	1232,warm	
thin (object)	2308,thin	2249,thin (of shape of object)	
hunger	1533,be hungry	1864,hunger	
there is	1579,be	2152,there is or there are	
fall	2234,fall (of snow and rain)	1280,fall	
female	2260,female (of person)	1551,female	
below	2094,down or below	1485,below or under	
Know	2248,know (somebody)	1410,know (something)	
seize	702,catch	855,seize	
