SOURCE	SOURCE_GLOSS	RELATION	TARGET	TARGET_GLOSS
658	RAIN (PRECIPITATION)	similar	1253	RAIN (RAINING)
1432	CUT	narrower	2156	CUT (WITH KNIFE)
1432	CUT	narrower	2155	CUT (WITH SCISSORS)
368	SLEDGE	sameas	16	SLED
1496	GRANDMOTHER	narrower	2177	MATERNAL GRANDMOTHER
1496	GRANDMOTHER	broader	2399	GRANDPARENT
917	ORNAMENT	similar	1822	ADORNMENT
620	INSECT	narrower	1027	BUG
620	INSECT	narrower	929	VERMIN
2512	CHICK	narrower	2513	CHICKEN CHICK
1196	PENALTY	sameas	390	PUNISHMENT
2484	SMALL (NOT TALL)	broader	1246	SMALL
2484	SMALL (NOT TALL)	broader	2485	HIDE (ONESELF)
1380	TOOTH	narrower	442	FRONT TOOTH (INCISOR)
1380	TOOTH	narrower	1049	MOLAR TOOTH
1333	NECK	narrower	1346	THROAT
1204	BARK	broader	2127	BARK OR SKIN
2099	CHILD	narrower	1801	CHILD (DESCENDANT)
2099	CHILD	narrower	1304	CHILD (YOUNG HUMAN)
2295	SUNSET	broader	160	SET (HEAVENLY BODIES)
2485	HIDE (ONESELF)	narrower	602	HIDE (CONCEAL)
1258	FINGERNAIL	broader	1896	FINGERNAIL OR TOENAIL
1286	HOT	broader	2272	HOT OR WARM
2054	CHOPSTICK	sameas	1987	CHOPSTICKS
645	OCEAN	broader	2282	SEA OR OCEAN
2300	GREEN OR UNRIPE	narrower	1425	GREEN
2300	GREEN OR UNRIPE	narrower	1958	UNRIPE
1263	SISTER	narrower	562	SISTER (OF WOMAN)
1263	SISTER	narrower	561	SISTER (OF MAN)
1263	SISTER	broader	1640	SIBLING
1128	ORDER	narrower	1998	COMMAND
2460	DINGO	broader	2461	WOLF-LIKE ANIMAL
2139	MUROID (MOUSE OR RAT)	narrower	1490	RAT
2139	MUROID (MOUSE OR RAT)	narrower	669	RODENT
2139	MUROID (MOUSE OR RAT)	narrower	1491	MOUSE
625	LAMP	broader	2131	TORCH OR LAMP
2183	RIGHT HAND	similar	1019	RIGHT
1433	HIT	broader	2133	STRIKE OR BEAT
2195	FRESH (OF WATER)	similar	243	FRESH
2363	CHAFF (HUSK)	narrower	2501	RICE HUSK
2348	CRAB	narrower	2349	SHRIMP
1640	SIBLING	narrower	427	YOUNGER SIBLING
1640	SIBLING	narrower	1262	BROTHER
2130	HEADGEAR	narrower	331	HEADDRESS
2130	HEADGEAR	narrower	1288	CAP
2130	HEADGEAR	narrower	771	HAT
2254	FATHER-IN-LAW (OF WOMAN)	broader	1055	FATHER-IN-LAW
2303	SPHERICAL (ROUND IN THREE DIMENSIONS)	broader	1395	ROUND
2317	SISTER-IN-LAW	broader	2384	COUSIN OR SISTER-IN-LAW
395	PILL	sameas	396	TABLET
1755	UNDRESS	sameas	2326	TAKE OFF ONE'S CLOTHES
1287	COLD	narrower	2483	COLD (OF WEATHER)
668	ROCK	broader	2125	STONE OR ROCK
2212	ARRIVE (OF AN EVENT)	broader	1387	ARRIVE
1834	SHE	broader	262	HE OR SHE OR IT
1301	FOOT	broader	2098	FOOT OR LEG
1494	DIE	similar	2101	DIE OR BE DEAD
811	SOUL	broader	53	SPIRIT
763	SKIN	narrower	2613	SKIN (HUMAN)
763	SKIN	broader	2127	BARK OR SKIN
1057	DAUGHTER-IN-LAW	narrower	2264	DAUGHTER-IN-LAW (OF WOMAN)
2106	MALE PERSON	narrower	1554	MAN
2258	SET ALIGHT (SOMETHING)	sameas	737	LIGHT (IGNITE)
1936	DEER	broader	2456	LARGE WILD HERBIVORE
2138	LEGENDARY CREATURE	narrower	1037	ELF
1586	SMELL (PERCEIVE)	broader	2124	SMELL
1586	SMELL (PERCEIVE)	narrower	375	SNIFF
20	SCYTHE	broader	2132	SICKLE OR SCYTHE
1156	OPEN	broader	1108	UNCOVER
2457	PATH OR ROAD	narrower	2252	PATH
2457	PATH OR ROAD	narrower	667	ROAD
164	KANGAROO	broader	2456	LARGE WILD HERBIVORE
2173	PATERNAL UNCLE (FATHERS OLDER BROTHER)	broader	1985	FATHER'S BROTHER
244	LEFT	similar	2182	LEFT HAND
2480	MALE DOG	broader	2009	DOG
2490	NOON	sameas	12	MIDDAY
498	CALF OF LEG	broader	447	LOWER LEG
711	TALL	broader	2143	LONG OR TALL
1428	BURNING	broader	2102	BURN
2137	MAGICIAN	narrower	824	WITCH
1400	THIN (SLIM)	broader	2308	THIN
1131	WE (INCLUSIVE)	broader	1212	WE
1434	STAB	similar	398	PIERCE
858	STORM	narrower	2532	TORNADO
1253	RAIN (RAINING)	broader	2108	RAINING OR RAIN
1759	OLDER BROTHER	narrower	2415	OLDER BROTHER (OF WOMAN)
1759	OLDER BROTHER	narrower	2414	OLDER BROTHER (OF MAN)
332	RAG	narrower	1020	HANDKERCHIEF
583	KIND OR POLITE	similar	2233	LOVELY
2301	ME	baseof	1209	I
2381	FEATHER OR FUR OR HAIR	narrower	1201	FEATHER
2381	FEATHER OR FUR OR HAIR	narrower	1040	HAIR
2381	FEATHER OR FUR OR HAIR	narrower	580	FUR
2140	DAY OR SUN	narrower	1343	SUN
379	BLUNT	sameas	1397	DULL
664	RESIN	similar	872	TAR
2188	NEW YEAR'S EVE	classof	131	FESTIVAL
1921	PLOUGH	usedfor	2154	PLOUGH (INSTRUMENT)
2256	MOTHER-IN-LAW (OF WOMAN)	broader	2383	AUNT OR MOTHER-IN-LAW
2256	MOTHER-IN-LAW (OF WOMAN)	broader	1050	MOTHER-IN-LAW
2461	WOLF-LIKE ANIMAL	narrower	2448	WILD DOG
