ID	AUTHOR	YEAR	URL	LINK	TAGS	NOTE	REFS
OMEGAWIKI			http://www.omegawiki.org	http://www.omegawiki.org/DefinedMeaning:{OMEGAWIKI_ID}	dictionary, multilingual	The aim of our project is to create a dictionary of all words of all languages, including lexical, terminological and ontological information.	
WIKI			http://en.wikipedia.org/wiki/	http://en.wikipedia.org/wiki/{WIKI_ID}	encyclopedia,multilingual	Wikipedia is a famous online encyclopedia.	
