ID	GLOSS	SEMANTICFIELD	DEFINITION	ONTOLOGICAL_CATEGORY	REPLACEMENT_ID
305	GRANDPARENTS	Kinship	The parents of someone's parent.	Person/Thing	
306	PARENTS-IN-LAW	Kinship	Mother-in-law and father-in-law.	Person/Thing	
307	HAWK	Animals	A predatory bird of the family Accipitridae.	Person/Thing	
308	TOUCAN	Animals	A bird with a large colorful beak, living in the tropics and belonging to the family Ramphastidae.	Person/Thing	
309	OPOSSUM	Animals	A mammal being a member of the family Didelphidae.	Person/Thing	
310	HEAD LOUSE	Animals	A parasitic insect which lives among the hairs on the head of a human and feeds on blood.	Person/Thing	
311	BODY LOUSE	Animals	A parasitic insect that infests the body and clothes of humans and feeds on blood.	Person/Thing	
312	TAPIR	Animals	Any one the species of large odd-toed ungulates of the family Tapiridae with a long prehensile upper lip.	Person/Thing	
313	AGOUTI	Animals	A rodent similar in appearance to a guinea pig but having longer legs.	Person/Thing	
314	CAPYBARA	Animals	The largest living rodent native to South America, living partly on land and partly in water.	Person/Thing	
315	CURASSOW	Animals	A bird, the crested curassow or royal pheasant.	Person/Thing	
316	PACA	Animals	A large rodent, with dark brown or black fur, a white or yellowish underbelly and rows of white spots along its sides, native to Central America and South America.	Person/Thing	
317	PIRANHA	Animals	Any of the carnivorous freshwater fish living in South American rivers and belonging to the subfamily Serrasalminae.	Person/Thing	
318	FOOTPRINT	The body	The impression of the foot in a soft substance such as sand or snow.	Person/Thing	
319	LICK	The body	To stroke with the tongue.	Action/Process	
320	LAME	The body	Moving with pain or difficulty on account of injury, defect or temporary obstruction of a function.	Property	
321	CHEW	Food and drink	To crush with the teeth by repeated closing and opening of the jaws; done to food to soften it and break it down by the action of saliva before it is swallowed.	Action/Process	
322	FIG	Food and drink	The fruit of the fig tree, pear-shaped and containing many small seeds.	Person/Thing	
323	FAT (ORGANIC SUBSTANCE)	The body	Esters of three fatty acid chains and the alcohol glycerol which form a semi-solid substance in room temperature and occur in animals and plants.	Person/Thing	
324	MANIOC FLOUR	Agriculture and vegetation	Flour made of the cassava plant or root.	Person/Thing	
325	FELT	Clothing and grooming	A cloth or stuff made of matted fibres of wool, or wool and fur, fulled or wrought into a compact substance by rolling and pressure, with lees or size, without spinning or weaving.	Person/Thing	
326	CLOAK	Clothing and grooming	A long outer garment worn over the shoulders covering the back; a cape, often with a hood.	Person/Thing	
327	PONCHO	Clothing and grooming	A simple garment, made from a rectangle of cloth, with a slit in the middle for the head.	Person/Thing	
328	GRASS-SKIRT	Clothing and grooming	A skirt made from long dried grass, or synthetic material resembling it.	Person/Thing	
329	STOCKING	Clothing and grooming	A soft garment worn on the foot and lower leg, usually knit or woven, worn under shoes or other footwear.	Person/Thing	
330	HEADBAND	Clothing and grooming	A strip of fabric worn around the head or a hair-accessory, made of a flexible material and curved like a horseshoe, for holding one's hair back.	Person/Thing	
331	HEADDRESS	Clothing and grooming	A decorative covering or ornament worn on the head.	Person/Thing	
332	RAG	Clothing and grooming	A piece of old cloth; a tattered piece of cloth; a shred, a tatter.	Person/Thing	
333	PLAIT	Clothing and grooming	A flat fold; a doubling, as of cloth; a pleat.	Person/Thing	
334	COOKHOUSE	The house	A small house where cooking takes place; a kitchen house.	Person/Thing	
335	MEETING HOUSE	The house	A building where people meet for a purpose.	Person/Thing	
336	PADLOCK	The house	A detachable lock that can be used to secure something by means of a sliding or hinged shackle	Person/Thing	
337	PITCHFORK	Agriculture and vegetation	An agricultural tool comprising a fork attached to a long handle used for pitching hay or bales of hay high up onto a haystack.	Person/Thing	
338	RAKE	Agriculture and vegetation	A garden tool with a row of pointed teeth fixed to a long handle, used for collecting grass or debris, or for loosening soil.	Person/Thing	
339	DIGGING STICK	Agriculture and vegetation	A rod shaped implement used by the aboriginal people of Australia to dig yam and as a combat weapon.	Person/Thing	
340	LASSO	Agriculture and vegetation	A long rope with a sliding loop on one end, generally used in ranching to catch cattle and horses.	Person/Thing	
341	SICKLE	Agriculture and vegetation	An implement, having a semicircular blade and short handle, used for cutting long grass and cereal crops in agriculture	Person/Thing	
342	HAY	Agriculture and vegetation	Grass or cut and dried for use as animal fodder.	Person/Thing	
343	VINE	Agriculture and vegetation	the climbing plant (genus: Vitis) that produces grapes	Person/Thing	
344	TREE TRUNK	Agriculture and vegetation	The main structural member of a tree.	Person/Thing	
345	SAP	Agriculture and vegetation	The juice of plants of any kind, especially the ascending and descending juices or circulating fluid essential to nutrition.	Person/Thing	
346	BANYAN	Agriculture and vegetation	A tropical Indian fig tree, Ficus benghalensis, that has many aerial roots.	Person/Thing	
347	SORGHUM	Agriculture and vegetation	A cereal, Sorghum vulgare or Sorghum bicolor, the grains of which are used to make flour and as cattle feed.	Person/Thing	
348	FISH POISON	Agriculture and vegetation	In Amazonia, a kind of root is apparently used as fish poison.	Person/Thing	
349	ACHIOTE	Agriculture and vegetation	A derivative of the achiote trees of tropical regions of the Americas used as a red food coloring and as a flavoring.	Person/Thing	
350	MANGROVE	Agriculture and vegetation	Any of various tropical evergreen trees or shrubs that grow in shallow coastal water; Plants of the Rhizophoraceae family and/or of the genus Rhizophora.	Person/Thing	
351	TARO	Agriculture and vegetation	Colocasia esculenta, raised as a food primarily for its corm, which distantly resembles potato.	Person/Thing	
352	UNTIE	Basic actions and technology	To loosen, as something interlaced or knotted; to disengage the parts of. To unbind, to free from restraint	Action/Process	
353	STRIKE	Basic actions and technology	To intentionally hit with a sharp blow or to impel, usually with a hand or weapon.	Action/Process	
354	POUND	Basic actions and technology	To strike hard, usually repeatedly.	Action/Process	
355	CUT DOWN	Basic actions and technology	To bring down by cutting.	Action/Process	
