ID	GLOSS	SEMANTICFIELD	DEFINITION	ONTOLOGICAL_CATEGORY	REPLACEMENT_ID
134	FAULT	Emotions and values	Wrong act done deliberately or good act omitted deliberately.	Person/Thing	
135	BOOMERANG	Basic actions and technology	A tool with a curved shape used as a weapon or for sport which returns when thrown into the air.	Person/Thing	
136	HERE	Miscellaneous function words	At this place.	Other	
137	COCA	Agriculture and vegetation	A plant in the family Erythroxylaceae, native to western South America.	Person/Thing	
138	BATHE	The body	To clean oneself by immersion in water.	Action/Process	
139	GUMS	The body	The mucosal tissue that partly lies over the teeth in the mouth.	Person/Thing	
140	PADDY FIELD	Agriculture and vegetation	A flooded field where rice is grown.	Person/Thing	
141	BURN (SOMETHING)	The physical world	To cause to undergo fire combustion.	Action/Process	
142	RETURN HOME	Motion	To go to one's home after having left it, such as after a working day or holidays.	Action/Process	
143	HUMID	The physical world	(Of the air) Containing a high quantity of water vapor.	Property	
144	MACHINE	Modern world	A device able to perform a particular, more or less complex, job.	Person/Thing	
145	SORROWFUL	Emotions and values	Filled with grief, sorrow, woe.	Property	
146	SUGAR CANE	Agriculture and vegetation	A tropical grass of the genus Saccharum having stout, fibrous, jointed stalks, the sap of which is a source of sugar.	Person/Thing	
147	COCONUT TREE	Agriculture and vegetation	A tropical tree with feathery leaves which bears coconuts.	Person/Thing	
148	ITCH	The body	An unpleasant sensation on the skin that provokes the desire to scratch.	Person/Thing	
149	ITCHY	Sense perception	Having a sensation that provokes the need to scratch.	Property	
150	WORRY	Emotions and values	To be anxious about something.	Action/Process	
151	RAZOR	Clothing and grooming	A bladed tool used for the removal of body hair through the act of shaving.	Person/Thing	
152	HOOF	The body	Natural horn covering of an animal's foot.	Person/Thing	
153	GREY	Sense perception	Having a colour between black and white, like ash or stone.	Property	
154	UDDER	The body	An organ in female quadruped mammals which consists of mammary glands and has several teats.	Person/Thing	
155	CHOP	Basic actions and technology	To chop wood, or to chop meat, vegetables etc. into small pieces.	Action/Process	
156	RED	Sense perception	Having red as its colour.	Property	
157	DYE	Clothing and grooming	To modify the color of something by applying dye.	Action/Process	
158	PUT ON	Clothing and grooming	To put clothes onto ones body to wear them.	Action/Process	
159	SWEET POTATO	Agriculture and vegetation	A dicotyledonous plant of the family Convolvulaceae, having an edible tuberous root.	Person/Thing	
160	SET (HEAVENLY BODIES)	The physical world	[Of a heavenly body, essentially the Sun and the Moon] To disappear below the horizon of a planet or another heavenly body (most often the Earth).	Action/Process	
161	MISS (A TARGET)	Basic actions and technology	To fail to hit (a target, a bell, etc.).	Action/Process	
162	HICCOUGH	The body	To have spasms of the diaphragm.	Action/Process	
163	BLACK	Sense perception	Dark and colourless; not reflecting visible light.	Property	
164	KANGAROO	Animals	A marsupial from the family Macropodidae having powerful hind legs and large feet for leaping.	Person/Thing	
165	WALLABY	Animals	Any of several species of marsupial; usually smaller and stockier than kangaroos.	Person/Thing	
166	MAINLAND	The physical world	A large and continuous mass of land representing most of a region or a country but excluding outlying islands.	Person/Thing	
167	MAIL	Modern world	A batch of letters and parcels received via post.	Person/Thing	
168	REST	The body	To cease working, moving or thinking for some time in order to relieve fatigue.	Action/Process	
169	IT	Kinship	An inanimate object, an animate object of unspecified sex, or a subject that is previously mentioned.	Other	
170	FATHER'S SISTER	Kinship	The sister of one's father.	Person/Thing	
171	MOTHER'S SISTER	Kinship	The sister of one's mother.	Person/Thing	
172	SHOULDERBLADE	The body	A large flat bone located at the back of each shoulder.	Person/Thing	
173	SIBLING'S CHILD	Kinship	The child of a sibling.	Person/Thing	
174	PROUD	Emotions and values	Feeling greatly pleased, or satisfied by something or someone that is highly honorable or creditable to oneself	Property	
175	BLOW (OF WIND)	Motion	(Of the wind or a current of air) To move.	Action/Process	
176	BLOW (WITH MOUTH)	Basic actions and technology	To expel air through persed lips.	Action/Process	
177	BETEL PEPPER VINE	Agriculture and vegetation	A vine of the species 'Piper betle' whose leaves are chewed for its medicinal properties.	Person/Thing	
178	RIPE	Food and drink	(Of fruits, seeds, etc.) Having reached the stage of development suitable for harvesting and eating.	Property	
179	RIPEN	Food and drink	(For a fruit, seed, etc.) To become ripe.	Action/Process	
180	CALL BY NAME	Speech and language	To give a name or designation of a common noun that, e.g., reflects a quality.	Action/Process	
181	ANTEATER	Animals	A mammal of the suborder Vermilingua having elongated snouts and feeding on ants and termites.	Person/Thing	
182	SPOKE	Motion	One of the connecting rods between the wheel hub and the rim.	Person/Thing	
