ID	GLOSS	FREQUENCY
1380	TOOTH	147
948	WATER	146
1248	EYE	145
1498	TWO	143
946	BLOOD	140
221	FIRE	140
1336	EAT	140
1247	EAR	140
1205	TONGUE	140
1493	ONE	138
1221	NOSE	138
1405	NAME	137
1256	HEAD	137
1430	STAR	136
1394	BONE	136
744	EGG	135
674	MOUTH	135
1343	SUN	135
2009	DOG	134
1233	NIGHT	133
906	TREE	132
227	FISH	132
1040	HAIR	132
937	BIRD	131
163	BLACK	131
1220	TAIL	131
1277	HAND	130
857	STONE	128
628	LEAF	128
1209	I	128
1215	THOU	127
1409	SEE	126
1333	NECK	125
1585	SLEEP	124
1313	MOON	124
778	SMOKE (EXHAUST)	122
646	ASH	122
1401	DRINK	122
1335	WHITE	122
1203	LONG	122
1202	BIG	122
1035	GOOD	122
1494	DIE	121
1489	CLOUD	121
1231	NEW	121
1224	LIVER	121
763	SKIN	120
1246	SMALL	120
1223	HEART	120
683	PERSON	119
1447	GIVE	119
1416	SIT	119
1408	HEAR	119
1446	COME	118
670	ROOT	117
156	RED	117
1442	STAND	117
1301	FOOT	116
1236	WHAT	116
1228	EARTH (SOIL)	116
1235	WHO	115
1251	BELLY	114
962	WOMAN	113
671	SAND	113
1410	KNOW (SOMETHING)	112
1392	LOUSE	111
1417	KILL	110
1403	BITE	109
639	MOUNTAIN	108
1287	COLD	108
1398	DRY	107
1441	FLY (MOVE THROUGH AIR)	105
1371	KNEE	105
1214	THIS	104
492	THREE	102
1443	WALK	102
1425	GREEN	102
730	SNAKE	101
960	WIND	100
1554	MAN	99
1424	YELLOW	99
1201	FEATHER	99
1198	MANY	98
98	ALL	96
1402	BREAST	96
1393	HORN (ANATOMY)	96
323	FAT (ORGANIC SUBSTANCE)	94
1458	SAY	94
1429	FULL	94
78	THAT	93
714	SEED	93
1439	SWIM	93
493	FIVE	90
1406	FAR	90
1732	SKY	89
1500	FOUR	89
1274	SALT	89
1210	HEAVY	89
606	GRASS	88
1204	BARK	88
239	FLOWER	87
1216	MOTHER	86
1645	SHORT	85
1942	NEAR	84
1217	FATHER	84
1257	WING	83
1212	WE	83
1355	LAUGH	82
1280	FALL	82
1226	YEAR	82
1019	RIGHT	82
1292	BAD	80
1240	NOT	80
1291	BACK	78
1396	SHARP	77
1225	DAY (NOT NIGHT)	77
244	LEFT	76
666	RIVER	75
1395	ROUND	75
1418	DIG	74
1432	CUT	73
1237	WHERE	73
667	ROAD	72
658	RAIN (PRECIPITATION)	72
624	LAKE	72
1278	VOMIT	72
2	DUST	71
175	BLOW (OF WIND)	71
1726	WET	71
1411	LIE (REST)	71
1297	LEG	71
1199	WIFE	71
1507	FRUIT	70
1456	THROW	70
