CONCEPTICON_ID	SIMLEX999_GLOSS	SIMLEX999_CONCRETENESS
7	gather	2.75
9	announce	3.31
24	pray	3.21
25	dirt	4.86
27	air	4.11
41	ignore	2.22
53	spirit	1.6
54	shrink	3.55
82	anger	2.41
110	motor	4.84
113	shore	4.79
117	imitate	2.66
129	choke	3.97
132	sauce	4.75
144	machine	4.25
174	proud	2.07
192	corner	4.61
202	strength	2.96
203	marry	3.03
209	rare	1.96
216	movie	4.59
239	flower	5
243	fresh	1.97
248	happen	1.78
249	fog	4.66
259	rough	3.83
287	cone	4.86
300	rattle	4.07
307	hawk	4.93
369	owe	2.07
404	alcohol	4.76
476	cup	5
478	lip	4.96
479	grow	3.03
480	plate	4.77
485	disappear	2.86
486	minister	4.22
488	manner	1.62
489	kidney	4.96
500	cruel	2.11
502	nail	4.93
504	learn	2.2
509	certain	1.68
559	brother	4.43
560	brother	4.43
563	young	3.16
564	young	3.16
565	old	2.72
566	old	2.72
579	battle	4
580	fur	4.69
582	lend	3.07
584	difficult	2.21
586	garden	4.73
587	ant	4.86
593	potato	4.85
597	physician	4.65
600	strange	1.86
603	coat	4.97
604	glass	4.82
606	grass	4.93
614	hill	4.93
615	horse	5
616	hospital	4.64
617	ice	4.89
619	animal	4.61
620	insect	4.89
621	iron	4.59
622	island	4.96
624	lake	4.88
634	meat	4.9
635	milk	4.92
637	moss	4.9
639	mountain	4.96
640	mud	4.86
642	music	4.31
644	oak	4.82
645	ocean	4.86
648	paper	4.93
658	rain	4.97
660	reef	4.7
665	bee	4.88
666	river	4.89
670	root	4.34
673	school	4.79
674	mouth	4.74
681	destroy	3.08
682	side	3.68
683	person	4.72
685	decide	1.92
686	easy	2.07
688	lung	4.82
690	bottom	4.25
691	season	3.32
692	bring	2.55
694	get	2.38
695	go	3.15
699	sad	3.07
700	carry	4.04
713	steal	3.84
714	seed	4.71
719	find	2.63
724	read	3.56
729	dawn	4.46
733	earn	2.39
734	make	2.67
736	yard	4.82
747	bicycle	4.89
749	enter	3.12
755	deny	2.2
757	button	4.96
768	lunch	4.31
769	roof	4.79
771	hat	4.88
772	belt	4.9
783	victory	2.55
784	snow	4.85
785	strong	3.14
789	people	4.82
798	jaw	4.87
799	wrist	4.93
803	ankle	4.81
805	spine	4.88
806	blanket	5
811	soul	1.86
813	do	2.46
819	stomach	4.89
820	lamb	4.97
832	bean	5
835	chapter	3.43
842	liquor	4.73
852	priest	4.77
858	storm	4.7
862	sugar	4.87
865	fame	1.96
866	win	2.67
867	glove	4.97
869	blade	4.93
873	tax	3.89
874	candy	4.83
893	tin	4.87
899	president	4.4
906	tree	5
908	drum	4.96
910	death	3.73
916	linen	4.8
921	valley	4.72
926	rice	4.86
933	wall	4.86
937	bird	5
938	mare	4.75
939	horn	5
942	honey	4.88
946	blood	4.86
947	stream	4.5
948	water	5
952	weather	3.83
959	wagon	4.89
962	woman	4.46
963	book	4.9
965	world	4.36
969	cigarette	4.88
974	tobacco	4.88
977	arrow	4.97
981	elbow	5
985	vinegar	4.89
987	remain	1.96
992	cliff	4.71
998	put	2.5
1004	muscle	4.5
1006	brick	4.83
1007	cow	4.96
1008	bull	4.85
1010	boundary	3.04
1011	bridge	4.97
1016	drizzle	4.21
1038	teacher	4.52
1047	pursue	2.83
1062	law	2.57
1063	nephew	4.48
1066	crime	3.03
1070	bus	4.9
1077	wheat	4.89
1096	song	4.46
1104	nurse	4.39
1105	camp	4.35
1111	car	4.89
1112	succeed	2.33
1119	divide	2.86
1120	honest	1.66
1124	pipe	4.88
1127	send	2.7
1136	rabbit	4.93
1145	swamp	4.96
1153	cattle	4.64
1169	ox	4.86
1182	noise	3.52
1188	charcoal	4.85
1199	wife	4.13
1200	husband	4.11
1202	big	3.66
1203	long	3.18
1205	tongue	4.93
1207	young	3.16
1208	cat	4.86
1210	heavy	3.37
1216	mother	4.6
1217	father	4.52
1220	tail	4.96
1221	nose	4.89
1223	heart	4.52
1224	liver	4.68
1225	day	3.92
1226	year	3.25
1229	old	2.72
1230	dirty	4.23
1231	new	2.81
1233	night	4.52
1243	wide	3.06
1245	butter	4.9
1248	eye	4.9
1251	belly	4.8
1252	house	5
1256	head	4.75
1260	day	3.92
1262	brother	4.43
1266	bride	4.63
1267	narrow	3.04
1272	aunt	4.17
1274	salt	4.89
1277	hand	4.72
1285	important	2.14
1289	baby	5
1292	bad	1.68
1297	leg	4.83
1298	newspaper	4.82
1299	coffee	4.81
1301	foot	4.9
1303	finger	5
1304	child	4.78
1306	queen	4.45
1307	language	2.35
1309	ask	2.52
1310	clever	1.79
1312	fox	4.97
1313	moon	4.9
1318	chicken	4.8
1320	apple	5
1321	bottle	4.91
1322	breakfast	4.43
1325	friend	3.07
1327	uncle	4.24
1330	defend	2.31
1331	sheep	4.9
1333	neck	5
1338	peace	1.62
1339	morning	3.44
1342	summer	3.64
1343	sun	4.83
1346	throat	4.97
1349	church	4.9
1352	knife	4.9
1357	daughter	4.79
1362	street	4.75
1365	kitchen	4.97
1366	boy	4.76
1368	bread	4.92
1370	month	4.2
1371	knee	5
1373	tea	4.69
1375	window	4.86
1378	spoon	4.96
1379	telephone	4.96
1380	tooth	4.89
1386	lion	4.96
1387	arrive	3.22
1389	toe	4.93
1393	horn	5
1394	bone	4.9
1396	sharp	3.86
1397	dull	2.37
1407	breathe	4.07
1408	hear	3.66
1410	know	1.68
1415	think	2.41
1417	kill	3.9
1427	beautiful	2.16
1446	come	2.72
1447	give	2.83
1450	room	4.79
1458	say	2.58
1462	pot	4.81
1465	box	4.9
1469	week	3.48
1471	winter	3.84
1472	key	4.89
1474	sea	4.79
1476	chair	4.58
1477	keep	2.37
1480	body	4.79
1482	shoulder	4.93
1484	oil	4.93
1489	cloud	4.54
1490	rat	4.85
1491	mouse	4.83
1492	dumb	2.36
1495	happy	2.56
1499	juice	4.89
1502	goat	5
1508	king	4.1
1513	think	2.41
1514	hen	4.9
1518	stupid	1.75
1521	seem	1.75
1523	forget	2.04
1524	wine	4.79
1525	coast	4.21
1526	meal	4.62
1528	forgive	1.92
1530	bowl	4.87
1534	fever	3.27
1536	understand	2.28
1539	basket	5
1547	soup	4.72
1554	man	4.79
1559	money	4.54
1561	army	4.7
1566	gun	4.83
1567	door	4.81
1568	arrange	2.79
1569	cheese	4.7
1571	sell	3.35
1582	tin	4.87
1583	brain	4.69
1592	chest	4.93
1594	flour	4.97
1595	south	3.84
1598	north	4.14
1599	word	3.56
1608	listen	3.47
1609	idea	1.61
1612	letter	4.7
1616	cloth	4.9
1620	son	4.14
1623	speak	3.7
1626	explain	1.97
1629	evening	3.26
1631	fast	3.32
1632	floor	4.8
1635	obey	2.67
1639	beer	4.88
1643	cousin	3.7
1645	short	3.61
1646	girl	4.85
1651	tear	4.56
1658	pupil	4.55
1660	lose	2.25
1663	bed	5
1667	hole	4.81
1668	grief	2.7
1671	tower	4.76
1673	arm	4.96
1678	hut	4.65
1681	waist	4.72
1682	guilty	2.36
1683	bush	4.9
1690	fence	4.82
1691	flexible	2.64
1730	cheek	4.83
1732	sky	4.45
1743	join	2.86
1745	hip	4.21
1749	take	3.06
1750	choose	2.62
1752	leave	2.53
1753	top	3.93
1763	club	3.78
1776	shame	2.24
1781	thumb	4.96
1782	guest	3.83
1783	pain	3.5
1784	want	1.93
1788	television	4.83
1789	age	2.86
1801	child	4.78
1803	wood	4.85
1806	begin	2.56
1810	danger	2.68
1812	try	2.22
1817	west	3.44
1823	borrow	3.1
1826	angry	2.53
1828	ask	2.52
1831	meet	3
1833	dinner	4.5
1835	marrow	4.48
1840	build	3.71
1844	boat	4.93
1845	ball	5
1847	sick	2.97
1850	cotton	4.97
1869	buy	3.35
1870	anchor	4.77
1884	hard	3.76
1887	cheap	2.11
1888	pair	3.88
1890	believe	1.55
1894	ashamed	1.74
1895	clothes	4.76
1899	mad	2.76
1923	rough	3.83
1924	vein	4.63
1941	soldier	4.72
1944	god	2.07
1966	bunch	3.5
1967	calendar	4.62
1972	kid	4.56
1973	demon	3.32
1986	disease	3.45
1989	calf	4.48
1990	become	1.54
1999	overcome	2.28
2009	dog	4.85
2010	investigate	2.27
2023	crowd	4.52
2033	deliver	3.12
2050	alcohol	4.76
2060	story	3.3
2062	interest	1.8
2099	child	4.78
2163	marry	3.03
2164	marry	3.03
2195	fresh	1.97
2204	ledge	4.72
2212	arrive	3.22
2239	dense	3.14
2244	metal	4.87
2246	bell	4.96
2248	know	1.68
2259	flesh	4.59
2271	think	2.41
2295	sunset	4.54
2296	sunrise	4.69
2297	dusk	4.24
2299	straw	4.77
2386	turkey	4.89
2394	chief	4.26
2406	home	4.11
2407	birthday	3.2
2429	logic	1.72
2433	theory	1.47
2434	tragedy	2.07
2467	game	4.5
2468	bag	4.9
2471	lady	4.33
2504	different	1.97
2505	bedroom	4.9
2524	joy	2.37
2527	ability	1.81
2528	size	3.13
2534	depth	3.11
2542	herb	4.57
2546	border	4.29
2549	vehicle	4.64
2553	misery	2.04
2554	prince	4.44
2555	oil	4.93
2556	oil	4.93
2570	beef	4.74
2571	try	2.22
2584	bench	4.87
2588	globe	4.59
