ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	LOCAL_ID
Heggarty-2016-186-1	1493	ONE	1	one	1
Heggarty-2016-186-2	1498	TWO	2	two	2
Heggarty-2016-186-3	492	THREE	3	three	3
Heggarty-2016-186-4	1500	FOUR	4	four	4
Heggarty-2016-186-5	493	FIVE	5	five	5
Heggarty-2016-186-6	1703	SIX	6	six	6
Heggarty-2016-186-7	1704	SEVEN	7	seven	7
Heggarty-2016-186-8	1705	EIGHT	8	eight	8
Heggarty-2016-186-9	1483	NINE	9	nine	9
Heggarty-2016-186-10	1515	TEN	10	ten	10
Heggarty-2016-186-11			11	twenty	11
Heggarty-2016-186-12			12	fifty	15
Heggarty-2016-186-13			13	one hundred	20
Heggarty-2016-186-14			14	one thousand	21
Heggarty-2016-186-15	1226	YEAR	15	year	51
Heggarty-2016-186-16			16	right	81
Heggarty-2016-186-17			17	left	82
Heggarty-2016-186-18			18	I	101
Heggarty-2016-186-19			19	we  (all, INcl.)	102
Heggarty-2016-186-20			20	thou	104
Heggarty-2016-186-21			21	you  (all)	105
Heggarty-2016-186-22			22	he/she	106
Heggarty-2016-186-23			23	they  (both)	107
Heggarty-2016-186-24			24	no, not	112
Heggarty-2016-186-25			25	what	121
Heggarty-2016-186-26			26	who	122
Heggarty-2016-186-27			27	where	123
Heggarty-2016-186-28			28	when	124
Heggarty-2016-186-29			29	how	125
Heggarty-2016-186-30	1214	THIS	30	this	131
Heggarty-2016-186-31			31	that	132
Heggarty-2016-186-32			32	above	138
Heggarty-2016-186-33			33	below	139
Heggarty-2016-186-34			34	in, inside	141
Heggarty-2016-186-35	1256	HEAD	35	head	201
Heggarty-2016-186-36	1040	HAIR	36	hair	205
Heggarty-2016-186-37	1248	EYE	37	eye	211
Heggarty-2016-186-38	1221	NOSE	38	nose	212
Heggarty-2016-186-39	1247	EAR	39	ear	213
Heggarty-2016-186-40	674	MOUTH	40	mouth	221
Heggarty-2016-186-41	1205	TONGUE	41	tongue	223
Heggarty-2016-186-42	1380	TOOTH	42	tooth	224
Heggarty-2016-186-43	1277	HAND	43	hand	231
Heggarty-2016-186-44			44	shoulder	233
Heggarty-2016-186-45	1333	NECK	45	neck	241
Heggarty-2016-186-46	1291	BACK	46	back	242
Heggarty-2016-186-47	1297	LEG	47	leg	252
Heggarty-2016-186-48	946	BLOOD	48	blood	261
Heggarty-2016-186-49	1394	BONE	49	bone	262
Heggarty-2016-186-50	763	SKIN	50	skin	263
Heggarty-2016-186-51			51	belly	271
Heggarty-2016-186-52			52	intestines	272
Heggarty-2016-186-53	1402	BREAST	53	breast	274
Heggarty-2016-186-54			54	liver	284
Heggarty-2016-186-55	2009	DOG	55	dog	312
Heggarty-2016-186-56	937	BIRD	56	bird	321
Heggarty-2016-186-57			57	fish	324
Heggarty-2016-186-58			58	snake	341
Heggarty-2016-186-59	1219	WORM	59	worm	342
