ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	LOCAL_ID
Heggarty-2016-137-1	1493	ONE	1	one	1
Heggarty-2016-137-2	1498	TWO	2	two	2
Heggarty-2016-137-3	492	THREE	3	three	3
Heggarty-2016-137-4	1500	FOUR	4	four	4
Heggarty-2016-137-5	493	FIVE	5	five	5
Heggarty-2016-137-6	1703	SIX	6	six	6
Heggarty-2016-137-7	1704	SEVEN	7	seven	7
Heggarty-2016-137-8	1705	EIGHT	8	eight	8
Heggarty-2016-137-9	1483	NINE	9	nine	9
Heggarty-2016-137-10	1515	TEN	10	ten	10
Heggarty-2016-137-11			11	hundred	20
Heggarty-2016-137-12			12	my	71
Heggarty-2016-137-13			13	your	72
Heggarty-2016-137-14			14	your	74
Heggarty-2016-137-15			15	own	78
Heggarty-2016-137-16			16	on the left	82
Heggarty-2016-137-17			17	I	101
Heggarty-2016-137-18			18	us	103
Heggarty-2016-137-19			19	you (sg.)	104
Heggarty-2016-137-20			20	him/his	108
Heggarty-2016-137-21	1240	NOT	21	not	112
Heggarty-2016-137-22			22	where?	123
Heggarty-2016-137-23			23	there	133
Heggarty-2016-137-24			24	and	135
Heggarty-2016-137-25			25	at sea	141
Heggarty-2016-137-26	1256	HEAD	26	head	201
Heggarty-2016-137-27	1221	NOSE	27	nose	212
Heggarty-2016-137-28	1247	EAR	28	ear	213
Heggarty-2016-137-29			29	tears	214
Heggarty-2016-137-30	1205	TONGUE	30	tongue	223
Heggarty-2016-137-31			31	teeth	224
Heggarty-2016-137-32			32	beard	225
Heggarty-2016-137-33			33	hands	231
Heggarty-2016-137-34	1371	KNEE	34	knee	253
Heggarty-2016-137-35	946	BLOOD	35	blood	261
Heggarty-2016-137-36	1223	HEART	36	heart	281
Heggarty-2016-137-37	2009	DOG	37	dog	312
Heggarty-2016-137-38			38	wolf	314
Heggarty-2016-137-39	1491	MOUSE	39	mouse	315
Heggarty-2016-137-40			40	fish (pl.)	324
Heggarty-2016-137-41			41	cow	331
Heggarty-2016-137-42			42	sheep	335
Heggarty-2016-137-43			43	eggs	381
Heggarty-2016-137-44	1393	HORN (ANATOMY)	44	horn	382
Heggarty-2016-137-45	1257	WING	45	wing	384
Heggarty-2016-137-46			46	feather	385
Heggarty-2016-137-47			47	wool	390
Heggarty-2016-137-48	1405	NAME	48	name	410
Heggarty-2016-137-49			49	words	411
Heggarty-2016-137-50			50	world/light	415
Heggarty-2016-137-51			51	brothers	433
Heggarty-2016-137-52			52	days	501
Heggarty-2016-137-53	1233	NIGHT	53	night	502
Heggarty-2016-137-54	1226	YEAR	54	year	505
Heggarty-2016-137-55			55	summer	506
Heggarty-2016-137-56			56	winter	508
Heggarty-2016-137-57	1343	SUN	57	sun	511
Heggarty-2016-137-58			58	moon/month	512
Heggarty-2016-137-59			59	sky	515
Heggarty-2016-137-60	948	WATER	60	water	521
Heggarty-2016-137-61			61	rivers	522
Heggarty-2016-137-62			62	lakes	523
Heggarty-2016-137-63			63	sea	524
Heggarty-2016-137-64	221	FIRE	64	fire	541
Heggarty-2016-137-65	778	SMOKE (EXHAUST)	65	smoke	542
Heggarty-2016-137-66	646	ASH	66	ash	543
Heggarty-2016-137-67	857	STONE	67	stone	551
Heggarty-2016-137-68			68	earth/land	552
Heggarty-2016-137-69	671	SAND	69	sand	554
Heggarty-2016-137-70	1369	GOLD	70	gold	561
Heggarty-2016-137-71			71	snow	582
Heggarty-2016-137-72			72	ice	583
Heggarty-2016-137-73	960	WIND	73	wind	585
Heggarty-2016-137-74			74	thunder	592
Heggarty-2016-137-75	1368	BREAD	75	bread	602
Heggarty-2016-137-76			76	meat	603
Heggarty-2016-137-77	1274	SALT	77	salt	604
Heggarty-2016-137-78			78	grain/corn	607
Heggarty-2016-137-79			79	honey	615
Heggarty-2016-137-80			80	straw	620
Heggarty-2016-137-81			81	bark	623
Heggarty-2016-137-82	670	ROOT	82	root	624
Heggarty-2016-137-83			83	thorn	627
Heggarty-2016-137-84			84	oaks	629
Heggarty-2016-137-85	606	GRASS	85	grass	631
Heggarty-2016-137-86			86	fields	641
Heggarty-2016-137-87			87	table	659
Heggarty-2016-137-88			88	needle	663
Heggarty-2016-137-89			89	wheel	684
Heggarty-2016-137-90			90	game	686
Heggarty-2016-137-91			91	city/place	694
Heggarty-2016-137-92	163	BLACK	92	black	701
Heggarty-2016-137-93	1335	WHITE	93	white	702
Heggarty-2016-137-94	1425	GREEN	94	green	704
Heggarty-2016-137-95	1424	YELLOW	95	yellow	705
Heggarty-2016-137-96			96	long	721
Heggarty-2016-137-97			97	thin	736
Heggarty-2016-137-98			98	wide	738
Heggarty-2016-137-99			99	sharp	741
Heggarty-2016-137-100			100	blunt	742
Heggarty-2016-137-101			101	young	751
Heggarty-2016-137-102			102	old	752
Heggarty-2016-137-103			103	alive	765
Heggarty-2016-137-104			104	holy	766
Heggarty-2016-137-105			105	naked	767
Heggarty-2016-137-106			106	dear/sweet	768
Heggarty-2016-137-107			107	good	771
Heggarty-2016-137-108			108	true	774
Heggarty-2016-137-109	1429	FULL	109	full	784
Heggarty-2016-137-110			110	far	788
Heggarty-2016-137-111			111	near	789
Heggarty-2016-137-112			112	hot	791
Heggarty-2016-137-113	1398	DRY	113	dry	793
Heggarty-2016-137-114			114	wet	794
