ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	LOCAL_ID
Heggarty-2016-125-1	1493	ONE	1	one	1
Heggarty-2016-125-2	1498	TWO	2	two	2
Heggarty-2016-125-3	492	THREE	3	three	3
Heggarty-2016-125-4	1500	FOUR	4	four	4
Heggarty-2016-125-5	493	FIVE	5	five	5
Heggarty-2016-125-6	1703	SIX	6	six	6
Heggarty-2016-125-7	1704	SEVEN	7	seven	7
Heggarty-2016-125-8	1705	EIGHT	8	eight	8
Heggarty-2016-125-9	1483	NINE	9	nine	9
Heggarty-2016-125-10	1515	TEN	10	ten	10
Heggarty-2016-125-11			11	twenty	11
Heggarty-2016-125-12			12	hundred	20
Heggarty-2016-125-13			13	thousand	21
Heggarty-2016-125-14	1226	YEAR	14	year	51
Heggarty-2016-125-15			15	my	71
Heggarty-2016-125-16			16	your	72
Heggarty-2016-125-17			17	his	73
Heggarty-2016-125-18			18	your	74
Heggarty-2016-125-19	1240	NOT	19	not	112
Heggarty-2016-125-20			20	when?	124
Heggarty-2016-125-21			21	which?	126
Heggarty-2016-125-22			22	in	141
Heggarty-2016-125-23			23	few	162
Heggarty-2016-125-24			24	part	181
Heggarty-2016-125-25	1256	HEAD	25	head	201
Heggarty-2016-125-26	1248	EYE	26	eye	211
Heggarty-2016-125-27	1247	EAR	27	ear	213
Heggarty-2016-125-28			28	tear	214
Heggarty-2016-125-29	1205	TONGUE	29	tongue	223
Heggarty-2016-125-30	1380	TOOTH	30	tooth	224
Heggarty-2016-125-31			31	beard	225
Heggarty-2016-125-32	1277	HAND	32	hand	231
Heggarty-2016-125-33			33	arm	234
Heggarty-2016-125-34			34	finger	236
Heggarty-2016-125-35	1301	FOOT	35	foot	251
Heggarty-2016-125-36	946	BLOOD	36	blood	261
Heggarty-2016-125-37	1394	BONE	37	bone	262
Heggarty-2016-125-38			38	nail	264
Heggarty-2016-125-39			39	cough	266
Heggarty-2016-125-40			40	liver	284
Heggarty-2016-125-41			41	beast	302
Heggarty-2016-125-42			42	wolf	314
Heggarty-2016-125-43			43	deer	316
Heggarty-2016-125-44			44	donkey	317
Heggarty-2016-125-45			45	bear	318
Heggarty-2016-125-46			46	goat	319
Heggarty-2016-125-47			47	cow	331
Heggarty-2016-125-48	1219	WORM	48	worm	342
Heggarty-2016-125-49	744	EGG	49	egg	381
Heggarty-2016-125-50	1393	HORN (ANATOMY)	50	horn	382
Heggarty-2016-125-51			51	wool	390
Heggarty-2016-125-52	1405	NAME	52	name	410
Heggarty-2016-125-53			53	mother	431
Heggarty-2016-125-54			54	father	432
Heggarty-2016-125-55			55	widow	437
Heggarty-2016-125-56			56	daughter	441
Heggarty-2016-125-57			57	neighbour	452
Heggarty-2016-125-58			58	sin	471
Heggarty-2016-125-59	1233	NIGHT	59	night	502
Heggarty-2016-125-60			60	hour	504
Heggarty-2016-125-61			61	autumn	507
Heggarty-2016-125-62			62	winter	508
Heggarty-2016-125-63			63	week	509
Heggarty-2016-125-64	1313	MOON	64	moon	512
Heggarty-2016-125-65	1430	STAR	65	star	513
Heggarty-2016-125-66			66	sky	515
Heggarty-2016-125-67	948	WATER	67	water	521
Heggarty-2016-125-68			68	sea	524
Heggarty-2016-125-69	857	STONE	69	stone	551
Heggarty-2016-125-70			70	earth	552
Heggarty-2016-125-71	1369	GOLD	71	gold	561
Heggarty-2016-125-72	960	WIND	72	wind	585
Heggarty-2016-125-73			73	heat	587
