ID	NUMBER	CATEGORY_1	CATEGORY_2	CATEGORY_3	GERMAN	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gabelentz-1891-121-1	1	I. Pronomina	A. Personalia	-	ich	*I	1209	I
Gabelentz-1891-121-2	2	I. Pronomina	A. Personalia	-	du	*thou	1215	THOU
Gabelentz-1891-121-3	3	I. Pronomina	A. Personalia	-	wir	*we	1212	WE
Gabelentz-1891-121-4	4	I. Pronomina	A. Personalia	-	ihr	*you	1213	YOU
Gabelentz-1891-121-5	5	I. Pronomina	B. Demonstrativa, reflexiva, determinativa, indefinita	-	dies	*this	1214	THIS
Gabelentz-1891-121-6	6	I. Pronomina	B. Demonstrativa, reflexiva, determinativa, indefinita	-	das	*that	78	THAT
Gabelentz-1891-121-7	7	I. Pronomina	C. Possessiva	-	mein	*my	2090	MY
Gabelentz-1891-121-8	8	I. Pronomina	C. Possessiva	-	dein	*your	732	YOUR (SINGULAR)
Gabelentz-1891-121-9	9	I. Pronomina	C. Possessiva	-	unser	*our	780	OUR
Gabelentz-1891-121-10	10	I. Pronomina	C. Possessiva	-	euer	*your	732	YOUR (SINGULAR)
Gabelentz-1891-121-11	11	I. Pronomina	D. Fragwörter	-	wer	*who	1235	WHO
Gabelentz-1891-121-12	12	I. Pronomina	D. Fragwörter	-	was	*what	1236	WHAT
Gabelentz-1891-121-13	13	I. Pronomina	D. Fragwörter	-	wann	*when	1238	WHEN
Gabelentz-1891-121-14	14	I. Pronomina	D. Fragwörter	-	wo	*where	1237	WHERE
Gabelentz-1891-121-15	15	I. Pronomina	D. Fragwörter	-	wie	*how	1239	HOW
Gabelentz-1891-121-16	16	II. Zahlwörter	-	-	eins	*one	1493	ONE
Gabelentz-1891-121-17	17	II. Zahlwörter	-	-	zwei	*two	1498	TWO
Gabelentz-1891-121-18	18	II. Zahlwörter	-	-	drei	*three	492	THREE
Gabelentz-1891-121-19	19	II. Zahlwörter	-	-	vier	*four	1500	FOUR
Gabelentz-1891-121-20	20	II. Zahlwörter	-	-	fünf	*five	493	FIVE
Gabelentz-1891-121-21	21	III. Substantiva	A.Gott, Himmel, Gestirne	-	Gott	*god	1944	GOD
Gabelentz-1891-121-22	22	III. Substantiva	A.Gott, Himmel, Gestirne	-	Himmel	*sky	1732	SKY
Gabelentz-1891-121-23	23	III. Substantiva	A.Gott, Himmel, Gestirne	-	Stern	*star	1430	STAR
Gabelentz-1891-121-24	24	III. Substantiva	B. Himmelsgegenden	-	Norden	*north	1598	NORTH
Gabelentz-1891-121-25	25	III. Substantiva	B. Himmelsgegenden	-	Süden	*south	1595	SOUTH
Gabelentz-1891-121-26	26	III. Substantiva	B. Himmelsgegenden	-	Westen	*west	1817	WEST
Gabelentz-1891-121-27	27	III. Substantiva	B. Himmelsgegenden	-	Osten	*east	1877	EAST
Gabelentz-1891-121-28	28	III. Substantiva	C. Zeit	-	Zeit	time	892	TIME
