ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	CHINESE
Allen-2007-500-1	1732	SKY	1	sky	天
Allen-2007-500-2	1343	SUN	2	sun	太阳
Allen-2007-500-3	1313	MOON	3	moon	月亮
Allen-2007-500-4	1430	STAR	4	star	星星
Allen-2007-500-5	1489	CLOUD	5	cloud	云
Allen-2007-500-6	960	WIND	6	wind	风
Allen-2007-500-7	658	RAIN (PRECIPITATION)	7	rain	雨
Allen-2007-500-8	2377	FLASH (VERB)	8	lightning (vb)	闪电
Allen-2007-500-9	2378	THUNDER (VERB)	9	thunder (vb)	打雷
Allen-2007-500-10	609	HAIL	10	hail	冰雹
Allen-2007-500-11	784	SNOW	11	snow	雪
Allen-2007-500-12	2034	FROST	12	frost	霜
Allen-2007-500-13	249	FOG	13	fog	雾
Allen-2007-500-14	948	WATER	14	water	水
Allen-2007-500-15	666	RIVER	15	river	河
Allen-2007-500-16	624	LAKE	16	lake	湖
Allen-2007-500-17	2035	POND	17	pond	水塘
Allen-2007-500-18	140	PADDY FIELD	18	wet field	水田
Allen-2007-500-19	212	FIELD	19	meadow	旱地
Allen-2007-500-20	2159	GROUND	20	earth	地
Allen-2007-500-21	1228	EARTH (SOIL)	21	soil	土
Allen-2007-500-22	639	MOUNTAIN	22	mountain	山
Allen-2007-500-23	857	STONE	23	stone	石头
Allen-2007-500-24	221	FIRE	24	fire	火
Allen-2007-500-25	1883	IN FRONT OF	25	in front	前面
Allen-2007-500-26	1686	BEHIND	26	behind	后面
Allen-2007-500-27	244	LEFT	27	left (side)	左边
Allen-2007-500-28	1019	RIGHT	28	right (side)	右边
Allen-2007-500-29	1606	INSIDE	29	inside	里边
Allen-2007-500-30	762	OUTSIDE	30	outside	外边
Allen-2007-500-31	1226	YEAR	31	year	年、岁
Allen-2007-500-32	513	THIS YEAR	32	this year	今年
Allen-2007-500-33	514	LAST YEAR	33	last year	去年
Allen-2007-500-34	1370	MONTH	34	month	月(月份）
Allen-2007-500-35	2036	JANUARY	35	first month (lunar)	正月
Allen-2007-500-36	2037	FEBRUARY	36	second month	二月
Allen-2007-500-37	1260	DAY (24 HOURS)	37	day	天（日子）
Allen-2007-500-38	1283	TODAY	38	today	今天
Allen-2007-500-39	1174	YESTERDAY	39	yesterday	昨天
Allen-2007-500-40	1180	DAY BEFORE YESTERDAY	40	day before yesterday	前天
Allen-2007-500-41	1329	TOMORROW	41	tomorrow	明天
Allen-2007-500-42	1179	DAY AFTER TOMORROW	42	day after tomorrow	后天
Allen-2007-500-43	1339	MORNING	43	morning	早晨
Allen-2007-500-44	12	MIDDAY	44	noon	中午
Allen-2007-500-45	1376	NOW	45	now	现在
Allen-2007-500-46	1007	COW	46	cow	牛
Allen-2007-500-47	615	HORSE	47	horse	马
Allen-2007-500-48	1337	PIG	48	pig	猪
Allen-2007-500-49	1331	SHEEP	49	sheep	绵羊
Allen-2007-500-50	2009	DOG	50	dog	狗
Allen-2007-500-51	1208	CAT	51	cat	猫
Allen-2007-500-52	2345	LEPORID (RABBIT OR HARE)	52	hare,rabbit	兔
Allen-2007-500-53	2038	DRAGON	53	dragon	龙
Allen-2007-500-54	846	TIGER	54	tiger	虎
Allen-2007-500-55	1820	BEAR	55	bear	熊
Allen-2007-500-56	1350	MONKEY	56	monkey	猴子
Allen-2007-500-57	522	WOLF	57	wolf	狼
Allen-2007-500-58	2139	MUROID (MOUSE OR RAT)	58	mouse	老鼠
