ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH	SUBLIST
Bennett-1976-100-88	1777	RESEMBLE	88	resemble	Bennett-1976-50b
Bennett-1976-100-89	581	COME BACK	89	return	Bennett-1976-50b
Bennett-1976-100-90	1409	SEE	90	see	Bennett-1976-50b
Bennett-1976-100-91	1468	LOOK FOR	91	seek	Bennett-1976-50b
Bennett-1976-100-92	48	BE SILENT	92	be silent	Bennett-1976-50b
Bennett-1976-100-93	1261	SING	93	sing	Bennett-1976-50b
Bennett-1976-100-94	1416	SIT	94	sit	Bennett-1976-50b
Bennett-1976-100-95	1442	STAND	95	stand	Bennett-1976-50b
Bennett-1976-100-96	713	STEAL	96	steal	Bennett-1976-50b
Bennett-1976-100-97	1711	TELL	97	tell	Bennett-1976-50b
Bennett-1976-100-98	1456	THROW	98	throw	Bennett-1976-50b
Bennett-1976-100-99	1917	TIE	99	tie	Bennett-1976-50b
Bennett-1976-100-100	1443	WALK	100	walk	Bennett-1976-50b
