ID	NUMBER	STATUS	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Miller-1994-281-1	1	i	sky	1732	SKY
Miller-1994-281-2	2	i	cloud	1489	CLOUD
Miller-1994-281-3	3	i	sun	1343	SUN
Miller-1994-281-4	4	i	moon	1313	MOON
Miller-1994-281-5	5	i	star	1430	STAR
Miller-1994-281-6	6	i	wind	960	WIND
Miller-1994-281-7	7	i	rain	658	RAIN (PRECIPITATION)
Miller-1994-281-8	8	p	rainbow	1733	RAINBOW
Miller-1994-281-9	9	i	mist	249	FOG
Miller-1994-281-10	10	i	night	1233	NIGHT
Miller-1994-281-11	11	i	day	1225	DAY (NOT NIGHT)
Miller-1994-281-12	12	i	year	1226	YEAR
Miller-1994-281-13	13	i	hail	609	HAIL
Miller-1994-281-14	14	e	snow	784	SNOW
Miller-1994-281-15	15	e	freeze	1431	FREEZE
Miller-1994-281-16	16	i	water	948	WATER
Miller-1994-281-17	17	e	river	666	RIVER
Miller-1994-281-18	18	e	lake	624	LAKE
Miller-1994-281-19	19	e	sea	1474	SEA
Miller-1994-281-20	20	i	earth	1228	EARTH (SOIL)
Miller-1994-281-21	21	p	stone	857	STONE
Miller-1994-281-22	22	i	sand	671	SAND
Miller-1994-281-23	23	p	mud	640	MUD
Miller-1994-281-24	24	e	dust	2	DUST
Miller-1994-281-25	25	e	gold	1369	GOLD
Miller-1994-281-26	26	i	silver	759	SILVER
Miller-1994-281-27	27	i	mountain	639	MOUNTAIN
Miller-1994-281-28	28	i	tree	906	TREE
Miller-1994-281-29	29	e	forest	420	FOREST
Miller-1994-281-30	30	i	leaf	628	LEAF
Miller-1994-281-31	31	i	bark	1204	BARK
Miller-1994-281-32	32	i	flower	239	FLOWER
Miller-1994-281-33	33	i	root	670	ROOT
Miller-1994-281-34	34	i	fruit	1507	FRUIT
Miller-1994-281-35	35	i	seed	714	SEED
Miller-1994-281-36	36	i	grass	606	GRASS
Miller-1994-281-37	37	e	stick	1295	STICK
Miller-1994-281-38	38	i	banana	868	BANANA
Miller-1994-281-39	39	e	rattan	2497	RATTAN
Miller-1994-281-40	40	e	areca	217	BETELNUT
Miller-1994-281-41	41	i	papaya	2445	PAPAYA
Miller-1994-281-42	42	i	coconut	970	COCONUT
Miller-1994-281-43	43	i	bird	937	BIRD
Miller-1994-281-44	44	i	wing	1257	WING
Miller-1994-281-45	45	e	feather	1201	FEATHER
Miller-1994-281-46	46	i	fly	1441	FLY (MOVE THROUGH AIR)
Miller-1994-281-47	47	i	egg	744	EGG
Miller-1994-281-48	48	i	tail	1220	TAIL
Miller-1994-281-49	49	i	claw	72	CLAW
Miller-1994-281-50	50	i	horn	1393	HORN (ANATOMY)
Miller-1994-281-51	51	e	animal	619	ANIMAL
Miller-1994-281-52	52	i	dog	2009	DOG
Miller-1994-281-53	53	i	pig	1337	PIG
Miller-1994-281-54	54	i	chicken	1318	CHICKEN
Miller-1994-281-55	55	i	duck	1360	DUCK
Miller-1994-281-56	56	i	fish	227	FISH
Miller-1994-281-57	57	i	snake	730	SNAKE
Miller-1994-281-58	58	i	rat	1490	RAT
Miller-1994-281-59	59	e	rabbit	1136	RABBIT
Miller-1994-281-60	60	p	monkey	1350	MONKEY
Miller-1994-281-61	61	p	deer	1936	DEER
Miller-1994-281-62	62	i	tiger	846	TIGER
Miller-1994-281-63	63	i	buffalo	934	BUFFALO
Miller-1994-281-64	64	e	cow	1007	COW
Miller-1994-281-65	65	i	elephant	1290	ELEPHANT
Miller-1994-281-66	66	i	(elephant) tusk	2495	ELEPHANT TUSK
Miller-1994-281-67	67	e	worm	1219	WORM
Miller-1994-281-68	68	e	scorpion	1538	SCORPION
Miller-1994-281-69	69	i	spider	843	SPIDER
Miller-1994-281-70	70	i	louse	1392	LOUSE
Miller-1994-281-71	71	i	mosquito	1509	MOSQUITO
Miller-1994-281-72	72	i	a fly	1504	FLY (INSECT)
Miller-1994-281-73	73	i	nose	1221	NOSE
Miller-1994-281-74	74	i	eye	1248	EYE
Miller-1994-281-75	75	i	ear	1247	EAR
Miller-1994-281-76	76	i	head	1256	HEAD
Miller-1994-281-77	77	i	mouth	674	MOUTH
Miller-1994-281-78	78	i	tooth	1380	TOOTH
Miller-1994-281-79	79	i	tongue	1205	TONGUE
Miller-1994-281-80	80	i	hair	1040	HAIR
Miller-1994-281-81	81	i	neck	1333	NECK
Miller-1994-281-82	82	i	shoulder	1482	SHOULDER
Miller-1994-281-83	83	e	chest	1592	CHEST
Miller-1994-281-84	84	i	back	1291	BACK
Miller-1994-281-85	85	e	heart	1223	HEART
Miller-1994-281-86	86	i	abdomen	1251	BELLY
Miller-1994-281-87	87	i	intestine	1991	INTESTINES
Miller-1994-281-88	88	i	liver	1224	LIVER
Miller-1994-281-89	89	i	hand	1277	HAND
Miller-1994-281-90	90	i	palm	1181	PALM TREE
Miller-1994-281-91	91	e	nail	1896	FINGERNAIL OR TOENAIL
Miller-1994-281-92	92	e	leg	1297	LEG
Miller-1994-281-93	93	i	foot	1301	FOOT
Miller-1994-281-94	94	i	knee	1371	KNEE
Miller-1994-281-95	95	i	thigh	800	THIGH
Miller-1994-281-96	96	i	calf	1989	CALF
Miller-1994-281-97	97	i	blood	946	BLOOD
Miller-1994-281-98	98	i	bone	1394	BONE
Miller-1994-281-99	99	i	skin	763	SKIN
Miller-1994-281-100	100	i	flesh	2259	FLESH
Miller-1994-281-101	101	i	fat	323	FAT (ORGANIC SUBSTANCE)
Miller-1994-281-102	102	e	live	1422	BE ALIVE
Miller-1994-281-103	103	i	die	1494	DIE
Miller-1994-281-104	104	e	sick	1847	SICK
Miller-1994-281-105	105	e	breathe	1407	BREATHE
Miller-1994-281-106	106	e	hear	1408	HEAR
Miller-1994-281-107	107	i	see	1409	SEE
Miller-1994-281-108	108	e	speak	1623	SPEAK
Miller-1994-281-109	109	i	laugh	1355	LAUGH
Miller-1994-281-110	110	i	weep	1839	CRY
Miller-1994-281-111	111	e	suck	1421	SUCK
Miller-1994-281-112	112	i	spit (v)	1440	SPIT
Miller-1994-281-113	113	i	blow	175	BLOW (OF WIND)
Miller-1994-281-114	114	p	bite	1403	BITE
Miller-1994-281-115	115	i	eat	1336	EAT
Miller-1994-281-116	116	i	drink	1401	DRINK
Miller-1994-281-117	117	i	drunk	1463	DRUNK
Miller-1994-281-118	118	i	vomit	1278	VOMIT
Miller-1994-281-119	119	e	smell	2124	SMELL
Miller-1994-281-120	120	i	think	2271	THINK
Miller-1994-281-121	121	i	know	3626	KNOW
Miller-1994-281-122	122	i	count	1420	COUNT
Miller-1994-281-123	123	i	afraid	1419	FEAR (BE AFRAID)
Miller-1994-281-124	124	e	want	1784	WANT
Miller-1994-281-125	125	e	sleep	1585	SLEEP
Miller-1994-281-126	126	i	lie down	215	LIE DOWN
Miller-1994-281-127	127	i	stand	1442	STAND
Miller-1994-281-128	128	i	sit	1416	SIT
Miller-1994-281-129	129	i	walk	1443	WALK
Miller-1994-281-130	130	e	come	1446	COME
Miller-1994-281-131	131	i	enter	749	ENTER
Miller-1994-281-132	132	e	return	581	COME BACK
Miller-1994-281-133	133	e	turn	1588	TURN
Miller-1994-281-134	134	i	swim	1439	SWIM
Miller-1994-281-135	135	e	float	1574	FLOAT
Miller-1994-281-136	136	i	flow	2003	FLOW
Miller-1994-281-137	137	i	push	1452	PUSH
Miller-1994-281-138	138	i	pull	1455	PULL
Miller-1994-281-139	139	e	throw	1456	THROW
Miller-1994-281-140	140	e	fall	1280	FALL
Miller-1994-281-141	141	i	give	1447	GIVE
Miller-1994-281-142	142	i	take	1749	TAKE
Miller-1994-281-143	143	u	wash	1453	WASH
Miller-1994-281-144	144	i	launder	2503	LAUNDER
Miller-1994-281-145	145	i	split	1437	SPLIT
Miller-1994-281-146	146	i	tie	1917	TIE
Miller-1994-281-147	147	i	wipe	1454	WIPE
Miller-1994-281-148	148	e	rub	1449	RUB
Miller-1994-281-149	149	i	hit	1433	HIT
