ID	NUMBER	ENGLISH	STABILITY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Holman-2008-100-1	1	*louse	42.8	1392	LOUSE
Holman-2008-100-2	2	*two	39.8	1498	TWO
Holman-2008-100-3	3	*water	37.4	948	WATER
Holman-2008-100-4	4	*ear	37.2	1247	EAR
Holman-2008-100-5	5	*die	36.3	1494	DIE
Holman-2008-100-6	6	*I	35.9	1209	I
Holman-2008-100-7	7	*liver	35.7	1224	LIVER
Holman-2008-100-8	8	*eye	35.4	1248	EYE
Holman-2008-100-9	9	*hand	34.9	1277	HAND
Holman-2008-100-10	10	*hear	33.8	1408	HEAR
Holman-2008-100-11	11	*tree	33.6	906	TREE
Holman-2008-100-12	12	*fish	33.4	227	FISH
Holman-2008-100-13	13	*name	32.4	1405	NAME
Holman-2008-100-14	14	*stone	32.1	857	STONE
Holman-2008-100-15	15	*tooth	30.7	1380	TOOTH
Holman-2008-100-16	16	*breasts	30.7	1402	BREAST
Holman-2008-100-17	17	*you	30.6	1215	THOU
Holman-2008-100-18	18	*path	30.2	2252	PATH
Holman-2008-100-19	19	*bone	30.1	1394	BONE
Holman-2008-100-20	20	*tongue	30.1	1205	TONGUE
Holman-2008-100-21	21	*skin	29.6	763	SKIN
Holman-2008-100-22	22	*night	29.6	1233	NIGHT
Holman-2008-100-23	23	*leaf	29.4	628	LEAF
Holman-2008-100-24	24	rain	29.3	2108	RAINING OR RAIN
Holman-2008-100-25	25	kill	29.2	1417	KILL
Holman-2008-100-26	26	*blood	29.0	946	BLOOD
Holman-2008-100-27	27	*horn	28.8	1393	HORN (ANATOMY)
Holman-2008-100-28	28	*person	28.7	516	PERSON (CLASSIFIER)
Holman-2008-100-29	29	*knee	28.0	1371	KNEE
Holman-2008-100-30	30	*one	27.4	1493	ONE
Holman-2008-100-31	31	*nose	27.3	1221	NOSE
Holman-2008-100-32	32	*full	26.9	1429	FULL
Holman-2008-100-33	33	*come	26.8	1446	COME
Holman-2008-100-34	34	*star	26.6	1430	STAR
Holman-2008-100-35	35	*mountain	26.2	639	MOUNTAIN
Holman-2008-100-36	36	*fire	25.7	221	FIRE
Holman-2008-100-37	37	*we	25.4	1212	WE
Holman-2008-100-38	38	*drink	25.0	1401	DRINK
Holman-2008-100-39	39	*see	24.7	1409	SEE
Holman-2008-100-40	40	bark	24.5	1204	BARK
Holman-2008-100-41	41	*new	24.3	1231	NEW
Holman-2008-100-42	42	*dog	24.2	2009	DOG
Holman-2008-100-43	43	*sun	24.2	1343	SUN
Holman-2008-100-44	44	fly	24.1	1441	FLY (MOVE THROUGH AIR)
Holman-2008-100-45	45	grease	23.4	323	FAT (ORGANIC SUBSTANCE)
Holman-2008-100-46	46	moon	23.4	1313	MOON
Holman-2008-100-47	47	give	23.3	1447	GIVE
Holman-2008-100-48	48	heart	23.2	1223	HEART
Holman-2008-100-49	49	feather	23.1	1201	FEATHER
Holman-2008-100-50	50	white	22.7	1335	WHITE
Holman-2008-100-51	51	yellow	22.5	1424	YELLOW
Holman-2008-100-52	52	bird	21.8	937	BIRD
Holman-2008-100-53	53	head	21.7	1256	HEAD
Holman-2008-100-54	54	earth	21.7	1228	EARTH (SOIL)
Holman-2008-100-55	55	foot	21.6	1301	FOOT
Holman-2008-100-56	56	black	21.6	163	BLACK
Holman-2008-100-57	57	mouth	21.5	674	MOUTH
Holman-2008-100-58	58	green	21.1	1425	GREEN
Holman-2008-100-59	59	sleep	21.0	1585	SLEEP
Holman-2008-100-60	60	what	20.7	1236	WHAT
Holman-2008-100-61	61	root	20.5	670	ROOT
Holman-2008-100-62	62	claw	20.5	72	CLAW
Holman-2008-100-63	63	bite	20.5	1403	BITE
Holman-2008-100-64	64	ash	20.3	646	ASH
Holman-2008-100-65	65	red	20.2	156	RED
Holman-2008-100-66	66	eat	20.0	1336	EAT
Holman-2008-100-67	67	egg	19.8	744	EGG
Holman-2008-100-68	68	who	19.0	1235	WHO
Holman-2008-100-69	69	dry	18.9	1398	DRY
Holman-2008-100-70	70	hair	18.6	1040	HAIR
Holman-2008-100-71	71	smoke	18.5	778	SMOKE (EXHAUST)
Holman-2008-100-72	72	not	18.3	1240	NOT
Holman-2008-100-73	73	this	18.2	1214	THIS
Holman-2008-100-74	74	seed	18.2	714	SEED
Holman-2008-100-75	75	woman	17.9	962	WOMAN
Holman-2008-100-76	76	round	17.9	1395	ROUND
Holman-2008-100-77	77	long	17.4	1203	LONG
Holman-2008-100-78	78	stand	17.1	1442	STAND
Holman-2008-100-79	79	good	16.9	1035	GOOD
Holman-2008-100-80	80	man	16.7	1554	MAN
Holman-2008-100-81	81	cold	16.6	1287	COLD
Holman-2008-100-82	82	flesh	16.4	2259	FLESH
Holman-2008-100-83	83	neck	16.0	1333	NECK
Holman-2008-100-84	84	say	16.0	1458	SAY
Holman-2008-100-85	85	burn	15.5	2102	BURN
Holman-2008-100-86	86	tail	14.9	1220	TAIL
Holman-2008-100-87	87	sand	14.9	671	SAND
Holman-2008-100-88	88	that	14.7	78	THAT
Holman-2008-100-89	89	walk	14.4	1443	WALK
Holman-2008-100-90	90	sit	14.3	1416	SIT
Holman-2008-100-91	91	many	14.2	1198	MANY
Holman-2008-100-92	92	all	14.1	98	ALL
Holman-2008-100-93	93	know	14.1	1410	KNOW (SOMETHING)
Holman-2008-100-94	94	cloud	13.9	1489	CLOUD
Holman-2008-100-95	95	swim	13.6	1439	SWIM
Holman-2008-100-96	96	belly	13.5	1251	BELLY
Holman-2008-100-97	97	big	13.4	1202	BIG
Holman-2008-100-98	98	hot	11.6	1286	HOT
Holman-2008-100-99	99	lie	11.2	1411	LIE (REST)
Holman-2008-100-100	100	small	6.3	1246	SMALL
