ID	CATEGORY	ENGLISH	PART_OF_SPEECH	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
Hale-1973-1798-1307	Human_Mind_and_Conditions-195	despair	v	10b3.05		
Hale-1973-1798-1308	Human_Mind_and_Conditions-196	sigh	v	10b3.06		
Hale-1973-1798-1309	Human_Mind_and_Conditions-197	be silent	v	10b3.07	48	BE SILENT
Hale-1973-1798-1310	Human_Mind_and_Conditions-198	want	v	10b3.08	1784	WANT
Hale-1973-1798-1311	Human_Mind_and_Conditions-199	long for	v	10b3.09	3473	LONG (FOR SOMETHING)
Hale-1973-1798-1312	Human_Mind_and_Conditions-200	like	v	10b3.10	1117	LIKE
Hale-1973-1798-1313	Human_Mind_and_Conditions-201	hope	v	10b3.11	1092	HOPE
Hale-1973-1798-1314	Human_Mind_and_Conditions-202	laugh	v	10b3.12	1355	LAUGH
Hale-1973-1798-1315	Human_Mind_and_Conditions-203	smile	v	10b3.13	1451	SMILE
Hale-1973-1798-1316	Human_Mind_and_Conditions-204	enjoy	v	10b3.14		
Hale-1973-1798-1317	Human_Mind_and_Conditions-205	rejoice	v	10b3.15	2192	REJOICE
Hale-1973-1798-1318	Human_Mind_and_Conditions-206	be pleased, happy	v	10b3.16	1495	HAPPY
Hale-1973-1798-1319	Human_Mind_and_Conditions-207	be sad	v	10b3.17	699	SAD
Hale-1973-1798-1320	Human_Mind_and_Conditions-208	get angry	v	10b3.18	2215	BECOME ANGRY
Hale-1973-1798-1321	Human_Mind_and_Conditions-209	be perplexed	v	10b3.19		
Hale-1973-1798-1322	Human_Mind_and_Conditions-210	please s.o.	v	10b3.20	1271	DELIGHT
Hale-1973-1798-1323	Human_Mind_and_Conditions-211	worship	v	10b3.21	257	WORSHIP
Hale-1973-1798-1324	Human_Mind_and_Conditions-212	worship idols	v	10b3.22	257	WORSHIP
Hale-1973-1798-1325	Human_Mind_and_Conditions-213	pray	v	10b3.23	24	PRAY
Hale-1973-1798-1326	Human_Mind_and_Conditions-214	believe	v	10b3.24	1890	BELIEVE
Hale-1973-1798-1327	Human_Mind_and_Conditions-215	offer to gods	v	10b3.25		
Hale-1973-1798-1328	Human_Mind_and_Conditions-216	sacrifice	v	10b3.26		
Hale-1973-1798-1329	Human_Mind_and_Conditions-217	kill sacrificial animal	v	10b3.27		
Hale-1973-1798-1330	Human_Mind_and_Conditions-218	bless	v	10b3.28	391	BLESS
Hale-1973-1798-1331	Human_Mind_and_Conditions-219	sin	v	10b3.29		
Hale-1973-1798-1332	Human_Mind_and_Conditions-220	merit	v	10b3.30		
Hale-1973-1798-1333	Human_Mind_and_Conditions-221	fast	v	10b3.31	303	ABSTAIN FROM FOOD
Hale-1973-1798-1334	Human_Mind_and_Conditions-222	chant	v	10b3.32		
Hale-1973-1798-1335	Human_Mind_and_Conditions-223	donate	v	10b3.33	196	DONATE
Hale-1973-1798-1336	Human_Mind_and_Conditions-224	go on pilgrimage	v	10b3.34		
Hale-1973-1798-1337	Human_Mind_and_Conditions-225	meditate	v	10b3.35		
Hale-1973-1798-1338	Human_Mind_and_Conditions-226	stay without sleep	v	10b3.36		
Hale-1973-1798-1339	Human_Mind_and_Conditions-227	dream	v	10b3.37	1920	DREAM (SOMETHING)
Hale-1973-1798-1340	Human_Mind_and_Conditions-228	have a vision	v	10b3.38		
Hale-1973-1798-1341	Human_Mind_and_Conditions-229	appear	v	10b3.39	1076	EMERGE (APPEAR)
Hale-1973-1798-1342	Human_Mind_and_Conditions-230	disappear	v	10b3.40	485	DISAPPEAR
Hale-1973-1798-1343	Human_Mind_and_Conditions-231	predict, foretell	v	10b3.41		
Hale-1973-1798-1344	Human_Mind_and_Conditions-232	curse	v	10b3.42	8	CURSE
Hale-1973-1798-1345	Human_Mind_and_Conditions-233	bewitch, cast spell	v	10b3.43	118	BEWITCH
Hale-1973-1798-1346	Human_Mind_and_Conditions-234	be possessed	v	10b3.44		
Hale-1973-1798-1347	Role_and_Social_Structure-1	dance	n	11a.01	3472	DANCE (MOVEMENT)
Hale-1973-1798-1348	Role_and_Social_Structure-2	dancer	n	11a.02		
Hale-1973-1798-1349	Role_and_Social_Structure-3	sign	n	11a.03	1720	SIGN
Hale-1973-1798-1350	Role_and_Social_Structure-4	song	n	11a.04	1096	SONG
