ID	NUMBER	ENGLISH	PROTO_AZTECAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Davletshin-2012-100-1	1	all (todos) 	*mochɨ-m	98	ALL
Davletshin-2012-100-2	2	ashes 	*nɨx-tlɨ	646	ASH
Davletshin-2012-100-3	3	bark 	*ɨwaː-yoː-tl	1204	BARK
Davletshin-2012-100-4	4	belly 	*-ɨhtɨ	1251	BELLY
Davletshin-2012-100-5	5	big 	*wehey(ɨ)	1202	BIG
Davletshin-2012-100-6	6	bird 	*toːtoː-tl	937	BIRD
Davletshin-2012-100-7	7	bite 	*-kɨh-tzoma	1403	BITE
Davletshin-2012-100-8	8	black 	*tliːl-tɨ-k	163	BLACK
Davletshin-2012-100-9	9	blood 	*ɨs-tlɨ	946	BLOOD
Davletshin-2012-100-10	10	bone 	*oːmɨ-tl	1394	BONE
Davletshin-2012-100-11	11	breast 	*-chiːchiːwal	1402	BREAST
Davletshin-2012-100-12	12	burn tr. 	*-tla-tɨ-ha	141	BURN (SOMETHING)
Davletshin-2012-100-13	13	claw(nail) 	*-ɨstɨ	2128	CLAW OR NAIL
Davletshin-2012-100-14	14	cloud 	*mix-tlɨ	1489	CLOUD
Davletshin-2012-100-15	15	cold 	*sese-k	1287	COLD
Davletshin-2012-100-16	16	come 	*wiːtz (preterit-as-present form)	1446	COME
Davletshin-2012-100-17	17	die 	*mɨki	1494	DIE
Davletshin-2012-100-18	18	dog 	?	2009	DOG
Davletshin-2012-100-19	19	drink 	*-ihi	1401	DRINK
Davletshin-2012-100-20	20	dry 	*waːk-	1398	DRY
Davletshin-2012-100-21	21	ear 	*nakas-tlɨ	1247	EAR
Davletshin-2012-100-22	22	earth 	*tlaːl-lɨ	1228	EARTH (SOIL)
Davletshin-2012-100-23	23	eat 	*-kwa-haː	1336	EAT
Davletshin-2012-100-24	24	egg 	?	744	EGG
Davletshin-2012-100-25	25	eye 	*-iːx	1248	EYE
Davletshin-2012-100-26	26	fat n. 	?	323	FAT (ORGANIC SUBSTANCE)
Davletshin-2012-100-27	27	feather 	*-ɨ?wɨ	1201	FEATHER
Davletshin-2012-100-28	28	fire 	*tlahi-tl	221	FIRE
Davletshin-2012-100-29	29	fish 	*mɨ-chɨ-m	227	FISH
Davletshin-2012-100-30	30	fly 	*patlaːni	1441	FLY (MOVE THROUGH AIR)
Davletshin-2012-100-31	31	foot 	*-ɨkxɨ	1301	FOOT
Davletshin-2012-100-32	32	full 	*teːn-tok	1429	FULL
Davletshin-2012-100-33	33	give tr. 	*-maka	1447	GIVE
Davletshin-2012-100-34	34	good 	*yeːk-tlɨ	1035	GOOD
Davletshin-2012-100-35	35	green 	?	1425	GREEN
Davletshin-2012-100-36	36	hair 	*-tzom	1040	HAIR
Davletshin-2012-100-37	37	hand 	*-mah	1277	HAND
Davletshin-2012-100-38	38	head 	*-kwah	1256	HEAD
Davletshin-2012-100-39	39	hear 	*-kaki	1408	HEAR
Davletshin-2012-100-40	40	heart 	*-yoːl	1223	HEART
Davletshin-2012-100-41	41	horn 	?	1393	HORN (ANATOMY)
Davletshin-2012-100-42	42	I 	*naha	1209	I
Davletshin-2012-100-43	43	kill 	*mɨk-tɨ-ha	1417	KILL
Davletshin-2012-100-44	44	knee 	*-tlan-kwah	1371	KNEE
Davletshin-2012-100-45	45	know 	*mati	1410	KNOW (SOMETHING)
Davletshin-2012-100-46	46	leaf 	*ɨswa-tl	628	LEAF
Davletshin-2012-100-47	47	lie 	*mo-teːka	1411	LIE (REST)
Davletshin-2012-100-48	48	liver 	?	1224	LIVER
Davletshin-2012-100-49	49	long 	*weheya-k	1203	LONG
Davletshin-2012-100-50	50	louse 	*atɨmɨ-tl	1392	LOUSE
Davletshin-2012-100-51	51	man 	*tlaːka-tl	1554	MAN
Davletshin-2012-100-52	52	many 	*mɨyak	1198	MANY
Davletshin-2012-100-53	53	meat 	*naka-tl	2615	FLESH OR MEAT
Davletshin-2012-100-54	54	moon 	*meːtz-tlɨ	1313	MOON
Davletshin-2012-100-55	55	mountain 	*tɨpeː-tl	639	MOUNTAIN
Davletshin-2012-100-56	56	mouth 	*teːn-tlɨ	674	MOUTH
Davletshin-2012-100-57	57	name 	*toːkaːhɨ-tl	1405	NAME
Davletshin-2012-100-58	58	neck 	*kəch-tlɨ	1333	NECK
Davletshin-2012-100-59	59	new 	*yankwi-k	1231	NEW
Davletshin-2012-100-60	60	night 	*yowal-lɨ	1233	NIGHT
Davletshin-2012-100-61	61	nose 	*yaka-tl	1221	NOSE
Davletshin-2012-100-62	62	not 	?	1240	NOT
Davletshin-2012-100-63	63	one 	*seː(m)	1493	ONE
Davletshin-2012-100-64	64	person 	?	683	PERSON
Davletshin-2012-100-65	65	rain 	?	2108	RAINING OR RAIN
Davletshin-2012-100-66	66	red 	*chiːl-tɨ-k ?	156	RED
Davletshin-2012-100-67	67	road 	*oh-tlɨ	667	ROAD
Davletshin-2012-100-68	68	root 	*nelwa-tl ?	670	ROOT
Davletshin-2012-100-69	69	round 	*yawal-tɨ-k ?	1395	ROUND
Davletshin-2012-100-70	70	sand 	*xaːl-lɨ	671	SAND
Davletshin-2012-100-71	71	say 	?	1458	SAY
Davletshin-2012-100-72	72	see 	*­ɨhta	1409	SEE
Davletshin-2012-100-73	73	seed 	*aːch-tlɨ	714	SEED
Davletshin-2012-100-74	74	sit 	*mo-tlalɨ-ha	1416	SIT
Davletshin-2012-100-75	75	skin 	*eːwa-tl	763	SKIN
Davletshin-2012-100-76	76	sleep 	*kochɨ	1585	SLEEP
Davletshin-2012-100-77	77	small 	-	1246	SMALL
Davletshin-2012-100-78	78	smoke 	*poːk-tlɨ ?	778	SMOKE (EXHAUST)
Davletshin-2012-100-79	79	stand 	*kɨtza	1442	STAND
Davletshin-2012-100-80	80	star 	*sitlalɨ-m	1430	STAR
Davletshin-2012-100-81	81	stone 	*tə-tl	857	STONE
Davletshin-2012-100-82	82	sun 	?	1343	SUN
Davletshin-2012-100-83	83	swim 	?	1439	SWIM
Davletshin-2012-100-84	84	tail 	*-kwitla-pɨl	1220	TAIL
Davletshin-2012-100-85	85	that 	*oːn- ?	78	THAT
Davletshin-2012-100-86	86	this 	*in- ?	1214	THIS
Davletshin-2012-100-87	87	thou 	*təha	1215	THOU
Davletshin-2012-100-88	88	tongue 	*-nɨnɨ-pɨl	1205	TONGUE
Davletshin-2012-100-89	89	tooth 	*-tlan	1380	TOOTH
Davletshin-2012-100-90	90	tree 	*kwa-wɨ-tl	906	TREE
Davletshin-2012-100-91	91	two 	*oːmə	1498	TWO
Davletshin-2012-100-92	92	walk (go) 	*nɨh-nɨmi	1443	WALK
Davletshin-2012-100-93	93	warm (hot) 	*to-toːnɨ-k ?	2272	HOT OR WARM
Davletshin-2012-100-94	94	water 	*aː-tl	948	WATER
Davletshin-2012-100-95	95	we 	*təha-mɨ-t	1212	WE
Davletshin-2012-100-96	96	what 	*tla-(hi ?)	1236	WHAT
Davletshin-2012-100-97	97	white 	*istaː-kɨ ?	1335	WHITE
Davletshin-2012-100-98	98	who 	*aːk	1235	WHO
Davletshin-2012-100-99	99	woman 	*si/owaː-tl	962	WOMAN
Davletshin-2012-100-100	100	yellow	*kos-tɨ-k ?	1424	YELLOW
