ID	NUMBER	ENGLISH	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Loukotka-1954-45-1	1	head	cabeza	1256	HEAD
Loukotka-1954-45-2	2	tongue	lengua	1205	TONGUE
Loukotka-1954-45-3	3	tooth	diente	1380	TOOTH
Loukotka-1954-45-4	4	eye	ojo	1248	EYE
Loukotka-1954-45-5	5	ear	oreja	1247	EAR
Loukotka-1954-45-6	6	hand	mano	1277	HAND
Loukotka-1954-45-7	7	foot	pie	1301	FOOT
Loukotka-1954-45-8	8	water	agua	948	WATER
Loukotka-1954-45-9	9	fire	fuego	221	FIRE
Loukotka-1954-45-10	10	sun	sol	1343	SUN
Loukotka-1954-45-11	11	moon	luna	1313	MOON
Loukotka-1954-45-12	12	star	estrella	1430	STAR
Loukotka-1954-45-13	13	earth	tierra	1228	EARTH (SOIL)
Loukotka-1954-45-14	14	stone	piedra	857	STONE
Loukotka-1954-45-15	15	house	casa	1252	HOUSE
Loukotka-1954-45-16	16	pot	olla	1462	POT
Loukotka-1954-45-17	17	bow, or blowgun	areo, o bodoquera		
Loukotka-1954-45-18	18	arrow	flecha	977	ARROW
Loukotka-1954-45-19	19	ax	hacha	677	AXE
Loukotka-1954-45-20	20	canoe	canoa	1970	CANOE
Loukotka-1954-45-21	21	man	hombre	1554	MAN
Loukotka-1954-45-22	22	woman	mujer	962	WOMAN
Loukotka-1954-45-23	23	dog	perro	2009	DOG
Loukotka-1954-45-24	24	wildcat	tigre		
Loukotka-1954-45-25	25	monkey	mono	1350	MONKEY
Loukotka-1954-45-26	26	tapir	danta	312	TAPIR
Loukotka-1954-45-27	27	bird	pájaro	937	BIRD
Loukotka-1954-45-28	28	parrot	papagayo	882	PARROT
Loukotka-1954-45-29	29	snake	serpiente	730	SNAKE
Loukotka-1954-45-30	30	cayman	caimán	2438	CAIMAN
Loukotka-1954-45-31	31	fish	pescado	227	FISH
Loukotka-1954-45-32	32	tree	arbol	906	TREE
Loukotka-1954-45-33	33	maize	maíz	506	MAIZE
Loukotka-1954-45-34	34	manioc	manioca, cazabe	925	CASSAVA
Loukotka-1954-45-35	35	tobacco	tabaco	974	TOBACCO
Loukotka-1954-45-36	36	white	blanco	1335	WHITE
Loukotka-1954-45-37	37	black	negro	163	BLACK
Loukotka-1954-45-38	38	red	colorado	156	RED
Loukotka-1954-45-39	39	big	grande	1202	BIG
Loukotka-1954-45-40	40	little	pequeño	1246	SMALL
Loukotka-1954-45-41	41	one	uno	1493	ONE
Loukotka-1954-45-42	42	two	dos	1498	TWO
Loukotka-1954-45-43	43	three	tres	492	THREE
Loukotka-1954-45-44	44	eat	comer	1336	EAT
Loukotka-1954-45-45	45	drink	beber	1401	DRINK
