MERGER	ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	ENGLISH
	Dixon-1919-173-42	1394	BONE	42	bone
20	Dixon-1919-173-43	946	BLOOD	43	blood (1)
20	Dixon-1919-173-44	946	BLOOD	44	blood (2)
	Dixon-1919-173-45	1224	LIVER	45	liver
	Dixon-1919-173-46	1282	FAT, SUBSTANCE	46	fat
	Dixon-1919-173-47	763	SKIN	47	skin
18	Dixon-1919-173-48	675	FAECES	48	faeces (1)
18	Dixon-1919-173-49	675	FAECES	49	faeces (2)
4	Dixon-1919-173-5	1366	BOY	5	boy, youth (2)
	Dixon-1919-173-50	1142	URINE	50	urine
	Dixon-1919-173-51	1137	TENDON	51	sinew
	Dixon-1919-173-52	1393	HORN, KERATINIZED SKIN	52	horn
35	Dixon-1919-173-53	1220	TAIL	53	tail (1)
35	Dixon-1919-173-54	1220	TAIL	54	tail (2)
	Dixon-1919-173-55	1838	NAVEL	55	navel
	Dixon-1919-173-56	301	CHIEFTAIN	56	chief
	Dixon-1919-173-57	394	SHAMAN, FOLK HEALER	57	shaman, ceremonial initiate
7	Dixon-1919-173-58	1252	HOUSE	58	house (1)
7	Dixon-1919-173-59	1252	HOUSE	59	house (2)
	Dixon-1919-173-6	962	WOMAN	6	woman, †girl (1)
	Dixon-1919-173-60	994	BOW	60	bow
36	Dixon-1919-173-61	977	ARROW	61	arrow (1)
36	Dixon-1919-173-62	977	ARROW	62	arrow (2)
	Dixon-1919-173-63	1352	KNIFE	63	knife
14	Dixon-1919-173-64	1844	BOAT	64	boat (1)
14	Dixon-1919-173-65	1844	BOAT	65	63a. boat (2)
14	Dixon-1919-173-66	1844	BOAT	66	boat (3)
31	Dixon-1919-173-67	1124	PIPE	67	pipe (1)
31	Dixon-1919-173-68	1124	PIPE	68	pipe (2)
2	Dixon-1919-173-69	225	PESTLE	69	pestle (1)
	Dixon-1919-173-7	2106	WOMAN	7	woman, girl (2)
2	Dixon-1919-173-70	225	PESTLE	70	pestle (2)
11	Dixon-1919-173-71	1343	SUN	71	sun (1)
11	Dixon-1919-173-72	1343	SUN	72	sun (2)
	Dixon-1919-173-73	1313	MOON	73	moon
	Dixon-1919-173-74	1430	STAR	74	star
23	Dixon-1919-173-75	1233	NIGHT	75	night (1)
23	Dixon-1919-173-76	1233	NIGHT	76	night (2)
	Dixon-1919-173-77	1489	CLOUD	77	cloud
	Dixon-1919-173-78	1654	LIGHTNING	78	lightning
	Dixon-1919-173-79	658	RAIN, PRECIPATION	79	rain
	Dixon-1919-173-8	1646	GIRL	8	girl
	Dixon-1919-173-80	784	SNOW	80	snow
	Dixon-1919-173-81	221	FIRE	81	fire
	Dixon-1919-173-82	778	SMOKE, EXHAUST	82	smoke
	Dixon-1919-173-83	646	ASH	83	ash
	Dixon-1919-173-84	1188	CHARCOAL	84	coal
1	Dixon-1919-173-85	948	WATER	85	water (1)
1	Dixon-1919-173-86	948	WATER	86	water (2)
	Dixon-1919-173-87	1228	EARTH, SOIL	87	earth
39	Dixon-1919-173-88	639	MOUNTAIN	88	mountain (1)
39	Dixon-1919-173-89	639	MOUNTAIN	89	mountain (2)
	Dixon-1919-173-9	1289	BABY	9	baby
	Dixon-1919-173-90	857	STONE	90	stone
	Dixon-1919-173-91	1274	SALT	91	salt
	Dixon-1919-173-92	1803	WOOD	92	wood
	Dixon-1919-173-93	606	GRASS	93	grass, brush
16	Dixon-1919-173-94	1740	PINE	94	sugar pine
16	Dixon-1919-173-95	1740	PINE	95	yellow pine
16	Dixon-1919-173-96	1740	PINE	96	digger pine
	Dixon-1919-173-97	1009	CHESTNUT TREE	97	buckeye
33	Dixon-1919-173-98	520	MANZANITA	98	manzanita (1)
33	Dixon-1919-173-99	520	MANZANITA	99	manzanita (2)
