ID	NUMBER	ENGLISH	FRENCH	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
Perrin-2010-110-77	77	ROTTEN	pourri	verdorben	1728	ROTTEN	
Perrin-2010-110-78	78	ROUGH	rugueux	rauh	1923	ROUGH	
Perrin-2010-110-79	79	ROUND	rond	rund	1395	ROUND	
Perrin-2010-110-80	80	RUDE	impoli	unhöflich	1412	RUDE	
Perrin-2010-110-81	81	SHALLOW	peu profond	seicht	193	SHALLOW	
Perrin-2010-110-82	82	SALT	salé	salzig	1274	SALT	
Perrin-2010-110-83	83	SHARP	tranchant	scharf	1396	SHARP	
Perrin-2010-110-84	84	SHORT	court	kurz	1645	SHORT	
Perrin-2010-110-85	85	SHY	timide	schüchtern	487	SHY	
Perrin-2010-110-86	86	SILENT	silencieux	still	48	BE SILENT	
Perrin-2010-110-87	87	SLOW	lent	langsam	701	SLOW	
Perrin-2010-110-88	88	SMALL	petit (de taille)	klein	1246	SMALL	
Perrin-2010-110-89	89	SMOOTH	lisse	glatt	1234	SMOOTH	
Perrin-2010-110-90	90	SOLID	solide	fest	3003	SOLID	
Perrin-2010-110-91	91	SOUR	aigre	sauer	1906	SOUR	
Perrin-2010-110-92	92	pointed	pointu	SPITZ	372	POINTED	
Perrin-2010-110-93	93	STINGY	avare	geizig	1774	STINGY	
Perrin-2010-110-94	94	STINKY	malodorant	stinkend	42	STINKING	
Perrin-2010-110-95	95	STRAIGHT	droit	gerade	1404	STRAIGHT	
Perrin-2010-110-96	96	STRONG	fort	stark	785	STRONG	
Perrin-2010-110-97	97	STUBBORN	têtu	stur			
Perrin-2010-110-98	98	SUPERFICIAL	superficiel	oberflächlich			
Perrin-2010-110-99	99	SWEET	sucré	süß	717	SWEET	
Perrin-2010-110-100	100	TIGHT	serré	eng	3053	TIGHT	
Perrin-2010-110-101	101	THIN	mince	dünn	1400	THIN (SLIM)	
Perrin-2010-110-102	102	TRUE	vrai	wahr	1657	TRUE	
Perrin-2010-110-103	103	WARM	chaud	warm	1232	WARM	
Perrin-2010-110-104	104	WEAK	faible	schwach	1601	WEAK	
Perrin-2010-110-105	105	WET	humide	feucht	1726	WET	
Perrin-2010-110-106	106	WHITE	blanc	weiß	1335	WHITE	
Perrin-2010-110-107	107	WIDE	large	weit	1243	WIDE	
Perrin-2010-110-108	108	WISE	sage	weise	698	WISE	
Perrin-2010-110-109	109	WRONG	faux	falsch	1390	WRONG	
Perrin-2010-110-110	110	YOUNG	jeune	jung	1207	YOUNG	
