ID	NUMBER	URL	ENGLISH	DESCRIPTION	CONCEPTICON_ID	CONCEPTICON_GLOSS	EXAMPLE_CONTEXT
Heggarty-2017-200-58	58	http://cobl.clld.org/parameters/58	foot		1301	FOOT	Her foot is injured so she cannot walk.
Heggarty-2017-200-42	42	http://cobl.clld.org/parameters/42	far		1406	FAR	You can't walk there in one day; it's too far.
Heggarty-2017-200-46	46	http://cobl.clld.org/parameters/46	feather		1201	FEATHER	What bird does this feather come from?
Heggarty-2017-200-50	50	http://cobl.clld.org/parameters/50	fire		221	FIRE	He was cold, so he moved closer to the fire.
Heggarty-2017-200-51	51	http://cobl.clld.org/parameters/51	fish		227	FISH	I can see a fish swimming in the water.
Heggarty-2017-200-55	55	http://cobl.clld.org/parameters/55	flower	The noun '(a) flower', to the verb 'bloom'.	239	FLOWER	What type of flower is this?
Heggarty-2017-200-211	211	http://cobl.clld.org/parameters/211	fly_N	The noun for the insect '(a) fly'..	1504	FLY (INSECT)	He killed a fly.
Heggarty-2017-200-78	78	http://cobl.clld.org/parameters/78	horn		1393	HORN (ANATOMY)	Some animals have horns. Humans do not.
Heggarty-2017-200-79	79	http://cobl.clld.org/parameters/79	how		1239	HOW	How do you make fire?
Heggarty-2017-200-141	141	http://cobl.clld.org/parameters/141	short		1645	SHORT	This is a short rope; that is a long rope.
Heggarty-2017-200-209	209	http://cobl.clld.org/parameters/209	thigh		800	THIGH	He slapped his thigh.
Heggarty-2017-200-29	29	http://cobl.clld.org/parameters/29	dig		1418	DIG	He is digging in the ground.
Heggarty-2017-200-13	13	http://cobl.clld.org/parameters/13	bite	The verb '(to) bite', not the noun for '(a) bite'.	1403	BITE	The dog bit him.
Heggarty-2017-200-173	173	http://cobl.clld.org/parameters/173	think	Verb for the mental activity, process of thinking; the generic term for 'cogitate, be thinking abour something'.  *Not* have an opinion.	1415	THINK (REFLECT)	What are you doing?  I'm just thinking.
Heggarty-2017-200-174	174	http://cobl.clld.org/parameters/174	this		1214	THIS	I used this knife.
Heggarty-2017-200-132	132	http://cobl.clld.org/parameters/132	salt		1274	SALT	She puts too much salt in her food.
Heggarty-2017-200-28	28	http://cobl.clld.org/parameters/28	die		1494	DIE	Everyone dies sooner or later.
Heggarty-2017-200-134	134	http://cobl.clld.org/parameters/134	say		1458	SAY	She said that she would be late.
Heggarty-2017-200-136	136	http://cobl.clld.org/parameters/136	sea		1474	SEA	Her house is beside the sea.
Heggarty-2017-200-215	215	http://cobl.clld.org/parameters/215	bitter		887	BITTER	The leaves tasted bitter.
Heggarty-2017-200-24	24	http://cobl.clld.org/parameters/24	come		1446	COME	I saw him on the road. I don't know where he was coming from.
Heggarty-2017-200-138	138	http://cobl.clld.org/parameters/138	seed		714	SEED	You can eat the seeds of (insert name of local fruit).
Heggarty-2017-200-162	162	http://cobl.clld.org/parameters/162	straight		1404	STRAIGHT	This stick is straight, but that one is bent.
Heggarty-2017-200-226	226	http://cobl.clld.org/parameters/226	claw		72	CLAW	The cat scratched me with its claws.
Heggarty-2017-200-23	23	http://cobl.clld.org/parameters/23	cold		1287	COLD	The rocks get hot during the day and cold at night.
Heggarty-2017-200-133	133	http://cobl.clld.org/parameters/133	sand		671	SAND	She let the sand fall through her hands.
Heggarty-2017-200-17	17	http://cobl.clld.org/parameters/17	bone		1394	BONE	He fell and broke a bone.
Heggarty-2017-200-26	26	http://cobl.clld.org/parameters/26	cut		1432	CUT	I've cut my finger; look, it's bleeding.
Heggarty-2017-200-30	30	http://cobl.clld.org/parameters/30	dirty		1230	DIRTY	This cup is clean and that one is dirty.
Heggarty-2017-200-99	99	http://cobl.clld.org/parameters/99	man	Specifically an adult male, not the generic sense of 'person' or 'humankind'.	1554	MAN	I saw a man and a woman.
Heggarty-2017-200-14	14	http://cobl.clld.org/parameters/14	black		163	BLACK	Charcoal is black.
Heggarty-2017-200-135	135	http://cobl.clld.org/parameters/135	scratch		1436	SCRATCH	She scratched her head.
Heggarty-2017-200-158	158	http://cobl.clld.org/parameters/158	stand	Stative verb, 'be standing', *not* change of state 'get up, stand up'. 	1442	STAND	He is standing over there.
Heggarty-2017-200-213	213	http://cobl.clld.org/parameters/213	shadow		1388	SHADE	He could see his shadow on the ground.
Heggarty-2017-200-217	217	http://cobl.clld.org/parameters/217	sweet		717	SWEET	This apple is ripe now, it tastes sweet.
Heggarty-2017-200-22	22	http://cobl.clld.org/parameters/22	cloud		1489	CLOUD	There were white clouds in the blue sky.
Heggarty-2017-200-25	25	http://cobl.clld.org/parameters/25	count		1420	COUNT	I counted the stones; there were five stones.
Heggarty-2017-200-167	167	http://cobl.clld.org/parameters/167	tail		1220	TAIL	The dog wagged its tail.
Heggarty-2017-200-220	220	http://cobl.clld.org/parameters/220	carry		700	CARRY	She carried her bag [under her arm].
Heggarty-2017-200-15	15	http://cobl.clld.org/parameters/15	blood		946	BLOOD	Blood is red.
Heggarty-2017-200-27	27	http://cobl.clld.org/parameters/27	day		1225	DAY (NOT NIGHT)	Day and night.
Heggarty-2017-200-221	221	http://cobl.clld.org/parameters/221	take		1749	TAKE	Take the money when you go.
Heggarty-2017-200-168	168	http://cobl.clld.org/parameters/168	that		78	THAT	I used that knife.
Heggarty-2017-200-169	169	http://cobl.clld.org/parameters/169	there		1937	THERE	The knife is (over) there.
Heggarty-2017-200-176	176	http://cobl.clld.org/parameters/176	three		492	THREE	Three plus one is four.
Heggarty-2017-200-218	218	http://cobl.clld.org/parameters/218	go		695	GO	I saw him on the road. I don't know where he was going.
Heggarty-2017-200-224	224	http://cobl.clld.org/parameters/224	do	0	813	DO	What did you **do** in the village yesterday?
Heggarty-2017-200-89	89	http://cobl.clld.org/parameters/89	lake		624	LAKE	Her house is beside the lake.
Heggarty-2017-200-225	225	http://cobl.clld.org/parameters/225	grind		1033	GRIND	He’s grinding flour.
Heggarty-2017-200-91	91	http://cobl.clld.org/parameters/91	leaf		628	LEAF	He picked a leaf from the tree.
Heggarty-2017-200-72	72	http://cobl.clld.org/parameters/72	hear		1408	HEAR	I heard a noise last night.
Heggarty-2017-200-222	222	http://cobl.clld.org/parameters/222	hide	The verb 'to (hide)', not the noun for an animal skin.	602	HIDE (CONCEAL)	They hid their food from the animals.
Heggarty-2017-200-83	83	http://cobl.clld.org/parameters/83	ice		617	ICE	The ice is melting in the sun.
Heggarty-2017-200-87	87	http://cobl.clld.org/parameters/87	knee		1371	KNEE	He put his hand on his knee.
Heggarty-2017-200-76	76	http://cobl.clld.org/parameters/76	hit	The verb '(to) hit', not the noun for a blow or strike.	1433	HIT	He hit the ball with the stick.
Heggarty-2017-200-88	88	http://cobl.clld.org/parameters/88	know	Know a fact, *not* a person.  Be aware of not be acquainted with.	1410	KNOW (SOMETHING)	They know that we’re coming.
Heggarty-2017-200-80	80	http://cobl.clld.org/parameters/80	hunt	The verb '(to) hunt', not the noun '(a) hunt'.	1435	HUNT	He’s hunting animals in the forest.
Heggarty-2017-200-92	92	http://cobl.clld.org/parameters/92	left	The opposite of 'right (hand side)'.  Ajdective, not adverb.	244	LEFT	He is blind in his left eye.
Heggarty-2017-200-18	18	http://cobl.clld.org/parameters/18	chest	The part of the body between shoulders and stomach.  *Not* specifically the female breast.	1592	CHEST	His wore a medal on his chest.
Heggarty-2017-200-32	32	http://cobl.clld.org/parameters/32	drink		1401	DRINK	He drank because he was thirsty.
Heggarty-2017-200-105	105	http://cobl.clld.org/parameters/105	mouth		674	MOUTH	He put his fingers in his mouth.
Heggarty-2017-200-38	38	http://cobl.clld.org/parameters/38	eat		1336	EAT	Eat some food and drink some water.
Heggarty-2017-200-86	86	http://cobl.clld.org/parameters/86	kill		1417	KILL	They started fighting. He killed him.
Heggarty-2017-200-90	90	http://cobl.clld.org/parameters/90	laugh		1355	LAUGH	When I saw him, he was laughing.
Heggarty-2017-200-11	11	http://cobl.clld.org/parameters/11	big		1202	BIG	This is a big stone. That is a small stone.
Heggarty-2017-200-12	12	http://cobl.clld.org/parameters/12	bird		937	BIRD	What bird does this feather come from?
Heggarty-2017-200-6	6	http://cobl.clld.org/parameters/6	back	The noun, part of the human body, not the English adjective or adverb 'back'. 	1291	BACK	I fell over and now my back hurts.
Heggarty-2017-200-8	8	http://cobl.clld.org/parameters/8	bark	The noun for the 'bark' of a tree.  *Not* the verb for the barking of dogs!	1204	BARK	He tore some bark off the tree.
Heggarty-2017-200-97	97	http://cobl.clld.org/parameters/97	long		1203	LONG	This is a long rope; that is a short rope.
Heggarty-2017-200-93	93	http://cobl.clld.org/parameters/93	leg		1297	LEG	He fell and broke his leg.
Heggarty-2017-200-94	94	http://cobl.clld.org/parameters/94	lie	Stative verb, i.e. 'be lying (down).  *Not* the English homonym 'tell untruths'. 	1411	LIE (REST)	She was lying on the ground.
Heggarty-2017-200-98	98	http://cobl.clld.org/parameters/98	louse		1392	LOUSE	I picked a louse from his hair.
Heggarty-2017-200-108	108	http://cobl.clld.org/parameters/108	near	----	1942	NEAR	You can walk there in one day; it's near.
Heggarty-2017-200-95	95	http://cobl.clld.org/parameters/95	live	Verb 'be alive'. *Not* 'dwell' in a place.	1422	BE ALIVE	How many years can people live for?
Heggarty-2017-200-7	7	http://cobl.clld.org/parameters/7	bad		1292	BAD	That's a bad idea.
Heggarty-2017-200-223	223	http://cobl.clld.org/parameters/223	cry	The sense of shedding tears, not shouting out.	1839	CRY	She was crying when I saw her.
Heggarty-2017-200-96	96	http://cobl.clld.org/parameters/96	liver		1224	LIVER	When he died they found that his liver was very swollen.
Heggarty-2017-200-208	208	http://cobl.clld.org/parameters/208	ant		587	ANT	There's an ant climbing up your leg.
Heggarty-2017-200-16	16	http://cobl.clld.org/parameters/16	blow	The  verb '(to) blow', not the noun for (a) blow from hitting.	176	BLOW (WITH MOUTH)	He blew on the sticks to start the fire.
Heggarty-2017-200-21	21	http://cobl.clld.org/parameters/21	child	Kin term, for offspring;  *not* about young age, non-adult.  Opposite of 'parent', not of 'adult;. 	1801	CHILD (DESCENDANT)	That is their first child.
Heggarty-2017-200-4	4	http://cobl.clld.org/parameters/4	ash	The powdery remains of a fire, not the tree species 'ash'.	646	ASH	There was nothing left but ash.
Heggarty-2017-200-10	10	http://cobl.clld.org/parameters/10	belly		1251	BELLY	He punched him in the belly.
