ID	NUMBER	ITALIAN	ENGLISH	GUSTATORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	AUDITORY_MEAN	VISUAL_MEAN	PERCEPTUAL_STRENGTH_MAX	PERCEPTUAL_DOMINANT	PERCEPTUAL_STRENGTH_SUM	PERCEPTUAL_STRENGTH_ENTROPY	EXCLUSIVITY	FAMILIARITY	AOA_MEAN	CONTEXT_AVAILABILITY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Morucci-2019-643-612	612	untuoso	oily	3.424	1.848	4.515	0.576	3.939	4.515	tatto	14.303	1.455	0.275	3.111	5.45	3.421		
Morucci-2019-643-613	613	urlante	screamer	0	0	0.081	4.972	2.722	4.972	udito	7.776	0.701	0.639	4.444	3.95	4.842		
Morucci-2019-643-614	614	urticante	stinging	1.065	0.75	4.844	0.281	2.562	4.844	tatto	9.502	1.247	0.48	3.111	5.25	4.316		
Morucci-2019-643-615	615	ustionante	burning	1.579	1.179	4.795	0.923	3.513	4.795	tatto	11.989	1.419	0.323	4.667	5	5.684		
Morucci-2019-643-616	616	vago	vague	1	1.125	0.606	2.848	2.364	2.848	udito	7.943	1.462	0.282	5.947	4.471	4.789		
Morucci-2019-643-617	617	variopinto	colorful	0.462	0.308	0.359	0.385	4.949	4.949	vista	6.462	0.866	0.718	5.294	4.412	5.389	2997	COLORFUL
Morucci-2019-643-618	618	vasto	vast	0.03	0.333	2.242	1.758	4.939	4.939	vista	9.303	1.132	0.528	5.947	4.235	5.842		
Morucci-2019-643-619	619	vegetale	vegetable	3.615	2.897	3.128	0.487	4.667	4.667	vista	14.795	1.469	0.283	6.278	3.85	6.263		
Morucci-2019-643-620	620	velato	veiled	0.706	0.735	2.765	1.706	4.088	4.088	vista	10	1.402	0.338	4.579	4.941	4.789		
Morucci-2019-643-621	621	vellutato	velvety	1.41	0.667	4.395	0.684	4	4.395	tatto	11.156	1.336	0.334	4.789	4.235	5.579		
Morucci-2019-643-622	622	venato	veined	0.289	0.053	3.105	0.263	4.421	4.421	vista	8.132	0.961	0.537	3.158	5.933	4.263		
Morucci-2019-643-623	623	ventilato	ventilated	0.128	1.538	3.333	2.692	3.333	3.333	tatto	11.026	1.394	0.291	5.895	4.471	6.211		
Morucci-2019-643-624	624	verdastro	greenish	0.353	0.5	0.324	0.206	4.853	4.853	vista	6.235	0.826	0.745	4.647	4.278	5.056		
Morucci-2019-643-625	625	verde	green	0.475	0.4	0.5	0.125	5	5	vista	6.5	0.838	0.75	6.882	2.333	6.611	1425	GREEN
Morucci-2019-643-626	626	verdeggiante	verdant	0.189	0.838	0.378	0.324	4.838	4.838	vista	6.568	0.903	0.708	4.059	4.118	5.5		
Morucci-2019-643-627	627	verdino	verdino	0.088	0.147	0.176	0.059	4.971	4.971	vista	5.441	0.407	0.903	3.947	3	4.316		
Morucci-2019-643-628	628	vermiglio	vermilion	0.194	0.167	0.333	0.111	4.917	4.917	vista	5.722	0.59	0.84	2.421	5.412	3.526		
Morucci-2019-643-629	629	vero	true	1.486	1.389	1.973	2.973	3.757	3.757	vista	11.578	1.534	0.205	7	2.647	5.368	1657	TRUE
Morucci-2019-643-630	630	verticale	vertical	0.026	0.079	3.513	0.308	4.821	4.821	vista	8.746	0.872	0.548	6.333	3.65	6.053	2375	VERTICAL
Morucci-2019-643-631	631	viola	violet	0.182	0.364	0.182	0.273	5	5	vista	6	0.674	0.803	6	2.65	6.263		
Morucci-2019-643-632	632	violaceo	purplish	0.108	0.243	0.189	0.108	4.973	4.973	vista	5.622	0.51	0.865	3.889	4.25	4.789		
Morucci-2019-643-633	633	violento	violent	0.514	0.676	1.811	3.595	4.351	4.351	vista	10.946	1.345	0.351	6.611	3.95	6.579		
Morucci-2019-643-634	634	violetto	violet	0.05	0.325	0.125	0.05	5	5	vista	5.55	0.43	0.892	5.647	2.889	5.611		
Morucci-2019-643-635	635	viscido	slimy	2.121	0.364	4.824	0.912	3.824	4.824	tatto	12.044	1.338	0.37	6.176	4.444	5.722		
Morucci-2019-643-636	636	vivace	lively	1.121	0.562	0.394	3.909	3.848	3.909	udito	9.835	1.274	0.357	6.562	3.167	6.222		
Morucci-2019-643-637	637	vivido	vivid	1.25	1.25	0.925	1.7	4.05	4.05	vista	9.175	1.448	0.341	5	6	4.421		
Morucci-2019-643-638	638	vivo	alive	0.795	2.359	4	3.795	4.769	4.769	vista	15.718	1.489	0.253	6.882	2.611	6.722	1422	BE ALIVE
Morucci-2019-643-639	639	vuoto	empty	0.353	0.382	4.294	2.559	4.676	4.676	vista	12.265	1.272	0.353	6.947	2.765	6.421	1624	EMPTY
Morucci-2019-643-640	640	zigzagato	zigzag	0.263	0.027	4.079	0.316	4.892	4.892	vista	9.577	0.935	0.508	2.222	4.765	3.684		
Morucci-2019-643-641	641	zuccherato	sweetened	4.973	2.139	0.514	0.108	2.784	4.973	gusto	10.517	1.224	0.463	6.111	3.5	6.211		
Morucci-2019-643-642	642	zuccheroso	sugary	4.973	2.194	0.861	0.243	2.649	4.973	gusto	10.92	1.309	0.433	4.706	3.389	5.389		
Morucci-2019-643-643	643	zuppo	soup	1.939	1.424	4.242	1.152	4.606	4.606	vista	13.364	1.461	0.258	4.833	4.75	5.632		
