ID	NUMBER	MANDARINE_CHINESE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SOURCE	WORD_LENGTH	IMAGE_VARIABILITY	IMAGE_AGREEMENT	CONCEPT_FAMILIARITY	VISUAL_COMPLEXITY	SUBJECTIVE_FREQUENCY	NAME_AGREEMENT_PERCENT	NAME_AGREMENT_H	CONCEPT_AGREEMENT	AoA_RATED	AoA_OBJECTIVE	ERROR_PERCENT	LATENCY_ms
Liu-2011-435-235	235	猴子	monkey	1350	MONKEY	1	2	2.93	3.94	4.56	3.03	2.37	0.80	1.03	1.00	3.41	2.85	0.00	898
Liu-2011-435-236	236	月亮	moon	1313	MOON	1	2	2.95	4.11	4.75	1.03	3.49	0.63	1.69	1.00	1.81	2.69	0.00	743
Liu-2011-435-237	237	牵牛花	morning glory			5	3	2.60	3.20	3.86	4.56	1.84	0.55	1.95	0.68	3.06	10.65	0.14	1521
Liu-2011-435-238	238	蚊子	mosquito	1509	MOSQUITO	5	2	3.10	3.50	4.22	2.68	2.71	0.60	1.56	0.63	2.00	10.33	0.06	1395
Liu-2011-435-239	239	摩托车	motorcycle	638	MOTORCYCLE	1	3	3.02	4.03	4.81	4.46	2.83	0.70	0.88	1.00	4.50	3.67	0.00	867
Liu-2011-435-240	240	山	mountain	639	MOUNTAIN	1	1	3.45	3.23	4.25	2.19	3.40	0.40	2.31	1.00	1.94	3.42	0.00	972
Liu-2011-435-241	241	老鼠	mouse	1491	MOUSE	1	2	2.79	4.61	4.64	3.05	2.50	0.90	0.62	1.00	2.29	2.85	0.00	798
Liu-2011-435-242	242	鼠标	mouse			4	2	2.93	3.75	4.78	2.62	4.31	0.98	0.00	0.98	6.56	6.94	0.00	1040
Liu-2011-435-243	243	嘴唇	mouth	674	MOUTH	1	2	2.90	4.47	4.81	1.43	3.71	0.43	1.91	0.98	2.19	3.18	0.00	755
Liu-2011-435-244	244	蘑菇	mushroom	641	MUSHROOM	1	2	3.19	4.33	4.58	2.86	3.14	0.98	0.17	1.00	3.41	2.79	0.00	834
Liu-2011-435-245	245	胡子	mustache	1165	MOUSTACHE	3	2	2.81	2.97	3.56	3.76	3.15	0.50	1.67	0.58	2.69	8.92	0.14	1374
Liu-2011-435-246	246	钉子	nail	502	NAIL (TOOL)	1	2	2.90	4.60	4.58	1.46	2.66	0.75	1.12	0.90	2.63	7.44	0.03	877
Liu-2011-435-247	247	项链	necklace	1961	NECKLACE	1	2	3.33	3.69	4.39	1.73	2.94	0.83	1.04	0.90	3.81	5.74	0.00	860
Liu-2011-435-248	248	针	needle	1382	NEEDLE (FOR SEWING)	1	1	3.32	4.39	4.22	1.49	2.74	0.80	0.93	0.88	2.44	7.44	0.06	933
Liu-2011-435-249	249	鱼网	net	2653	NET (FOR CATCHING)	1	2	2.76	2.29	4.64	2.89	1.89	0.15	3.29	0.75	4.00	6.69	0.06	979
Liu-2011-435-250	250	鼻子	nose	1221	NOSE	1	2	2.74	4.03	4.64	1.62	3.89	0.85	0.55	0.98	1.69	3.74	0.00	833
Liu-2011-435-251	251	护士	nurse	1104	NURSE	2	2	3.14	3.06	4.47	4.24	2.60	0.75	1.25	0.80	3.29	10.59	0.00	929
Liu-2011-435-252	252	螺丝帽	nut	191	NUT	1	3	2.55	4.12	4.69	2.14	2.17	0.25	2.95	0.73	4.50	10.41	0.06	1307
Liu-2011-435-253	253	洋葱	onion	2366	ONION	1	2	2.98	3.71	3.97	2.84	2.69	0.43	2.19	0.83	4.35	6.69	0.03	1294
Liu-2011-435-254	254	桔子	orange	2627	ORANGE (FRUIT)	1	2	3.45	3.56	3.44	2.14	3.43	0.53	1.54	0.78	2.00	5.78	0.11	1330
Liu-2011-435-255	255	鸵鸟	ostrich	3797	OSTRICH	1	2	2.95	4.09	4.08	2.89	1.89	0.88	0.63	0.88	4.50	10.27	0.09	1137
Liu-2011-435-256	256	猫头鹰	owl	735	OWL	1	3	2.52	4.19	4.28	3.84	2.00	0.98	0.17	0.98	3.65	4.68	0.00	866
Liu-2011-435-257	257	毛笔	paintbrush	3094	PAINTBRUSH	1	2	3.55	3.64	4.11	1.92	2.23	0.85	0.78	0.90	3.00	4.73	0.00	1048
Liu-2011-435-258	258	平底锅	pan	31	PAN	1	3	2.57	4.14	3.97	2.11	2.29	0.40	2.07	0.68	5.25	5.65	0.11	1449
Liu-2011-435-259	259	熊猫	panda	3951	PANDA	5	2	2.71	4.64	4.78	3.62	2.56	0.88	0.63	1.00	2.71	3.41	0.00	704
Liu-2011-435-260	260	裤子	pants	809	TROUSERS	1	2	3.60	4.33	4.78	1.92	4.34	0.93	0.50	1.00	1.94	4.20	0.00	772
Liu-2011-435-261	261	礼物	parcel	212	FIELD	4	2	3.33	4.03	4.28	2.38	3.23	0.45	2.33	0.93	3.56	4.56	0.00	1146
Liu-2011-435-262	262	鹦鹉	parrot	882	PARROT	1	2	3.36	4.00	4.11	3.46	2.14	0.63	1.62	0.63	4.19	7.86	0.09	1083
Liu-2011-435-263	263	桃子	peach	2043	PEACH	1	2	2.95	3.83	3.61	1.65	2.74	0.40	2.26	0.60	2.00	7.93	0.20	1420
Liu-2011-435-264	264	孔雀	peacock	3382	PEACOCK	1	2	2.81	4.03	4.56	3.92	2.00	0.95	0.34	1.00	3.13	5.74	0.00	825
Liu-2011-435-265	265	花生	peanut	595	GROUNDNUT (PEANUT)	1	2	2.48	4.36	4.33	2.59	3.29	0.95	0.00	0.95	2.06	4.42	0.09	1100
Liu-2011-435-266	266	梨	pear	922	PEAR	1	1	2.81	4.08	4.58	1.16	3.23	0.60	1.66	0.70	1.71	2.69	0.00	1109
Liu-2011-435-267	267	圆珠笔	pen	794	PEN	1	3	2.98	3.53	4.81	2.22	4.20	0.35	1.58	1.00	3.56	10.27	0.03	891
Liu-2011-435-268	268	铅笔	pencil	2578	PENCIL	1	2	3.36	4.36	4.80	2.22	3.51	0.95	0.29	1.00	2.06	2.85	0.00	843
Liu-2011-435-269	269	企鹅	penguin	2831	PENGUIN	1	2	3.17	3.75	3.81	2.16	2.23	0.95	0.00	0.95	3.81	3.58	0.03	960
Liu-2011-435-270	270	青椒	pepper	1385	PEPPER	1	2	3.05	4.03	4.44	2.11	3.37	0.28	2.75	0.73	3.88	10.70	0.11	1245
