ID	NUMBER	SEMANTIC_FIELD	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Nahhas-2006-100-1	1	pronouns	I	1209	I
Nahhas-2006-100-2	2	pronouns	you	1213	YOU
Nahhas-2006-100-3	3	pronouns	we	1212	WE
Nahhas-2006-100-4	4	locatives	this	1214	THIS
Nahhas-2006-100-5	5	locatives	that	78	THAT
Nahhas-2006-100-6	6	Q-words	who	1235	WHO
Nahhas-2006-100-7	7	Q-words	what	1236	WHAT
Nahhas-2006-100-8	8	negation	not	1240	NOT
Nahhas-2006-100-9	9	quantifiers	all	98	ALL
Nahhas-2006-100-10	10	quantifiers	many	1198	MANY
Nahhas-2006-100-11	11	numbers	one	1493	ONE
Nahhas-2006-100-12	12	numbers	two	1498	TWO
Nahhas-2006-100-13	13	dimension adjectives	big	1202	BIG
Nahhas-2006-100-14	14	dimension adjectives	long	1203	LONG
Nahhas-2006-100-15	15	dimension adjectives	small	1246	SMALL
Nahhas-2006-100-16	16	gender	woman	962	WOMAN
Nahhas-2006-100-17	17	gender	man	1554	MAN
Nahhas-2006-100-18	18	human term	person	683	PERSON
Nahhas-2006-100-19	19	biological	fish	227	FISH
Nahhas-2006-100-20	20	biological	bird	937	BIRD
Nahhas-2006-100-21	21	biological	dog	2009	DOG
Nahhas-2006-100-22	22	biological	louse	1392	LOUSE
Nahhas-2006-100-23	23	plants etc	tree	906	TREE
Nahhas-2006-100-24	24	plants etc	seed	714	SEED
Nahhas-2006-100-25	25	plants etc	leaf	628	LEAF
Nahhas-2006-100-26	26	plants etc	root	670	ROOT
Nahhas-2006-100-27	27	plants etc	bark	1204	BARK
Nahhas-2006-100-28	28	anatomical	skin	763	SKIN
Nahhas-2006-100-29	29	anatomical	flesh	634	MEAT
Nahhas-2006-100-30	30	anatomical	blood	946	BLOOD
Nahhas-2006-100-31	31	anatomical	bone	1394	BONE
Nahhas-2006-100-32	32	grease?	grease	323	FAT (ORGANIC SUBSTANCE)
Nahhas-2006-100-33	33	animal stuff	egg	744	EGG
Nahhas-2006-100-34	34	animal stuff	horn	1393	HORN (KERATINIZED SKIN)
Nahhas-2006-100-35	35	animal stuff	tail	1220	TAIL
Nahhas-2006-100-36	36	animal stuff	feather	1201	FEATHER
Nahhas-2006-100-37	37	anatomical	hair	1040	HAIR
Nahhas-2006-100-38	38	anatomical	head	1256	HEAD
Nahhas-2006-100-39	39	anatomical	eye	1248	EYE
Nahhas-2006-100-40	40	anatomical	ear	1247	EAR
Nahhas-2006-100-41	41	anatomical	nose	1221	NOSE
Nahhas-2006-100-42	42	anatomical	mouth	674	MOUTH
Nahhas-2006-100-43	43	anatomical	tooth	1380	TOOTH
Nahhas-2006-100-44	44	anatomical	tongue	1205	TONGUE
Nahhas-2006-100-45	45	animal stuff	claw	72	CLAW
Nahhas-2006-100-46	46	anatomical stuff	foot	1301	FOOT
Nahhas-2006-100-47	47	anatomical stuff	knee	1371	KNEE
Nahhas-2006-100-48	48	anatomical stuff	hand	1277	HAND
Nahhas-2006-100-49	49	anatomical stuff	belly	1251	BELLY
Nahhas-2006-100-50	50	anatomical stuff	neck	1333	NECK
Nahhas-2006-100-51	51	anatomical stuff	breasts	1402	BREAST
Nahhas-2006-100-52	52	anatomical stuff	heart	1223	HEART
Nahhas-2006-100-53	53	anatomical stuff	liver	1224	LIVER
Nahhas-2006-100-54	54	consumtion verbs	drink	1401	DRINK
Nahhas-2006-100-55	55	consumtion verbs	eat	1336	EAT
Nahhas-2006-100-56	56	consumtion verbs	bite	1403	BITE
Nahhas-2006-100-57	57	less animate verbs	see	1409	SEE
Nahhas-2006-100-58	58	less animate verbs	hear	1408	HEAR
Nahhas-2006-100-59	59	less animate verbs	know	1410	KNOW (SOMETHING)
Nahhas-2006-100-60	60	less animate verbs	sleep	1585	SLEEP
Nahhas-2006-100-61	61	action verbs	die	1494	DIE
Nahhas-2006-100-62	62	action verbs	kill	1417	KILL
Nahhas-2006-100-63	63	action verbs	swim	1439	SWIM
Nahhas-2006-100-64	64	action verbs	fly	1441	FLY (MOVE THROUGH AIR)
Nahhas-2006-100-65	65	action verbs	walk	1443	WALK
Nahhas-2006-100-66	66	less animate verbs	come	1446	COME
Nahhas-2006-100-67	67	less animate verbs	lie	1411	LIE (REST)
Nahhas-2006-100-68	68	less animate verbs	sit	1416	SIT
Nahhas-2006-100-69	69	less animate verbs	stand	1442	STAND
Nahhas-2006-100-70	70	less animate verbs	give	1447	GIVE
Nahhas-2006-100-71	71	less animate verbs	say	1458	SAY
Nahhas-2006-100-72	72	astronomy	sun	1343	SUN
Nahhas-2006-100-73	73	astronomy	moon	1313	MOON
Nahhas-2006-100-74	74	astronomy	star	1430	STAR
Nahhas-2006-100-75	75	terrestrial	water	948	WATER
Nahhas-2006-100-76	76	terrestrial	rain	658	RAIN (PRECIPITATION)
Nahhas-2006-100-77	77	terrestrial	stone	857	STONE
Nahhas-2006-100-78	78	terrestrial	sand	671	SAND
Nahhas-2006-100-79	79	terrestrial	earth	1228	EARTH (SOIL)
Nahhas-2006-100-80	80	terrestrial	cloud	1489	CLOUD
Nahhas-2006-100-81	81	cooking	smoke	778	SMOKE (EXHAUST)
Nahhas-2006-100-82	82	cooking	fire	221	FIRE
Nahhas-2006-100-83	83	cooking	ash	646	ASH
Nahhas-2006-100-84	84	cooking	burn	141	BURN (SOMETHING)
Nahhas-2006-100-85	85	geography	path	2252	PATH
Nahhas-2006-100-86	86	geography	mountain	639	MOUNTAIN
Nahhas-2006-100-87	87	color terms adjectives	red	156	RED
Nahhas-2006-100-88	88	color terms adjectives	green	1425	GREEN
Nahhas-2006-100-89	89	color terms adjectives	yellow	1424	YELLOW
Nahhas-2006-100-90	90	color terms adjectives	white	1335	WHITE
Nahhas-2006-100-91	91	color terms adjectives	black	163	BLACK
Nahhas-2006-100-92	92	time	night	1233	NIGHT
Nahhas-2006-100-93	93	temperature adjectives	hot	1286	HOT
Nahhas-2006-100-94	94	temperature adjectives	cold	1287	COLD
Nahhas-2006-100-95	95	various adjectives	full	1429	FULL
Nahhas-2006-100-96	96	various adjectives	new	1231	NEW
Nahhas-2006-100-97	97	various adjectives	good	1035	GOOD
Nahhas-2006-100-98	98	various adjectives	round	1395	ROUND
Nahhas-2006-100-99	99	various adjectives	dry	1398	DRY
Nahhas-2006-100-100	100	nominative	name	1405	NAME
