ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	SPANISH	GLOSS	OMEGAWIKI
Huber-1992-374-113	ecf1176e-abe7-422a-afae-aeb12dc9d9cf	TORTOISE	113	TORTUGA	TORTOISE	3788
Huber-1992-374-114	48676fbd-7bd1-47f7-b767-79acc9815d32	TURTLE	114	TORTUGA, MOTELO	RIVER TURTLE	1200609
Huber-1992-374-115	cf84e8e6-1127-488e-a2f4-ea0f3524cecb	COLLARED PECCARY	115	SAÍNO	COLLARED PECCARY	1541194
Huber-1992-374-116	1b2a4d94-068b-4a50-8572-69c8f8ac9846	WHITE-LIPPED PECCARY	116	JABALÍ MAYOR	WHITE-LIPPED PECCARY	1541200
Huber-1992-374-117	71476208-4008-43d0-a5f6-7d081fb0b453	AGOUTI	117	AGUTÍ	AGOUTI	1510408
Huber-1992-374-118	c8099684-5e7b-4653-93d4-bb2f3a96247a	RAT	118	RATA	RAT	6233
Huber-1992-374-119	e2279f1f-e690-43ad-9755-485488a0113e	CAT	119	GATO	CAT	5446
Huber-1992-374-120	8f7a3bd4-8d31-4f1e-b62a-30ef28e13d5f	MOUSE	120	RATÓN	MOUSE	6237
Huber-1992-374-121	e77b4dd1-7f64-4312-b3eb-fde79f435bd5	TAIL	121	COLA	TAIL	5468
Huber-1992-374-122	086ce495-aca0-4d4f-9e4b-db25b0c6cbd3	SNAKE	122	SERPIENTE, CULEBRA	SNAKE	3388
Huber-1992-374-123	346c9c8f-097a-4c48-b266-c5d8697d229e	ANACONDA, WATER BOA	123	MAPANA	ANACONDA, WATER BOA	379150
Huber-1992-374-124	e8ce4e78-b8e0-4940-814f-fd459fa8cd0b	RATTLESNAKE	124	CASCABEL	RATTLESNAKE	370629
Huber-1992-374-125	086ce495-aca0-4d4f-9e4b-db25b0c6cbd3	SNAKE	125	CORAL	CORAL SNAKE	3388
Huber-1992-374-126	6ea147a0-0550-4914-be8b-63e78112534b	TOAD	126	SAPO	TOAD	3784
Huber-1992-374-127	df81c669-0dbf-4afd-8a8c-770563441b6f	BIRD	127	PÁJARO	BIRD	400
Huber-1992-374-128	14863c95-99b7-4edb-a0cf-822166bec591	HUMMINGBIRD	128	PICAFLOR, COLIBRÍ	HUMMINGBIRD	652702
Huber-1992-374-129	20864b60-5126-4a91-b337-d317b7a350ba	MACAW	129	GUACAMAYO	MACAW	667122
Huber-1992-374-130	65b8e504-a304-45bb-acb4-f3d693c318e0	TOUCAN	130	TUCÁN, PINSHA	TOUCAN	1510388
Huber-1992-374-131	6c758fd9-28b3-4720-ab8d-d0e652440d05	PARROT	131	LORO	PARROT	374495
Huber-1992-374-132	71a05b50-1ab5-476f-8410-9d6d22c1a701	PARAKEET	132	PERICO, PIHUICHO	PARAKEET	375199
Huber-1992-374-133	5b7bedca-2dea-4633-8ba0-039a9e291258	BUZZARD	133	GALLINAZO	BUZZARD	8038
Huber-1992-374-134	6295ba98-c2d3-40ae-9b01-462519e23018	CURASSOW	134	PAYO	CURASSOW	1510442
Huber-1992-374-135	a43abcd2-395f-4eb6-83cd-3115bf9daf51	OWL	135	LECHUZA, BUHO	OWL	339205
Huber-1992-374-136	7910a917-b8a3-4375-a95c-cf5acdee7b9e	GUAN	136	PAVA DE MONTE	GUAN	1541204
Huber-1992-374-137	34cd643d-409a-4360-8e10-cd2764fb9994	HEN	137	GALLINA	HEN	6311
Huber-1992-374-138	28bff12a-4f3c-47a0-b6fe-018423e741e5	FISH	138	PESCADO	FISH	1460
Huber-1992-374-139	38ebcd50-a743-4a48-9084-d27497588f71	PIRANHA	139	CARIBE	PIRANHA	1510464
Huber-1992-374-140	232cdcf5-a252-4efc-be7d-04f096396f3a	BEE	140	ABEJA	BEE	325
Huber-1992-374-141	c791016d-1ce0-418b-ab9a-8ee3510fbafe	FLY, INSECT	141	MOSCA	FLY	6261
Huber-1992-374-142	d32aa64c-0835-4a0b-b33e-1978ff2797c9	FLEA	142	PULGA	FLEA	1476
Huber-1992-374-143	1172db7f-7426-42e0-abe6-566f6651c232	LOUSE	143	PIOJO	LOUSE	5980
Huber-1992-374-144	902e1aa4-46c8-42aa-893f-d384e08c8437	MOSQUITO	144	ZANCUDO	MOSQUITO	630453
Huber-1992-374-145	dd4fb2b6-bdc6-4ede-bad0-c7e132ceeb6b	TERMITES	145	COMEJÉN, HORMIGA BLANCA	TERMITE	3747
Huber-1992-374-146	34eb4f7d-2f9d-4f71-a29f-044e425d0e00	ANT	146	HORMIGA	ANT	160271
Huber-1992-374-147	fb9de99c-53dd-444b-8f88-ed860ee04054	SPIDER	147	ARAÑA	SPIDER	3588
Huber-1992-374-148	c177e0bc-4066-46e6-ab9f-de5beb4488d0	CHIGGOE, JIGGER FLEA	148	NIGUA, PIGUE	CHIGGOE, JIGGER FLEA	1541208
Huber-1992-374-149	68e001f8-9ac1-4407-8326-804a7ec99edb	BUSH	149	MONTE	BUSH	6933
Huber-1992-374-150	42f1b7ce-b029-47f5-82f4-53b50fc55c86	SAVANNA	150	PAJONAL, SABANA	OPEN GRASSLAND	1505696
Huber-1992-374-151	55934685-b492-4530-a4b1-6cd63cfb6b1d	HILL	151	CERRO, LOMA	HILL	1772
Huber-1992-374-152	4327c531-88e0-4368-9730-8614646b242c	TREE	152	ÁRBOL	TREE	3854
Huber-1992-374-153	e762f6b4-988c-40bf-81e3-f116cf2ee61c	LEAF	153	HOJA	LEAF	2124
Huber-1992-374-154	e762f6b4-988c-40bf-81e3-f116cf2ee61c	LEAF	154	HOJA DE ÁRBOL	TREE LEAF	2124
Huber-1992-374-155	83d4d769-7b7a-4747-89b7-4e3903ac9bc9	FLOWER	155	FLOR	FLOWER	1487
Huber-1992-374-156	ca121000-d6bf-4087-8ef4-b73ef374700c	FRUIT	156	FRUTA	FRUIT	6280
Huber-1992-374-157	0f596bed-0b80-4832-ab3d-d8d4b4f8c865	SAP	157	SAVIA	SAP	1510865
Huber-1992-374-158	bede7711-8bc5-4142-ab29-b97434997e96	ROOT	158	RAÍZ	ROOT	3269
Huber-1992-374-159	32125c3f-70f1-43ed-9663-99b913c1ae4b	SEED	159	SEMILLA	SEED	3361
Huber-1992-374-160	c630c3ea-55ee-4841-97d4-903e1061327e	DIGGING STICK	160	PALO	STICK	1510840
Huber-1992-374-161	b7e91ed8-f639-4cbf-b761-ea45075e90f7	GRASS	161	HIERBA	GRASS	1675
Huber-1992-374-162	a47f7e0b-a2e3-4a4a-9176-4f59e3e1811d	MAIZE	162	MAÍZ	CORN, MAIZE	157264
Huber-1992-374-163	77398f39-7241-4253-8465-5ed3212a7970	MANIOC	163	YUCA	MANIOC	395809
Huber-1992-374-164	e6a73aea-ec43-409c-925c-af54bb451cdd	MANIOC FLOUR	164	HARINA DE YUCA	MANIOC FLOUR	1510514
Huber-1992-374-165	2f41a8e7-41c2-4876-9b3d-004ff5fc71a0	TOBACCO	165	TABACO	TOBACCO	420209
Huber-1992-374-166	364f195b-bbf0-46bb-ab6c-b2638b724b6f	COTTON	166	ALGODÓN	COTTON	781
Huber-1992-374-167	a9b36ee8-b5a7-4068-a43a-220ff06d67b8	GOURD	167	CALABAZO PORO	GOURD	1526657
Huber-1992-374-168	4fa4004e-87fa-41b9-bfae-58368fb85413	YAM	168	ÑAME	YAM	1526651
Huber-1992-374-169	fbcc89f6-19a0-4913-bcf8-4a3922242ea5	SWEET POTATO	169	CAMOTE, BATATA	SWEET POTATO	1336889
Huber-1992-374-170	b8193098-b0d8-4b3b-aa81-8f213a738eb4	ACHIOTE	170	ACHIOTE, BIJA	ACHIOTE	1510885
Huber-1992-374-171	182104d4-7dd0-4ce0-8f44-38a330878408	CHILI PEPPER	171	AJÍ	CHILI PEPPER	392603
Huber-1992-374-172	fb010a82-976b-429e-bcd2-4ed2e01f57d4	COCA	172	COCA	COCA	1292296
Huber-1992-374-173	aa7326c2-cf75-426f-b229-1abf09d0e87d	BANISTERIUM	173	AJAHUASCA, JAJÉ	BANISTERIUM	1505835
Huber-1992-374-174	cc0d8843-3cec-45aa-98f6-2036a1bf9b94	PLANTAIN	174	PLÁTANO	PLANTAIN	1511168
Huber-1992-374-175	61cfe084-01c6-4bcd-a8ed-49515c264841	CHONTA PALM	175	CHONTA	CHONTA PALM	1541228
Huber-1992-374-178	1b4f444d-0b75-42ea-bd67-ddc3b82c6a43	SUGAR CANE	178	CAÑA BRAVA	CANE	1310853
Huber-1992-374-179	3c67af51-40af-40a0-b14f-830b68f8bf28	SALT	179	SAL	SALT	5599
Huber-1992-374-180	a9eeeee2-4d5d-4b69-905a-bc73fb365df9	CHICHA	180	CHICHA, MASATO	CHICHA	1541232
Huber-1992-374-181	9ea1fb52-6f31-4514-9ecf-c8af02dc1eb7	ONE	181	UNO	ONE	6244
Huber-1992-374-182	b8c2cf30-4437-42fe-b0d1-1e3d370eb41d	TWO	182	DOS	TWO	6248
Huber-1992-374-183	0776d5f2-a837-4635-94e4-39c9113ab890	THREE	183	TRES	THREE	156096
Huber-1992-374-184	683a1b4e-7c1c-4535-890d-295215c7d211	FOUR	184	CUATRO	FOUR	6253
Huber-1992-374-185	df352358-2ff1-4117-834f-bcb5eca37c5a	FIVE	185	CINCO	FIVE	156104
Huber-1992-374-190	a7bbf9a6-dc3a-426f-86ac-dc97ab456597	TEN	190	DIEZ	TEN	6312
Huber-1992-374-191	234cfe35-b83c-4b1a-93bd-cac7b15dafd5	FIRST	191	PRIMERO	FIRST	338524
Huber-1992-374-192	b4a2c962-c838-4c31-8a3f-5afb24434bf8	LAST, FINAL	192	ÚLTIMO	LAST	6337
Huber-1992-374-193	2ef7ce32-1a8f-43e7-a1e3-8de16917265f	RATTLE	193	SONAJERO, MARACA	RATTLE	1508303
Huber-1992-374-194	0a51e2d3-aa55-475b-a561-dbff5e3fa96d	DRUM	194	TAMBOR	DRUM	386380
Huber-1992-374-195	eca11b2d-cbb3-4f5f-b837-c294b25eedde	CUSHMA	195	CUSHMA	CUSHMA	1542267
