ID	NUMBER	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Zhou-2020-350-318	318	to wait	等待	1590	WAIT (FOR)
Zhou-2020-350-319	319	to walk	走	1443	WALK
Zhou-2020-350-320	320	to wash	洗	1453	WASH
Zhou-2020-350-321	321	to wash	淘洗		
Zhou-2020-350-322	322	to water (a plant)	澆	1487	POUR
Zhou-2020-350-323	323	to wear	穿	976	WEAR
Zhou-2020-350-324	324	to weave	織	133	WEAVE
Zhou-2020-350-325	325	to wipe	擦	1454	WIPE
Zhou-2020-350-326	326	to wrap	包	1113	WRAP
Zhou-2020-350-327	327	to write	寫	1672	WRITE
Zhou-2020-350-328	328	tongue	舌頭	1205	TONGUE
Zhou-2020-350-329	329	tooth	牙	1380	TOOTH
Zhou-2020-350-330	330	Tujia	土家		
Zhou-2020-350-331	331	two	二	1498	TWO
Zhou-2020-350-332	332	two (days) later	後天	1179	DAY AFTER TOMORROW
Zhou-2020-350-333	333	urine	尿	1142	URINE
Zhou-2020-350-334	334	vegetable	蔬菜	924	VEGETABLES
Zhou-2020-350-335	335	village	村莊	930	VILLAGE
Zhou-2020-350-336	336	water	水	948	WATER
Zhou-2020-350-337	337	we	咱們	1131	WE (INCLUSIVE)
Zhou-2020-350-338	338	what	什麼	1236	WHAT
Zhou-2020-350-339	339	white	白	1335	WHITE
Zhou-2020-350-340	340	who	誰	1235	WHO
Zhou-2020-350-341	341	wild cat	野貓	2241	WILD CAT
Zhou-2020-350-342	342	wind	風	960	WIND
Zhou-2020-350-343	343	wine	酒	1524	WINE
Zhou-2020-350-344	344	wok	鍋	2056	WOK
Zhou-2020-350-345	345	written word	字		
Zhou-2020-350-346	346	y'all	你們		
Zhou-2020-350-347	347	year	年	1226	YEAR
Zhou-2020-350-348	348	yesterday	昨天	1174	YESTERDAY
Zhou-2020-350-349	349	you	你	1215	THOU
Zhou-2020-350-350	350	younger brother	弟弟	1760	YOUNGER BROTHER
