ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	WORD_ID	CHINESE	GRAM_CLASS	WORD TYPE_2 SUBTYPES	WORD TYPE_5 SUBTYPES	ISC_BRAIN_OBJNOBJ	ISC_BRAIN_OBJNOBJ_SE	ISC_BRAIN_WORDNEUROSYNTH	ISC_BRAIN_WORDNEUROSYNTH_SE	ISC_BRAIN_OBJEMONOBJNENOBJ	ISC_BRAIN_OBJEMONOBJNENOBJ_SE	ISC_BRAIN_OBJNOBJ_LEAVE2_TOP300	ISC_BRAIN_LEAVE2_TOP300_SE	ISC_BEHAVIOR	ISC_BEHAVIOR_SUBJECTSE	ISC_BEHAVIOR_WORDSE	MEAN_LANGUAGE_SENSORY	MEAN_LANGUAGE	MEAN_SENSORY	MEAN_NAVIGATION	MEAN_MANIPULATION	MEAN_STRESS	MEAN_AROUSAL	MEAN_VALENCE	SD_LANGUAGE	SD_SENSORY	SD_NAVIGATION	SD_MANIPULATION	SD_STRESS	SD_AROUSAL	SD_VALENCE	MEANRATINGS_PC1	MEANRATINGS_PC2	SDRATINGS_PC1	SDRATINGS_PC2	NUMBER_OF_STROKES	SUBJECTIVE_FAMILIARITY	LOG_WORD_FREQUENCY	LOG_CHAR1FREQ	LOG_AVG_CHAR_FREQ	LOG_CHAR1SRFREQ	LOG_AVG_SRFREQ	MEAN_LANGUAGESENSORY_COV_MEANAROUSALVALENCE	BEHAV_ISC_COV_MEANAROUSALVALENCE	OBJNOBJ_OVERALL_ACTIVATION	WORDNEUROSYNTH_OVERALL_ACTIVATION	OBJEMONOBJNENOBJ_OVERALL_ACTIVATION
Wang-2021-90-68	68	910	DEATH	death	word68	死亡	n	2	4	0.02628047954	0.005201595752	0.01178890857	0.00250842911	0.02795464304	0.004770017497	0.02998509259	0.008674252253	0.1714726488	0.0525800485	0.0291143604	-0.4076412341	5.115384615	4.0	1.178571429	1.36	5.814814815	5.666666667	1.777777778	1.608152308	1.860521019	0.6696362434	1.220655562	1.569836764	1.203858531	1.012739367	-0.2091	3.27099	0.98984	-0.01198	9	6.153846154	1.903089987	2.569947128	2.368835962	3.098468519	3.388006416	0.34467	-0.28888	23.39965764	16.17143825	32.59095935
Wang-2021-90-69	69	134	FAULT	fault	word69	过失	n	2	4	0.02217931197	0.004827284282	0.01033817905	0.002314996212	0.02205430924	0.004770456165	0.02224678462	0.006700283598	0.2184592061	0.05183790043	0.03669915894	-1.05200866	4.115384615	3.444444444	1.035714286	1.32	3.296296296	4.041666667	2.62962963	1.478564793	1.502135232	0.1889822365	1.029563014	2.127020574	1.458980188	0.6877023142	-0.89736	1.15465	0.9605	0.3377	11	5.923076923	0.4771212547	3.560310857	3.353215787	4.453003927	4.352472285	-0.79666	-0.71324	21.80116446	14.35093984	31.14420878
Wang-2021-90-70	70	1293	MISTAKE	error	word70	错误	n	2	4	0.02320013529	0.005830253922	0.01256999821	0.002773122989	0.02628599392	0.005741606587	0.03083365327	0.009427851143	0.2105072608	0.05223511713	0.04396624232	-0.5913744667	4.576923077	4.111111111	1.071428571	1.32	3.148148148	3.708333333	2.666666667	1.701130846	1.577079417	0.377964473	1.029563014	2.032499479	1.781039429	0.8320502943	-0.6019	1.02455	0.81602	1.11799	22	6.5	1.986771734	2.816356787	2.599841005	3.571451742	4.071339323	-0.40717	-0.96693	29.14926849	13.91144065	38.56039234
Wang-2021-90-71	71	3966	CONCEPT	concept	word71	概念	n	2	5	0.02407817508	0.008046607725	0.01247086423	0.003398114057	0.02751274713	0.006878956047	0.02386055158	0.0104995009	0.3076539679	0.04962421021	0.05722644513	-1.60174937	3.269230769	2.962962963	1.214285714	1.24	1.37037037	1.833333333	4.0	1.457606046	1.628625694	0.7867957925	0.8306623863	0.88353086	1.16718415	0.0	-1.43253	-1.09777	1.04155	-2.03321	21	6.346153846	1.662757832	2.020867388	2.357154798	4.367795676	4.332635424	-2.01576	-1.04723	31.35557669	21.00437202	40.78017324
Wang-2021-90-72	72	3967	CONTENT	content	word72	内容	n	2	5	0.02442718921	0.004526039566	0.01011610205	0.002942000116	0.02851710308	0.005050074579	0.02337902667	0.007725222486	0.3666411914	0.05839838928	0.05681604938	-1.11864464	3.923076923	3.481481481	1.25	1.56	1.444444444	2.166666667	4.037037037	1.622912861	1.783910363	0.7993052539	1.445683229	0.800640769	1.340560125	0.1924500897	-1.06839	-0.88971	0.80207	-1.37844	14	6.423076923	2.390935107	2.683128483	2.738576638	3.314605778	3.910022877	-1.42361	-0.36999	20.54254468	9.28070898	27.41806665
Wang-2021-90-73	73			characteristic	word73	性质	n	2	5	0.03120211141	0.004028445909	0.01364742623	0.00247612961	0.03033618966	0.004052325138	0.02817150208	0.005847600294	0.2611790345	0.04940114724	0.04654923793	-1.56218135	3.153846154	3.185185185	1.107142857	1.28	1.444444444	1.958333333	3.888888889	1.405483766	1.732873049	0.5669467095	0.8426149773	0.9336995618	1.197067673	0.4236592729	-1.41858	-0.97653	1.09713	-1.38646	16	6.269230769	1.716003344	2.696315579	2.587367265	3.974467796	3.825084407	-1.93666	-1.36723	22.62853976	8.511361718	31.86108768
Wang-2021-90-74	74			data	word74	数据	n	2	5	0.03073858845	0.005633728317	0.01405964811	0.003227005369	0.03099920115	0.005920883034	0.03393562324	0.009495534246	0.2763456496	0.0630391803	0.03891421475	-0.8604151199	4.115384615	3.925925926	1.285714286	1.56	1.518518519	2.833333333	3.925925926	1.336470668	1.899917527	0.8967902788	1.15758369	1.155933535	1.761093205	0.4744167209	-0.8887	-0.54254	0.36883	0.1216	24	6.423076923	1.806179974	2.657044469	2.532981846	3.707497421	4.085362033	-0.97081	-0.72243	29.02611484	16.5278425	38.50893932
Wang-2021-90-75	75	3968	EFFECT	effect	word75	作用	n	2	5	0.02415485164	0.005869448167	0.0128085923	0.002834391076	0.02455315473	0.005434390804	0.02872727686	0.008131375043	0.3378679293	0.05988368376	0.05960950735	-1.504742755	3.115384615	3.37037037	1.035714286	1.24	1.555555556	1.916666667	4.185185185	1.243444348	1.690428898	0.1889822365	0.5972157622	1.154700538	1.176459932	0.4833407014	-1.41834	-1.05449	1.31173	-1.28162	12	6.269230769	2.666517981	3.122785266	3.025542696	4.712137091	4.423828387	-1.89919	-0.7213	21.81569027	11.70351249	29.55096507
Wang-2021-90-76	76	3969	RESULT	result	word76	结果	n	2	5	0.01830839127	0.005699080807	0.00887463236	0.002789070452	0.01782112477	0.006116730096	0.01673741626	0.008656571918	0.3902706111	0.06765908295	0.06276282693	-0.9783157762	4.115384615	3.62962963	1.071428571	1.36	1.62962963	2.333333333	3.962962963	1.65715233	1.735337434	0.2622652642	0.7571877794	1.334401282	1.434563005	0.4369018092	-1.03388	-0.69734	1.39949	-0.69671	17	6.346153846	2.356025857	3.007800888	3.175143725	4.057539885	4.239803399	-1.22961	-0.09552	19.46865386	9.759148373	27.03018699
Wang-2021-90-77	77	2968	REASON	reason	word77	原因	n	2	5	0.02712537326	0.006318572777	0.01018318192	0.003089388248	0.02863706235	0.006754820675	0.02308752714	0.01033036219	0.3661387324	0.05483724293	0.06949684356	-1.069797116	4.038461538	3.481481481	1.142857143	1.36	1.555555556	2.208333333	3.925925926	1.455493572	1.672638872	0.755928946	0.9073771726	1.012739367	1.531670491	0.4744167209	-1.07572	-0.77188	0.69941	-0.55272	16	6.461538462	2.392696953	2.962768305	3.059396938	3.251606371	3.665755818	-1.35724	-0.3699	25.09621479	12.87196045	31.27032752
