ID	NUMBER	ENGLISH	FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bastin-1999-92-1	1	all	tous	98	ALL
Bastin-1999-92-2	2	arm	bras	1673	ARM
Bastin-1999-92-3	3	ashes	cendre	646	ASH
Bastin-1999-92-4	4	bark	écorce	1204	BARK
Bastin-1999-92-5	5	belly	ventre	1251	BELLY
Bastin-1999-92-6	6	big	grand	1202	BIG
Bastin-1999-92-7	7	bird	oiseau	937	BIRD
Bastin-1999-92-8	8	bite	mordre	1403	BITE
Bastin-1999-92-9	9	black	noir	163	BLACK
Bastin-1999-92-10	10	blood	sang	946	BLOOD
Bastin-1999-92-11	11	bone	os	1394	BONE
Bastin-1999-92-12	12	breast	sein	1402	BREAST
Bastin-1999-92-13	13	burn	brûler	2102	BURN
Bastin-1999-92-14	14	cloud	nuage	1489	CLOUD
Bastin-1999-92-15	15	cold (weather)	froid	2483	COLD (OF WEATHER)
Bastin-1999-92-16	16	come	venir	1446	COME
Bastin-1999-92-17	17	die	mourir	1494	DIE
Bastin-1999-92-18	18	dog	chien	2009	DOG
Bastin-1999-92-19	19	drink v	boire	1401	DRINK
Bastin-1999-92-20	20	dry	sec	1398	DRY
Bastin-1999-92-21	21	ear	oreille	1247	EAR
Bastin-1999-92-22	22	eat	manger	1336	EAT
Bastin-1999-92-23	23	egg	oeuf	744	EGG
Bastin-1999-92-24	24	eye	oeil	1248	EYE
Bastin-1999-92-25	25	fat n	graisse	323	FAT (ORGANIC SUBSTANCE)
Bastin-1999-92-26	26	feather	plume	1201	FEATHER
Bastin-1999-92-27	27	fire	feu	221	FIRE
Bastin-1999-92-28	28	fish n	poisson	227	FISH
Bastin-1999-92-29	29	fly v	voler	1441	FLY (MOVE THROUGH AIR)
Bastin-1999-92-30	30	full	plein	1429	FULL
Bastin-1999-92-31	31	give	donner	1447	GIVE
Bastin-1999-92-32	32	good	bon	1035	GOOD
Bastin-1999-92-33	33	ground (on the)	par terre		
Bastin-1999-92-34	34	hair (of head)	cheveu	2648	HAIR (HEAD)
Bastin-1999-92-35	35	head	tête	1256	HEAD
Bastin-1999-92-36	36	hear	entendre	1408	HEAR
Bastin-1999-92-37	37	heart	coeur	1223	HEART
Bastin-1999-92-38	38	horn	corne	1393	HORN (ANATOMY)
Bastin-1999-92-39	39	kill	tuer	1417	KILL
Bastin-1999-92-40	40	knee	genou	1371	KNEE
Bastin-1999-92-41	41	know	savoir	1410	KNOW (SOMETHING)
Bastin-1999-92-42	42	leaf	feuille	628	LEAF
Bastin-1999-92-43	43	leg	jambe	1297	LEG
Bastin-1999-92-44	44	lie (down)	être couché	1411	LIE (REST)
Bastin-1999-92-45	45	liver	foie	1224	LIVER
Bastin-1999-92-46	46	long	long	1203	LONG
Bastin-1999-92-47	47	louse	pou	1392	LOUSE
Bastin-1999-92-48	48	man	homme	1554	MAN
Bastin-1999-92-49	49	many	beaucoup	1198	MANY
Bastin-1999-92-50	50	meat	viande	634	MEAT
Bastin-1999-92-51	51	moon	lune	1313	MOON
Bastin-1999-92-52	52	mountain	montagne	639	MOUNTAIN
Bastin-1999-92-53	53	mouth	bouche	674	MOUTH
Bastin-1999-92-54	54	nail	ongle	1258	FINGERNAIL
Bastin-1999-92-55	55	name	nom	1405	NAME
Bastin-1999-92-56	56	neck	cou	1333	NECK
Bastin-1999-92-57	57	new	nouveau	1231	NEW
Bastin-1999-92-58	58	night	nuit	1233	NIGHT
Bastin-1999-92-59	59	nose	nez	1221	NOSE
Bastin-1999-92-60	60	one	un	1493	ONE
Bastin-1999-92-61	61	path	chemin	2252	PATH
Bastin-1999-92-62	62	person	personne	683	PERSON
Bastin-1999-92-63	63	rain n	pluie	658	RAIN (PRECIPITATION)
Bastin-1999-92-64	64	red	rouge	156	RED
Bastin-1999-92-65	65	root	racine	670	ROOT
Bastin-1999-92-66	66	round (as ball)	rond	1395	ROUND
Bastin-1999-92-67	67	sand	sable	671	SAND
Bastin-1999-92-68	68	say	parler	1623	SPEAK
Bastin-1999-92-69	69	see	voir	1409	SEE
Bastin-1999-92-70	70	seed n	semence	714	SEED
Bastin-1999-92-71	71	sit	être assis	1416	SIT
Bastin-1999-92-72	72	skin (human)	peau (humaine)	2613	SKIN (HUMAN)
Bastin-1999-92-73	73	sleep n	sommeil	2972	SLEEP (STATE)
Bastin-1999-92-74	74	small	petit	1246	SMALL
Bastin-1999-92-75	75	smoke n	fumée	778	SMOKE (EXHAUST)
Bastin-1999-92-76	76	stand	être debout ( se tenir - ciel ?)	1442	STAND
Bastin-1999-92-77	77	star	étoile	1430	STAR
Bastin-1999-92-78	78	stone	pierre	857	STONE
Bastin-1999-92-79	79	sun	soleil	1343	SUN
Bastin-1999-92-80	80	swim	nager	1439	SWIM
Bastin-1999-92-81	81	tail	queue	1220	TAIL
Bastin-1999-92-82	82	tongue	langue	1205	TONGUE
Bastin-1999-92-83	83	tooth	dent	1380	TOOTH
Bastin-1999-92-84	84	tree	arbre	906	TREE
Bastin-1999-92-85	85	two	deux	1498	TWO
Bastin-1999-92-86	86	walk	marcher	1443	WALK
Bastin-1999-92-87	87	warm (weather)	chaud	2110	WARM (OF WEATHER)
Bastin-1999-92-88	88	water	eau	948	WATER
Bastin-1999-92-89	89	what?	quoi	1236	WHAT
Bastin-1999-92-90	90	white	blanc	1335	WHITE
Bastin-1999-92-91	91	who?	qui	1235	WHO
Bastin-1999-92-92	92	woman	femme	962	WOMAN
