ID	NUMBER	ENGLISH	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Sawka-2019-201-1	1	hand	Body Part	1277	HAND
Sawka-2019-201-2	2	arm	Body Part	1673	ARM
Sawka-2019-201-3	3	armpit	Body Part	1886	ARMPIT
Sawka-2019-201-4	4	back	Body Part	1291	BACK
Sawka-2019-201-5	5	backbone	Body Part	805	SPINE
Sawka-2019-201-6	6	beard	Body Part	678	BEARD
Sawka-2019-201-7	7	belly	Body Part	1251	BELLY
Sawka-2019-201-8	8	blood	Body Part	946	BLOOD
Sawka-2019-201-9	9	body	Body Part	1480	BODY
Sawka-2019-201-10	10	bone	Body Part	1394	BONE
Sawka-2019-201-11	11	breast(s)	Body Part	1402	BREAST
Sawka-2019-201-12	12	cheek	Body Part	1730	CHEEK
Sawka-2019-201-13	13	chin	Body Part	1510	CHIN
Sawka-2019-201-14	14	ear	Body Part	1247	EAR
Sawka-2019-201-15	15	eye	Body Part	1248	EYE
Sawka-2019-201-16	16	eyebrow	Body Part	1173	EYEBROW
Sawka-2019-201-17	17	eyelash	Body Part	1540	EYELASH
Sawka-2019-201-18	18	finger	Body Part	1303	FINGER
Sawka-2019-201-19	19	fingernail	Body Part	1258	FINGERNAIL
Sawka-2019-201-20	20	foot	Body Part	1301	FOOT
Sawka-2019-201-21	21	hair	Body Part	1040	HAIR
Sawka-2019-201-22	22	head	Body Part	1256	HEAD
Sawka-2019-201-23	23	heart	Body Part	1223	HEART
Sawka-2019-201-24	24	jawbone	Body Part	798	JAW
Sawka-2019-201-25	25	knee	Body Part	1371	KNEE
Sawka-2019-201-26	26	leg	Body Part	1297	LEG
Sawka-2019-201-27	27	liver	Body Part	1224	LIVER
Sawka-2019-201-28	28	lung	Body Part	688	LUNG
Sawka-2019-201-29	29	mouth	Body Part	674	MOUTH
Sawka-2019-201-30	30	neck	Body Part	1333	NECK
Sawka-2019-201-31	31	nose	Body Part	1221	NOSE
Sawka-2019-201-32	32	skin	Body Part	763	SKIN
Sawka-2019-201-33	33	sore	Body Part	51	SORE
Sawka-2019-201-34	34	tail	Body Part	1220	TAIL
Sawka-2019-201-35	35	tongue	Body Part	1205	TONGUE
Sawka-2019-201-36	36	tooth	Body Part	1380	TOOTH
Sawka-2019-201-37	37	voice	Body Part	1363	VOICE
Sawka-2019-201-38	38	wing	Body Part	1257	WING
Sawka-2019-201-39	39	one	number	1493	ONE
Sawka-2019-201-40	40	two	number	1498	TWO
Sawka-2019-201-41	41	three	number	492	THREE
Sawka-2019-201-42	42	four	number	1500	FOUR
Sawka-2019-201-43	43	five	number	493	FIVE
Sawka-2019-201-44	44	six	number	1703	SIX
Sawka-2019-201-45	45	seven	number	1704	SEVEN
Sawka-2019-201-46	46	eight	number	1705	EIGHT
Sawka-2019-201-47	47	nine	number	1483	NINE
Sawka-2019-201-48	48	ten	number	1515	TEN
Sawka-2019-201-49	49	few	number	1242	FEW
Sawka-2019-201-50	50	many	number	1198	MANY
Sawka-2019-201-51	51	bee	animal	665	BEE
Sawka-2019-201-52	52	bird	animal	937	BIRD
Sawka-2019-201-53	53	buffalo	animal	934	BUFFALO
Sawka-2019-201-54	54	cat	animal	1208	CAT
Sawka-2019-201-55	55	crocodile	animal	1857	CROCODILE
Sawka-2019-201-56	56	dog	animal	2009	DOG
Sawka-2019-201-57	57	elephant	animal	1290	ELEPHANT
Sawka-2019-201-58	58	fish	animal	227	FISH
Sawka-2019-201-59	59	goat	animal	1502	GOAT
Sawka-2019-201-60	60	head louse	animal	310	HEAD LOUSE
Sawka-2019-201-61	61	hippo	animal	3145	HIPPOPOTAMUS
Sawka-2019-201-62	62	lion	animal	1386	LION
Sawka-2019-201-63	63	rhino	animal	2591	RHINOCEROS
Sawka-2019-201-64	64	snake	animal	730	SNAKE
Sawka-2019-201-65	65	spider	animal	843	SPIDER
Sawka-2019-201-66	66	wild animal	animal	958	WILD ANIMAL
Sawka-2019-201-67	67	bull	animal	1008	BULL
Sawka-2019-201-68	68	calf	animal	1989	CALF
Sawka-2019-201-69	69	cow	animal	1007	COW
Sawka-2019-201-70	70	chicken	animal	1318	CHICKEN
Sawka-2019-201-71	71	cock	animal	1511	ROOSTER
Sawka-2019-201-72	72	arrow	thing	977	ARROW
Sawka-2019-201-73	73	ash	thing	646	ASH
Sawka-2019-201-74	74	axe	thing	677	AXE
Sawka-2019-201-75	75	bark (of tree)	thing	1204	BARK
Sawka-2019-201-76	76	burden	thing	1679	LOAD
Sawka-2019-201-77	77	chair	thing	1476	CHAIR
Sawka-2019-201-78	78	cloud	thing	1489	CLOUD
Sawka-2019-201-79	79	cooking pot	thing	3653	COOKING POT
Sawka-2019-201-80	80	darkness	thing	11	DARKNESS
Sawka-2019-201-81	81	daytime	thing	1225	DAY (NOT NIGHT)
Sawka-2019-201-82	82	dew	thing	1977	DEW
Sawka-2019-201-83	83	dust	thing	2	DUST
Sawka-2019-201-84	84	earth	thing	1228	EARTH (SOIL)
Sawka-2019-201-85	85	egg	thing	744	EGG
Sawka-2019-201-86	86	feather	thing	1201	FEATHER
Sawka-2019-201-87	87	field	thing	212	FIELD
Sawka-2019-201-88	88	finger millet	thing	3265	FINGER MILLET
Sawka-2019-201-89	89	fire	thing	221	FIRE
Sawka-2019-201-90	90	firewood	thing	10	FIREWOOD
Sawka-2019-201-91	91	flower	thing	239	FLOWER
Sawka-2019-201-92	92	grass	thing	606	GRASS
Sawka-2019-201-93	93	hardship	thing		
Sawka-2019-201-94	94	hoe	thing	284	HOE
Sawka-2019-201-95	95	hole	thing	1667	HOLE
Sawka-2019-201-96	96	honey	thing	942	HONEY
Sawka-2019-201-97	97	house	thing	1252	HOUSE
Sawka-2019-201-98	98	hunger	thing	1864	HUNGER
Sawka-2019-201-99	99	iron	thing	621	IRON
Sawka-2019-201-100	100	knife	thing	1352	KNIFE
Sawka-2019-201-101	101	knot	thing	760	KNOT
Sawka-2019-201-102	102	lake	thing	624	LAKE
Sawka-2019-201-103	103	light	thing	630	LIGHT (RADIATION)
Sawka-2019-201-104	104	meat	thing	634	MEAT
Sawka-2019-201-105	105	medicine	thing	1372	MEDICINE
Sawka-2019-201-106	106	milk	thing	635	MILK
Sawka-2019-201-107	107	month	thing	1370	MONTH
Sawka-2019-201-108	108	moon	thing	1313	MOON
Sawka-2019-201-109	109	mountain	thing	639	MOUNTAIN
Sawka-2019-201-110	110	mourning - sadness	thing	3673	MOURNING
Sawka-2019-201-111	111	name	thing	1405	NAME
Sawka-2019-201-112	112	night	thing	1233	NIGHT
Sawka-2019-201-113	113	path	thing	2252	PATH
Sawka-2019-201-114	114	porridge	thing	3651	MUSH (FOOD)
Sawka-2019-201-115	115	rain	thing	658	RAIN (PRECIPITATION)
Sawka-2019-201-116	116	river	thing	666	RIVER
Sawka-2019-201-117	117	root	thing	670	ROOT
Sawka-2019-201-118	118	rope	thing	1218	ROPE
Sawka-2019-201-119	119	salt	thing	1274	SALT
Sawka-2019-201-120	120	sand	thing	671	SAND
Sawka-2019-201-121	121	seed	thing	714	SEED
Sawka-2019-201-122	122	shade	thing	1388	SHADE
Sawka-2019-201-123	123	sickness	thing	1986	DISEASE
Sawka-2019-201-124	124	sky	thing	1732	SKY
Sawka-2019-201-125	125	smoke	thing	778	SMOKE (EXHAUST)
Sawka-2019-201-126	126	spear	thing	945	SPEAR
Sawka-2019-201-127	127	star	thing	1430	STAR
