ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	PORTUGUESE
Gerardi-2020-244-49	49	DRESS_UP	814	DRESS UP	VESTIR(-SE)
Gerardi-2020-244-50	50	DRY	1786	DRY UP	SECAR
Gerardi-2020-244-51	51	DRY(state)	1398	DRY	SECO
Gerardi-2020-244-52	52	EARTH/LAND	3603	EARTH OR LAND	TERRA / PAÍS
Gerardi-2020-244-53	53	EAT	1336	EAT	COMER
Gerardi-2020-244-54	54	ENTER	749	ENTER	ENTRAR
Gerardi-2020-244-55	55	EYE	1248	EYE	OLHO
Gerardi-2020-244-56	56	FACE	1560	FACE	CARA / ROSTO / FACE
Gerardi-2020-244-57	57	FAR	1406	FAR	LONGE
Gerardi-2020-244-58	58	FAT/GREASE	1282	FAT (FROM ANIMALS)	GORDURA / BANHA
Gerardi-2020-244-59	59	FATHER	1217	FATHER	PAI
Gerardi-2020-244-60	60	FEAR	1419	FEAR (BE AFRAID)	TEMER / TER MEDO
Gerardi-2020-244-61	61	FINGER	1303	FINGER	DEDO
Gerardi-2020-244-62	62	FIRE	221	FIRE	FOGO
Gerardi-2020-244-63	63	FIREFLY	206	FIREFLY	VAGALUME / PIRILAMPO
Gerardi-2020-244-64	64	FIREWOOD	10	FIREWOOD	LANHA
Gerardi-2020-244-65	65	FISH	227	FISH	PEIXE
Gerardi-2020-244-66	66	FLAT	1633	FLAT	PLANO / LISO
Gerardi-2020-244-67	67	FLESH	2615	FLESH OR MEAT	CARNE
Gerardi-2020-244-68	68	FLOUR	1594	FLOUR	FARINHA
Gerardi-2020-244-69	69	FLOWER	239	FLOWER	FLOR
Gerardi-2020-244-70	70	FLY	1441	FLY (MOVE THROUGH AIR)	VOAR
Gerardi-2020-244-71	71	FLY(n)	1504	FLY (INSECT)	MOSCA
Gerardi-2020-244-72	72	FOOT	1301	FOOT	PÉ
Gerardi-2020-244-73	73	FOUR	1500	FOUR	QUATRO
Gerardi-2020-244-74	74	FROG	503	FROG	SAPO
Gerardi-2020-244-75	75	FRUIT	1507	FRUIT	FRUTA
Gerardi-2020-244-76	76	FULL	1429	FULL	CHEIO
Gerardi-2020-244-77	77	GATHER	7	GATHER	(A)JUNTAR / RECOLHER
Gerardi-2020-244-78	78	GIRL	1646	GIRL	MENINA
Gerardi-2020-244-79	79	GIVE	1447	GIVE	DAR
Gerardi-2020-244-80	80	GO	695	GO	IR
Gerardi-2020-244-81	81	GO_UP	705	GO UP (ASCEND)	SUBIR
Gerardi-2020-244-82	82	GOOD	1035	GOOD	BOM / BEM
Gerardi-2020-244-83	83	GRANDFATHER	1383	GRANDFATHER	AVÔ
Gerardi-2020-244-84	84	GRASS	606	GRASS	GRAMA
Gerardi-2020-244-85	85	GREEN	2382	BLUE OR GREEN	VERDE / AZUL
