ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	CHINESE	ENGLISH
Sun-1991-1004-1	1732	SKY	1	天(天地)	sky
Sun-1991-1004-2	1343	SUN	2	太阳	sun
Sun-1991-1004-3	1313	MOON	3	月亮	moon
Sun-1991-1004-4	1430	STAR	4	星星	star
Sun-1991-1004-5	1150	THUNDER	5	雷	thunder
Sun-1991-1004-6	1489	CLOUD	6	云	cloud
Sun-1991-1004-7	960	WIND	7	风	wind
Sun-1991-1004-8	658	RAIN (PRECIPITATION)	8	雨	rain
Sun-1991-1004-9	784	SNOW	9	雪	snow
Sun-1991-1004-10	948	WATER	10	水	water
Sun-1991-1004-11	617	ICE	11	冰	ice
Sun-1991-1004-12	249	FOG	12	雾	fog
Sun-1991-1004-13	2034	FROST	13	霜	frost
Sun-1991-1004-14	1977	DEW	14	露水	dew
Sun-1991-1004-15	609	HAIL	15	雹子	hail
Sun-1991-1004-16	1733	RAINBOW	16	虹	rainbow
Sun-1991-1004-17	1228	EARTH (SOIL)	17	地(天地)	earth
Sun-1991-1004-18	666	RIVER	18	河	river
Sun-1991-1004-19	1474	SEA	19	海	sea
Sun-1991-1004-20	624	LAKE	20	湖	lake
Sun-1991-1004-21	2035	POND	21	池塘	pond
Sun-1991-1004-22	954	WELL	22	井	well
Sun-1991-1004-23	849	SPRING (OF WATER)	23	泉	spring (water)
Sun-1991-1004-24	2002	DITCH	24	沟(水渠)	ditch
Sun-1991-1004-25	639	MOUNTAIN	25	山	mountain
Sun-1991-1004-26	992	CLIFF	26	崖	cliff
Sun-1991-1004-27	212	FIELD	27	田(水田)	field
Sun-1991-1004-28	2159	GROUND	28	地(旱地)	ground
Sun-1991-1004-29	652	PLAIN	29	平坝	plain
Sun-1991-1004-30	3076	SLOPE	30	坡	slope
Sun-1991-1004-31	965	WORLD	31	土	earth
Sun-1991-1004-32	640	MUD	32	泥	mud
Sun-1991-1004-33	1155	CAVE	33	洞	cave
Sun-1991-1004-34	1667	HOLE	34	窟窿	hole
Sun-1991-1004-35	1369	GOLD	35	金子	gold
Sun-1991-1004-36	759	SILVER	36	银子	silver
Sun-1991-1004-37	1825	COPPER	37	铜	copper
Sun-1991-1004-38	621	IRON	38	铁	iron
Sun-1991-1004-39	3064	RUST	39	锈	rust
Sun-1991-1004-40	2343	STEEL	40	钢	steel
Sun-1991-1004-41	893	TIN (METAL)	41	锡	tin
Sun-1991-1004-42	857	STONE	42	石头	stone / rock
Sun-1991-1004-43	671	SAND	43	沙子	sand
Sun-1991-1004-44	2658	COAL	44	煤	coal
Sun-1991-1004-45	221	FIRE	45	火	fire
Sun-1991-1004-46	778	SMOKE (EXHAUST)	46	烟(烟子)	smoke
