ID	NUMBER	ENGLISH	SIL_1980_281	SIL_2002_436	MATISOFF_1978_200	SWADESH_1955_100	SWADESH_1952_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mann-2004-500-67	67	cave	---	cave	---	---	---	1155	CAVE
Mann-2004-500-68	68	cheek	---	cheek	---	---	---	1730	CHEEK
Mann-2004-500-69	69	chicken	chicken	chicken	---	---	---	1318	CHICKEN
Mann-2004-500-70	70	child	child	child	child/son	---	child	2099	CHILD
Mann-2004-500-71	71	chin	---	chin	---	---	---	1510	CHIN
Mann-2004-500-72	72	choose	---	choose	---	---	---	1750	CHOOSE
Mann-2004-500-73	73	claw	finger nail	finger nail	nail/claw	claw	---	72	CLAW
Mann-2004-500-74	74	climb/ascend	---	---	climb/ascend	---	---	705	GO UP (ASCEND)
Mann-2004-500-75	75	clothing	clothing	clothing	---	---	---	1895	CLOTHES
Mann-2004-500-76	76	cloud	cloud	cloud	cloud	cloud	cloud	1489	CLOUD
Mann-2004-500-77	77	cockroach	---	cockroach	---	---	---	1575	COCKROACH
Mann-2004-500-78	78	coconut	coconut	coconut	---	---	---	970	COCONUT
Mann-2004-500-79	79	cold	cold	cold	cold	cold	cold	1287	COLD
Mann-2004-500-80	80	comb	---	comb	---	---	---	1475	COMB
Mann-2004-500-81	81	come	come	come	---	come	come	1446	COME
Mann-2004-500-82	82	cook/boil	cook	cook	cook/boil	---	---	1100	COOK (SOMETHING)
Mann-2004-500-83	83	cool	---	cool	---	---	---	2483	COLD (OF WEATHER)
Mann-2004-500-84	84	corn	corn	corn	---	---	---	506	MAIZE
Mann-2004-500-85	85	correct	correct	correct	---	---	right/correct	1725	CORRECT (RIGHT)
Mann-2004-500-86	86	cough	---	cough	cough	---	---	879	COUGH
Mann-2004-500-87	87	count	count	count	---	---	count	1420	COUNT
Mann-2004-500-88	88	cow	cow	cow	---	---	---	1007	COW
Mann-2004-500-89	89	crawl	---	crawl	---	---	---	96	CRAWL
Mann-2004-500-90	90	crested	---	crested	---	---	---	2496	ADORNED
Mann-2004-500-91	91	crocodile	---	crocodile	---	---	---	1857	CROCODILE
Mann-2004-500-92	92	cut	cut	stab [to cut (hair)]	cut	---	cut	1432	CUT
Mann-2004-500-93	93	dance	dance	dance	---	---	---	1879	DANCE
Mann-2004-500-94	94	dark	---	dark	---	---	---	706	DARK
Mann-2004-500-95	95	day	day	day	---	---	day	1225	DAY (NOT NIGHT)
Mann-2004-500-96	96	deaf	---	deaf	---	---	---	996	DEAF
