ID	NUMBER	ENGLISH	SIL_1980_281	SIL_2002_436	MATISOFF_1978_200	SWADESH_1955_100	SWADESH_1952_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mann-2004-500-343	343	same	---	the same	---	---	---	200	SAME
Mann-2004-500-344	344	sand	sand	sand	---	sand	sand	671	SAND
Mann-2004-500-345	345	sarong	sarong	sarong	---	---	---	1965	LOINCLOTH
Mann-2004-500-346	346	scorpion	scorpion	scorpion	---	---	---	1538	SCORPION
Mann-2004-500-347	347	scratch	scratch	scratch	scratch/scrape	---	scratch	1436	SCRATCH
Mann-2004-500-348	348	sea	sea	sea	---	---	sea	1474	SEA
Mann-2004-500-349	349	see	see	see	see	see	see	1409	SEE
Mann-2004-500-350	350	seed	seed	seed	---	seed	seed	714	SEED
Mann-2004-500-351	351	sell	---	sell	sell	---	---	1571	SELL
Mann-2004-500-352	352	seven	seven	seven	seven	---	---	1704	SEVEN
Mann-2004-500-353	353	sew	sew	sew	sew	---	sew	1457	SEW
Mann-2004-500-354	354	shade/shadow	---	shadow	shade/shadow	---	---	1388	SHADE
Mann-2004-500-355	355	shallow	---	shallow	---	---	---	193	SHALLOW
Mann-2004-500-356	356	sharp	sharp	sharp	sharp	---	sharp	1396	SHARP
Mann-2004-500-357	357	shave (beard)	---	shave (beard)	---	---	---	231	SHAVE
Mann-2004-500-358	358	shin	---	shin	---	---	---	186	SHIN
Mann-2004-500-359	359	shiver	---	shiver	---	---	---	52	SHIVER
Mann-2004-500-360	360	shoot	shoot	shoot	shoot	---	---	1172	SHOOT
Mann-2004-500-361	361	short (height)	short (height)	short (height)	---	---	short	2484	SMALL (NOT TALL)
Mann-2004-500-362	362	short (length)	short (length)	short (length)	---	---	---	1645	SHORT
Mann-2004-500-363	363	shout	---	shout	---	---	---	715	SHOUT
Mann-2004-500-364	364	silver	silver	silver	silver	---	---	759	SILVER
Mann-2004-500-365	365	sing	sing	sing	---	---	sing	1261	SING
Mann-2004-500-366	366	sink	---	sink	---	---	---	1088	SINK (DESCEND)
Mann-2004-500-367	367	sister (eldr. of f.)	sister (eldr. of f.)	sister (eldr. of f.)	---	---	---	2419	OLDER SISTER (OF WOMAN)
Mann-2004-500-368	368	sister (eldr. of m.)	sister (eldr. of m.)	sister (elder of m)	---	---	---	2418	OLDER SISTER (OF MAN)
Mann-2004-500-369	369	sister (yngr. of f.)	---	sister (yngr. of f.)	---	---	---	2421	YOUNGER SISTER (OF WOMAN)
Mann-2004-500-370	370	sister (yngr. of m.)	---	sister (yngr. of m.)	---	---	---	2420	YOUNGER SISTER (OF MAN)
Mann-2004-500-371	371	sit	sit	sit	sit	sit	sit	1416	SIT
Mann-2004-500-372	372	six	six	six	six	---	---	1703	SIX
Mann-2004-500-373	373	skin	skin	skin	skin/bark	skin	skin	763	SKIN
Mann-2004-500-374	374	skinny	---	skinny	---	---	---	1400	THIN (SLIM)
Mann-2004-500-375	375	sky	sky	sky	sky	---	sky	1732	SKY
Mann-2004-500-376	376	sleep	sleep	sleep	sleep/lie down	sleep	sleep	1585	SLEEP
Mann-2004-500-377	377	sleeping area	---	sleeping area	---	---	---	2505	BEDROOM
Mann-2004-500-378	378	slow	---	slow	---	---	---	701	SLOW
Mann-2004-500-379	379	small	small	small	---	small	small	1246	SMALL
Mann-2004-500-380	380	smell	smell	smell	smell	---	smell	1586	SMELL (PERCEIVE)
Mann-2004-500-381	381	smile	---	smile	---	---	---	1451	SMILE
Mann-2004-500-382	382	smoke	smoke	smoke	smoke	smoke	smoke	778	SMOKE (EXHAUST)
Mann-2004-500-383	383	smooth	smooth	smooth	---	---	smooth	1234	SMOOTH
Mann-2004-500-384	384	snail	---	snail	---	---	---	1543	SNAIL
Mann-2004-500-385	385	snake	snake	snake	snake	---	snake	730	SNAKE
Mann-2004-500-386	386	sneeze	---	sneeze	---	---	---	1621	SNEEZE
Mann-2004-500-387	387	snore	---	snore	---	---	---	1983	SNORE
Mann-2004-500-388	388	snot	---	---	snot	---	---	208	NASAL MUCUS, SNOT
Mann-2004-500-389	389	snow	---	---	---	---	snow	784	SNOW
Mann-2004-500-390	390	soft (touch)	---	---	soft (touch)	---	---	1856	SOFT
Mann-2004-500-391	391	some	some	some	---	---	some	1241	SOME
Mann-2004-500-392	392	son-in-law	---	son-in-law	son-in-law	---	---	1056	SON-IN-LAW
Mann-2004-500-393	393	sour	---	sour	sour	---	---	1906	SOUR
Mann-2004-500-394	394	south	---	south	---	---	---	1595	SOUTH
Mann-2004-500-395	395	speak	speak	speak	---	say	say	1623	SPEAK
Mann-2004-500-396	396	spear	spear	spear	---	---	---	945	SPEAR
Mann-2004-500-397	397	spicy, hot	---	spicy, hot	---	---	---	544	SPICY
Mann-2004-500-398	398	spider	spider	spider	---	---	---	843	SPIDER
Mann-2004-500-399	399	spider web	---	spider web	---	---	---	1065	SPIDER WEB
Mann-2004-500-400	400	spit	spit	spit	spit (n)	---	spit	1440	SPIT
Mann-2004-500-401	401	split	split	split	---	---	split	1437	SPLIT
Mann-2004-500-402	402	split w knife	---	split w knife	---	---	---	1437	SPLIT
Mann-2004-500-403	403	spoon	---	spoon	---	---	---	1378	SPOON
Mann-2004-500-404	404	squeeze	squeeze	---	squeeze	---	squeeze	1414	SQUEEZE
Mann-2004-500-405	405	stab	stab	stab	---	---	stab	1434	STAB
Mann-2004-500-406	406	stand	stand	stand	stand	stand	stand	1442	STAND
Mann-2004-500-407	407	star	star	star	star	star	star	1430	STAR
Mann-2004-500-408	408	steal	---	steal	steal	---	---	713	STEAL
Mann-2004-500-409	409	stick	stick	---	stick	---	stick	1295	STICK
Mann-2004-500-410	410	stone	stone	stone	stone	stone	stone	857	STONE
Mann-2004-500-411	411	straight	straight	straight	---	---	straight	1404	STRAIGHT
Mann-2004-500-412	412	stream	---	stream	---	---	---	947	STREAM
Mann-2004-500-413	413	strong	---	strong	---	---	---	785	STRONG
Mann-2004-500-414	414	suck	suck (milk)	suck	---	---	suck	1421	SUCK
Mann-2004-500-415	415	sugarcane	---	sugarcane	---	---	---	146	SUGAR CANE
Mann-2004-500-416	416	sun	sun	sun	sun/day	sun	---	1343	SUN
Mann-2004-500-417	417	swallow	---	swallow	---	---	---	897	SWALLOW
Mann-2004-500-418	418	sweat	---	sweat	sweat	---	---	125	SWEAT (SUBSTANCE)
Mann-2004-500-419	419	sweet	---	sweet	sweet	---	---	717	SWEET
Mann-2004-500-420	420	swell	swollen	swell	---	---	swell	1573	SWELL
Mann-2004-500-421	421	swidden	---	---	swidden	---	---	429	SWIDDEN FIELD
Mann-2004-500-422	422	swim	swim	swim	---	swim	swim	1439	SWIM
Mann-2004-500-423	423	tail	tail	tail	tail	tail	tail	1220	TAIL
Mann-2004-500-424	424	take	---	take	---	---	---	1749	TAKE
Mann-2004-500-425	425	tall	tall	tall	---	---	---	711	TALL
Mann-2004-500-426	426	tell	---	tell	---	---	---	1711	TELL
Mann-2004-500-427	427	ten	ten	ten	ten	---	---	1515	TEN
Mann-2004-500-428	428	termite	---	termite	---	---	---	883	TERMITE
Mann-2004-500-429	429	that	that	that	---	that	that	78	THAT
Mann-2004-500-430	430	there	there	---	---	---	there	1937	THERE
Mann-2004-500-431	431	they	they	they	---	---	they	817	THEY
Mann-2004-500-432	432	thick	thick	thick	thick	---	thick	1244	THICK
Mann-2004-500-433	433	thigh	thigh	thigh	---	---	---	800	THIGH
Mann-2004-500-434	434	thin	thin	thin	thin	---	thin	2308	THIN
Mann-2004-500-435	435	think	think	think	---	---	think	2271	THINK
Mann-2004-500-436	436	thirsty	---	thirsty	---	---	---	847	THIRSTY
Mann-2004-500-437	437	this	this	this	---	this	this	1214	THIS
Mann-2004-500-438	438	this	---	---	---	---	---	1214	THIS
Mann-2004-500-439	439	thorn	---	thorn	thorn (prick)	---	---	124	THORN
Mann-2004-500-440	440	thousand	---	thousand	---	---	---	1843	THOUSAND
Mann-2004-500-441	441	three	three	three	three	---	three	492	THREE
Mann-2004-500-442	442	throw	throw	throw	---	---	throw	1456	THROW
Mann-2004-500-443	443	thunder	---	thunder	---	---	---	1150	THUNDER
Mann-2004-500-444	444	tie	tie	tie	tie	---	tie	1917	TIE
Mann-2004-500-445	445	tiger	tiger	tiger	---	---	---	846	TIGER
Mann-2004-500-446	446	tired	---	tired	---	---	---	1757	TIRED
Mann-2004-500-447	447	tomorrow	---	tomorrow	---	---	---	1329	TOMORROW
Mann-2004-500-448	448	tongue	tongue	tongue	tongue (n)	tongue	tongue	1205	TONGUE
Mann-2004-500-449	449	tooth	tooth	tooth	tooth (n)	tooth	tooth	1380	TOOTH
Mann-2004-500-450	450	tree	tree	tree	tree (n)/wood	tree	tree	906	TREE
Mann-2004-500-451	451	trousers	---	trousers	---	---	---	809	TROUSERS
Mann-2004-500-452	452	turn	turn	---	---	---	turn	1588	TURN
Mann-2004-500-453	453	turtle	---	turtle	---	---	---	112	TURTLE
Mann-2004-500-454	454	tusk	tusk	tusk	---	---	---	2495	ELEPHANT TUSK
Mann-2004-500-455	455	twenty/score	twenty	---	twenty/score	---	---	1710	TWENTY
Mann-2004-500-456	456	two	two	two	two	two	two	1498	TWO
Mann-2004-500-457	457	urine	---	urine	piss	---	---	1142	URINE
Mann-2004-500-458	458	village	---	village	village	---	---	930	VILLAGE
Mann-2004-500-459	459	vomit	vomit	vomit	vomit	---	vomit	1278	VOMIT
Mann-2004-500-460	460	wait	---	wait	---	---	---	1590	WAIT (FOR)
Mann-2004-500-461	461	walk	walk	walk	---	walk	walk	1443	WALK
Mann-2004-500-462	462	wall of house	---	wall of house	---	---	---	933	WALL
Mann-2004-500-463	463	warm	warm	warm	warm	---	warm	1232	WARM
Mann-2004-500-464	464	wash	wash (dishes)	wash	wash	---	wash	1453	WASH
Mann-2004-500-465	465	water	water	water	water	water	water	948	WATER
Mann-2004-500-466	466	water leech	---	water leech	water leech	---	---	949	WATER LEECH
Mann-2004-500-467	467	we	we (inclusive)	we (inclusive)	---	we	we	1212	WE
Mann-2004-500-468	468	weak	---	weak	---	---	---	1601	WEAK
Mann-2004-500-469	469	weave (cloth)	---	weave (cloth)	weave	---	---	133	WEAVE
Mann-2004-500-470	470	weep	weep	weep	weep	---	---	1839	CRY
Mann-2004-500-471	471	west	---	west	---	---	---	1817	WEST
Mann-2004-500-472	472	wet	wet	wet	---	---	wet	1726	WET
Mann-2004-500-473	473	what	what	what	---	what	what	1236	WHAT
Mann-2004-500-474	474	when (future)	when (future)	when (future)	---	---	---	1238	WHEN
Mann-2004-500-475	475	when (past)	when (past)	when (past)	---	---	when	1238	WHEN
Mann-2004-500-476	476	where	where	where	---	---	where	1237	WHERE
Mann-2004-500-477	477	whistle	---	whistle	---	---	---	175	BLOW (OF WIND)
Mann-2004-500-478	478	white	white	white	white	white	white	1335	WHITE
Mann-2004-500-479	479	who	who	who	---	who	who	1235	WHO
Mann-2004-500-480	480	wide	wide	wide	---	---	wide	1243	WIDE
Mann-2004-500-481	481	widow	---	widow	---	---	---	1756	WIDOW
Mann-2004-500-482	482	wife	wife	wife	---	---	wife	1199	WIFE
Mann-2004-500-483	483	wind	wind	wind	wind	---	wind	960	WIND
Mann-2004-500-484	484	window	---	window	---	---	---	1375	WINDOW
Mann-2004-500-485	485	wing	wing	wing	wing	---	wing	1257	WING
Mann-2004-500-486	486	wink	---	wink	---	---	---	1655	BLINK
Mann-2004-500-487	487	winnow (rice)	---	winnow (rice)	---	---	---	2462	WINNOWING
Mann-2004-500-488	488	wipe	wipe	wipe	---	---	wipe	1454	WIPE
Mann-2004-500-489	489	with	with	---	---	---	with	1340	WITH
Mann-2004-500-490	490	woman	woman	woman	---	woman	woman	962	WOMAN
Mann-2004-500-491	491	woods	forest	forest	---	---	woods	420	FOREST
Mann-2004-500-492	492	work	work	work	---	---	---	1086	WORK (ACTIVITY)
Mann-2004-500-493	493	worm	earthworm	earthworm	---	---	worm	1219	WORM
Mann-2004-500-494	494	wrong	---	wrong	---	---	---	1390	WRONG
Mann-2004-500-495	495	yawn	---	yawn	---	---	---	1028	YAWN
Mann-2004-500-496	496	year	year	year	year	---	year	1226	YEAR
Mann-2004-500-497	497	yellow	yellow	yellow	---	yellow	yellow	1424	YELLOW
Mann-2004-500-498	498	yesterday	---	yesterday	---	---	---	1174	YESTERDAY
Mann-2004-500-499	499	you (2s.)	thou (2s)	thou (2s)	thou	---	thou	1215	THOU
Mann-2004-500-500	500	you (2pl.)	you	you	you	you	you	1213	YOU
