ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	PERCEPTUAL_DOMINANT	VISUAL_MEAN	HAPTIC_MEAN	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	PERCEPTUAL_EXCLUSIVITY	RANDOM_SET	PARTICIPANTS
Winter-2016-300-42	42	caress			Haptic	1.166666667	4.833333333	0.333333333	0	0	0.763157895	no	6
Winter-2016-300-43	43	catch	CATCH	702	Haptic	3	4.666666667	0.666666667	0.333333333	0.166666667	0.509433962	no	6
Winter-2016-300-44	44	caw			Auditory	0.333333333	0	1.333333333	0	0	0.8	no	6
Winter-2016-300-45	45	change	CHANGE	1264	Visual	2.142857143	1.714285714	0	0	0	0.555555556	yes	7
Winter-2016-300-46	46	chatter			Auditory	0.833333333	1	3.333333333	0	0	0.64516129	no	6
Winter-2016-300-47	47	check	CHECK	1975	Visual	3.777777778	1.555555556	1	0.888888889	0.777777778	0.375	no	9
Winter-2016-300-48	48	chew	CHEW	321	Gustatory	0	1.2	0.2	4.6	0.4	0.71875	no	5
Winter-2016-300-49	49	chime	CHIME (ACTION)	2897	Auditory	0.833333333	0.5	4.166666667	0	0	0.757575758	no	6
Winter-2016-300-50	50	clang			Auditory	0.714285714	0.571428571	4.142857143	0	0	0.763157895	no	7
Winter-2016-300-51	51	clank			Auditory	0.8	2.6	4.4	0	0	0.564102564	no	5
Winter-2016-300-52	52	clap	CLAP	3110	Haptic	1	4.272727273	2.545454545	0	0	0.546511628	no	11
Winter-2016-300-53	53	clatter			Auditory	0.571428571	0.571428571	4.857142857	0	0	0.80952381	no	7
Winter-2016-300-54	54	clink			Haptic	1.6	2.8	2.4	0	0.2	0.4	no	5
Winter-2016-300-55	55	complain			Visual	2.666666667	0.833333333	2	0.666666667	0.666666667	0.292682927	yes	6
Winter-2016-300-56	56	concentrate			Visual	1.8	0.6	1.4	1.2	1.4	0.1875	yes	5
Winter-2016-300-57	57	consider			Auditory	1.666666667	0.166666667	2.333333333	0.166666667	0.166666667	0.481481481	no	6
Winter-2016-300-58	58	contact			Haptic	1.833333333	3	1.5	1	0.5	0.319148936	no	6
Winter-2016-300-59	59	contemplate			Auditory	1.666666667	0.5	1.833333333	0.333333333	0.333333333	0.321428571	no	6
Winter-2016-300-60	60	contend			Visual	2.4	1.4	1.6	1.4	1.4	0.12195122	yes	5
Winter-2016-300-61	61	converge			Visual	2.333333333	1.833333333	0.666666667	0	0	0.482758621	no	6
Winter-2016-300-62	62	corrupt			Visual	1.666666667	1.666666667	0	0	0	0.5	yes	6
Winter-2016-300-63	63	cough	COUGH	879	Auditory	0.333333333	1.333333333	2.666666667	1.5	0.5	0.368421053	yes	6
Winter-2016-300-64	64	crack			Auditory	2.333333333	2.833333333	3.166666667	0	0	0.38	no	6
Winter-2016-300-65	65	crackle			Auditory	0.666666667	1.5	4	0	0	0.648648649	no	6
Winter-2016-300-66	66	crash			Haptic	2.818181818	3.272727273	2.181818182	0	0	0.395604396	no	11
Winter-2016-300-67	67	criticize			Auditory	1.727272727	0.454545455	2.909090909	0.272727273	0.181818182	0.491803279	yes	11
Winter-2016-300-68	68	croak			Auditory	1.8	0.6	2.6	0.4	0.8	0.35483871	no	5
Winter-2016-300-69	69	denotate			Auditory	2	0.666666667	2.333333333	0	0.166666667	0.451612903	yes	6
Winter-2016-300-70	70	depart			Visual	2.166666667	2.166666667	0.833333333	0.166666667	0.166666667	0.363636364	yes	6
Winter-2016-300-71	71	descry			Visual	2.8	1	1.8	1	0.8	0.27027027	no	5
Winter-2016-300-72	72	detect			Visual	3.111111111	1.666666667	2.444444444	1.777777778	2.111111111	0.13	no	9
Winter-2016-300-73	73	differentiate			Visual	3.545454545	2.363636364	1.909090909	2.090909091	1.909090909	0.138461538	no	11
Winter-2016-300-74	74	ding			Auditory	0.375	0.375	3.625	0	0	0.828571429	no	8
Winter-2016-300-75	75	dip			Haptic	2.666666667	3.333333333	0	0.333333333	0	0.526315789	yes	6
Winter-2016-300-76	76	discern			Visual	2.666666667	1.5	1.833333333	1.5	1	0.196078431	no	6
Winter-2016-300-77	77	discriminate			Visual	3.222222222	2.111111111	2.666666667	2.444444444	2.111111111	0.088495575	yes	9
Winter-2016-300-78	78	disobey			Auditory	1.833333333	1	2.666666667	0.833333333	0.166666667	0.384615385	yes	6
