ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	PERCEPTUAL_DOMINANT	VISUAL_MEAN	HAPTIC_MEAN	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	PERCEPTUAL_EXCLUSIVITY	RANDOM_SET	PARTICIPANTS
Winter-2016-300-224	224	scan			Visual	4.666666667	1	1.833333333	0.666666667	0.666666667	0.452830189	no	6
Winter-2016-300-225	225	scent			Olfactory	0	0	0	0.285714286	5	0.945945946	no	7
Winter-2016-300-226	226	scrutinize			Visual	4.833333333	1.833333333	2.333333333	1	1.166666667	0.343283582	no	6
Winter-2016-300-227	227	search	LOOK FOR	1468	Visual	4.857142857	2	1.857142857	0.142857143	1.285714286	0.464788732	yes	7
Winter-2016-300-228	228	secure			Haptic	3.5	4	1.166666667	0	0	0.461538462	yes	6
Winter-2016-300-229	229	see	SEE	1409	Visual	5	0.571428571	0	0	0	0.897435897	no	7
Winter-2016-300-230	230	seem	SEEM	1521	Visual	3.25	1.625	1.625	0.75	0.625	0.333333333	no	8
Winter-2016-300-231	231	sense	SENSE (PERCEIVE BY SENSES)	2572	Haptic	3	3.571428571	3.571428571	2.285714286	2.714285714	0.08490566	no	7
Winter-2016-300-232	232	shout	SHOUT	715	Auditory	0.333333333	0.166666667	4	0	0	0.888888889	no	6
Winter-2016-300-233	233	shriek	SHRIEK	298	Auditory	1	1.4	4	0.4	0	0.588235294	no	5
Winter-2016-300-234	234	sight			Visual	4.714285714	0	0	0	0	1	no	7
Winter-2016-300-235	235	signify			Visual	2.5	1.666666667	1.333333333	0	0.166666667	0.441176471	yes	6
Winter-2016-300-236	236	sing	SING	1261	Auditory	1.333333333	0.166666667	4.5	0.166666667	0.333333333	0.666666667	no	6
Winter-2016-300-237	237	sip			Gustatory	0	1.444444444	0	4.666666667	0.333333333	0.724137931	no	9
Winter-2016-300-238	238	sit	SIT	1416	Haptic	1.428571429	2.428571429	0	0	0	0.62962963	yes	7
Winter-2016-300-239	239	slam			Haptic	2.181818182	3.545454545	2.272727273	0	0	0.443181818	no	11
Winter-2016-300-240	240	slip	SLIP	1324	Haptic	1.5	3.5	0.166666667	0	0	0.677419355	no	6
Winter-2016-300-241	241	smack			Haptic	1.666666667	4.5	0.666666667	0	0	0.658536585	no	6
Winter-2016-300-242	242	smell	SMELL	2124	Olfactory	0.333333333	0.333333333	0.166666667	1.333333333	5	0.674418605	no	6
Winter-2016-300-243	243	smooth			Haptic	2	4.666666667	0	0.166666667	0	0.682926829	no	6
Winter-2016-300-244	244	snap	SNAP (OF STICK)	459	Haptic	0.3	3.7	3.2	0	0	0.513888889	no	10
Winter-2016-300-245	245	sniff	SNIFF	375	Olfactory	0.5	0	0.166666667	0.666666667	4.833333333	0.783783784	no	6
Winter-2016-300-246	246	snort	SNORE	1983	Olfactory	0	0.857142857	1.857142857	0.714285714	2.571428571	0.428571429	no	7
Winter-2016-300-247	247	snuff			Haptic	0.8	2.6	0.2	0.4	1.8	0.413793103	no	5
Winter-2016-300-248	248	sound			Auditory	0.333333333	0.666666667	4.333333333	0.166666667	0.166666667	0.735294118	no	6
Winter-2016-300-249	249	spot			Visual	5	0.333333333	0.222222222	0	0	0.9	no	9
Winter-2016-300-250	250	spy			Visual	4.666666667	0.833333333	4.666666667	0	0.5	0.4375	no	6
Winter-2016-300-251	251	squawk			Auditory	0	0	2.888888889	0	0	1	no	9
Winter-2016-300-252	252	squeal			Auditory	0	0	3.428571429	0	0	1	yes	7
Winter-2016-300-253	253	stabilize			Haptic	1.222222222	3.111111111	0.222222222	0.222222222	0.222222222	0.577777778	yes	9
Winter-2016-300-254	254	stage			Visual	4.6	2.6	1	0	0	0.56097561	yes	5
Winter-2016-300-255	255	stalk			Visual	4	0.857142857	2.428571429	0	0.142857143	0.538461538	yes	7
Winter-2016-300-256	256	stare			Visual	4.833333333	0	0	0	0	1	no	6
Winter-2016-300-257	257	stench			Olfactory	0.166666667	0.166666667	0.166666667	1	3.833333333	0.6875	no	6
Winter-2016-300-258	258	stink	SMELL (STINK)	1587	Olfactory	0.181818182	0	0	0.545454545	5	0.873015873	no	11
Winter-2016-300-259	259	strike	STRIKE	353	Haptic	1.5	4	0.5	0	0	0.666666667	no	6
Winter-2016-300-260	260	string			Haptic	1	3.285714286	0.571428571	0	0	0.676470588	yes	7
Winter-2016-300-261	261	stroke			Haptic	1	4.636363636	0	0	0	0.822580645	no	11
Winter-2016-300-262	262	struggle			Haptic	1.666666667	3.333333333	1.333333333	0	0.166666667	0.512820513	yes	6
Winter-2016-300-263	263	study	STUDY	1929	Visual	4.111111111	0.666666667	1.333333333	0	0	0.672727273	no	9
Winter-2016-300-264	264	suck	SUCK	1421	Gustatory	0.8	2.8	0.4	3.8	0.8	0.395348837	no	5
Winter-2016-300-265	265	suffer	SUFFER	1101	Haptic	2	2.833333333	1.333333333	0.166666667	0.166666667	0.41025641	no	6
Winter-2016-300-266	266	suffice	SUFFICE	3475	Visual	1.8	0.6	1.6	0.6	0.4	0.28	yes	5
Winter-2016-300-267	267	suggest			Auditory	2.111111111	0.555555556	3	0.111111111	0	0.519230769	no	9
Winter-2016-300-268	268	survey			Visual	3.6	2	1.4	0.4	0.6	0.4	no	5
Winter-2016-300-269	269	sweep	SWEEP	230	Visual	3.428571429	2.714285714	1	0	0.142857143	0.470588235	no	7
Winter-2016-300-270	270	swill			Gustatory	0.666666667	1.5	0.166666667	2.666666667	1.166666667	0.405405405	no	6
Winter-2016-300-271	271	swoop			Haptic	1.5	2.333333333	1.166666667	0.166666667	0.333333333	0.393939394	yes	6
Winter-2016-300-272	272	tap			Haptic	1.6	4.4	0.6	0.2	0.8	0.552631579	no	5
Winter-2016-300-273	273	taste			Gustatory	0.222222222	0.444444444	0	5	1.555555556	0.692307692	no	9
Winter-2016-300-274	274	test	TRY (TEST)	2571	Visual	3.166666667	3.166666667	2.5	2	1.666666667	0.12	no	6
Winter-2016-300-275	275	thicken			Haptic	2.272727273	3.090909091	0	1	0.090909091	0.478873239	yes	11
Winter-2016-300-276	276	threaten	THREATEN	1192	Visual	3.272727273	1.363636364	2.454545455	0	0.090909091	0.455696203	yes	11
Winter-2016-300-277	277	thud			Haptic	0.5	2.666666667	2.333333333	0.166666667	0.166666667	0.428571429	no	6
Winter-2016-300-278	278	thumb			Haptic	1.333333333	3	0.666666667	0.666666667	0.5	0.405405405	no	6
Winter-2016-300-279	279	thump			Haptic	1	3.6	1.7	0.1	0.1	0.538461538	no	10
Winter-2016-300-280	280	toll			Visual	2.25	2.25	2.25	0	0	0.333333333	no	4
Winter-2016-300-281	281	toot			Auditory	1	2	2.833333333	0.166666667	0.333333333	0.421052632	no	6
Winter-2016-300-282	282	touch	TOUCH	1892	Haptic	1.6	5	0.2	0.2	0.2	0.666666667	no	5
Winter-2016-300-283	283	travel			Visual	3.857142857	1.714285714	1.571428571	1.571428571	1.428571429	0.23943662	yes	7
Winter-2016-300-284	284	trigger			Auditory	2.666666667	1.888888889	3	1.444444444	2	0.141414141	yes	9
Winter-2016-300-285	285	trumpet			Auditory	0.888888889	1.222222222	3.111111111	0.444444444	0	0.549019608	no	9
Winter-2016-300-286	286	try	TRY	1812	Haptic	1.833333333	2.5	1.333333333	1.5	0.666666667	0.234042553	no	6
Winter-2016-300-287	287	tweak			Haptic	1.444444444	3.555555556	1.444444444	0.555555556	0.555555556	0.397058824	yes	9
Winter-2016-300-288	288	twist	TWIST	430	Haptic	2.333333333	4.666666667	0.166666667	0	0	0.651162791	yes	6
Winter-2016-300-289	289	undergo			Haptic	1.666666667	2.166666667	0.666666667	0.166666667	0.333333333	0.4	no	6
Winter-2016-300-290	290	use	USE (VERB)	2072	Haptic	2.4	3.4	2	0.2	1	0.355555556	no	5
Winter-2016-300-291	291	vacate			Haptic	0.333333333	1.333333333	0.166666667	0	0	0.727272727	yes	6
Winter-2016-300-292	292	view			Visual	5	0.166666667	1	0	0.166666667	0.789473684	no	6
Winter-2016-300-293	293	vomit	VOMIT	1278	Gustatory	0.833333333	1.333333333	1.166666667	3.5	2	0.301886792	yes	6
Winter-2016-300-294	294	watch	WATCH	1650	Visual	5	0	1.571428571	0	0	0.760869565	no	7
Winter-2016-300-295	295	whiff			Olfactory	0.5	0.833333333	0.166666667	1	4.333333333	0.609756098	no	6
Winter-2016-300-296	296	whine			Auditory	0.285714286	0.571428571	3.714285714	0	0	0.8125	no	7
Winter-2016-300-297	297	whisper	WHISPER	55	Auditory	0.333333333	0	4.166666667	0	0	0.925925926	no	6
Winter-2016-300-298	298	witness			Visual	5	0.181818182	1.090909091	0.090909091	0.181818182	0.75	no	11
Winter-2016-300-299	299	work	WORK (ACTIVITY)	1086	Visual	3.5	3.333333333	2	0.666666667	0.666666667	0.278688525	yes	6
Winter-2016-300-300	300	zap			Haptic	1	2.727272727	1.181818182	0.090909091	0.181818182	0.50877193	yes	11
