ID	NUMBER	SPANISH	SOURCE_PAGE	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Constenla-2005-110-1	1	Agua	43	water	948	WATER
Constenla-2005-110-2	2	Amarillo	43	yellow	1424	YELLOW
Constenla-2005-110-3	3	Amarrar	43	fasten	1094	FASTEN
Constenla-2005-110-4	4	Árbol	44	tree	906	TREE
Constenla-2005-110-5	5	Arena	44	sand	671	SAND
Constenla-2005-110-6	6	Ave	44	bird	937	BIRD
Constenla-2005-110-7	7	Bailar	45	dance, to	1879	DANCE
Constenla-2005-110-8	8	Beber	45	drink, to	1401	DRINK
Constenla-2005-110-9	9	Blanco	45	white	1335	WHITE
Constenla-2005-110-10	10	Boca	45	mouth	674	MOUTH
Constenla-2005-110-11	11	Bosque	46	forest	420	FOREST
Constenla-2005-110-12	12	Bueno	46	good	1035	GOOD
Constenla-2005-110-13	13	Cabello	46	hair	1040	HAIR
Constenla-2005-110-14	14	Cabeza	47	head	1256	HEAD
Constenla-2005-110-15	15	Caer	47	fall, to	1280	FALL
Constenla-2005-110-16	16	Caliente	47	hot, warm	2272	HOT OR WARM
Constenla-2005-110-17	17	Caminar	47	walk, to	1443	WALK
Constenla-2005-110-18	18	Camino	48	path	2252	PATH
Constenla-2005-110-19	19	Cantar	48	sing, to	1261	SING
Constenla-2005-110-20	20	Carne	48	meat	634	MEAT
Constenla-2005-110-21	21	Ceniza	48	ash	646	ASH
Constenla-2005-110-22	22	Cinco	49	five	493	FIVE
Constenla-2005-110-23	23	Cola	49	tail	1220	TAIL
Constenla-2005-110-24	24	Comer	50	eat, to	1336	EAT
Constenla-2005-110-25	25	Con	50	with	1340	WITH
Constenla-2005-110-26	26	Cortar	50	cut, to	1432	CUT
Constenla-2005-110-27	27	Corteza	50	bark (of tree)	1204	BARK
Constenla-2005-110-28	28	Cuatro	50	four	1500	FOUR
Constenla-2005-110-29	29	Cuello	51	neck	1333	NECK
Constenla-2005-110-30	30	Dar	51	give, to	1447	GIVE
