ID	NUMBER	NUMBER_IN_SOURCE	ENGLISH	CHINESE	NUMBERS	GLOSSES	CONCEPTICON_ID	CONCEPTICON_GLOSS
Yang-2011-1014-1	1	1	sky	天 (天空)	1,0 / 1,1 / 1,2	sky-1 / sky-2a / sky-2b	1732	SKY
Yang-2011-1014-2	2	2	sun	太阳	2,0 / 2,1	sun-2 / sun-3	1343	SUN
Yang-2011-1014-3	3	3	sunshine	阳光	3	sunshine	3276	SUNSHINE
Yang-2011-1014-4	4	4	moon	月亮	4,0 / 4,1	moon-1 / moon-2	1313	MOON
Yang-2011-1014-5	5	5	star	星星	5	star	1430	STAR
Yang-2011-1014-6	6	6	cloud	云	6	cloud	1489	CLOUD
Yang-2011-1014-7	7	7	wind	风	7	wind	960	WIND
Yang-2011-1014-8	8	8	rain	雨	8	rain	658	RAIN (PRECIPITATION)
Yang-2011-1014-9	9	9	lightning	闪电	9	lightning	1654	LIGHTNING
Yang-2011-1014-10	10	10	thunder	雷	10,0 / 10,1	thunder / thunder-2	1150	THUNDER
Yang-2011-1014-11	11	11	rainbow	彩虹	11,0 / 11,1	rainbow / rainbow	1733	RAINBOW
Yang-2011-1014-12	12	12	snow	雪	12	snow	784	SNOW
Yang-2011-1014-13	13	13	water	水	13,1 / 13,0	water (b) / water (a)	948	WATER
Yang-2011-1014-14	14	14	fog	雾	14	fog	249	FOG
Yang-2011-1014-15	15	15	frost	霜	15,0 / 15,1	frost-1 / frost-2	2034	FROST
Yang-2011-1014-16	16	16	dew	露	16	dew	1977	DEW
Yang-2011-1014-17	17	17	hail	雹 (雹暴)	17	hail	609	HAIL
Yang-2011-1014-18	18	18	earth	地 (大地/草地)	18,0 / 18,1	earth-1 / earth-2	2159	GROUND
Yang-2011-1014-19	19	19	soil; dirt	土(干) (土壤)	19,0 / 19,1	soil; dirt-1 / soil; dirt-2	1015	SOIL
Yang-2011-1014-20	20	20	mud	泥(巴)	20	mud	640	MUD
Yang-2011-1014-21	21	21	river	河	21,0 / 21,1 / 21,2	river (a) / river (b) / river (c)	3311	FLOWING BODY OF WATER
Yang-2011-1014-22	22	22	ditch	沟	22,0 / 22,1	ditch / ditch	2002	DITCH
Yang-2011-1014-23	23	23	pond	池塘	23	pond	2035	POND
Yang-2011-1014-24	24	24	puddle	小池塘	24	puddle	2290	PUDDLE
Yang-2011-1014-25	25	25	well inside	井	25	well inside	954	WELL
Yang-2011-1014-26	26	25	well outside	井	25.1	well outside	954	WELL
Yang-2011-1014-27	27	26	mountain (dirt)	山(土山)	26,1 / 26,0	mountain (dirt) / mountain (dirt)	639	MOUNTAIN
Yang-2011-1014-28	28	27	cliff	悬崖	27	cliff	992	CLIFF
Yang-2011-1014-29	29	28	valley	(山)谷	28,0 / 28,1	valley / valley	921	VALLEY
Yang-2011-1014-30	30	29	cave	(山)洞	29,2 / 29,0 / 29,1	cave / cave / cave	1155	CAVE
Yang-2011-1014-31	31	30	hole (in ground)	洞	30	hole (in ground)	1667	HOLE
Yang-2011-1014-32	32	31	gold	金	31	gold	1369	GOLD
Yang-2011-1014-33	33	32	silver	银	32	silver	759	SILVER
Yang-2011-1014-34	34	33	iron (ore)	铁	33	iron (ore)	621	IRON
Yang-2011-1014-35	35	34	tin	锡	34	tin	893	TIN (METAL)
Yang-2011-1014-36	36	35	coal	煤	35	coal	2658	COAL
Yang-2011-1014-37	37	36	stone	石头	36,0 / 36,1	stone / stone	857	STONE
Yang-2011-1014-38	38	37	sand	沙	37	sand	671	SAND
Yang-2011-1014-39	39	38	fire	火	38	fire	221	FIRE
Yang-2011-1014-40	40	39	flame	火焰	39	flame	889	FLAME
Yang-2011-1014-41	41	40	smoke	烟 (炊烟)	40,1 / 40,0	smoke / smoke	778	SMOKE (EXHAUST)
Yang-2011-1014-42	42	41	night	夜	41	night	1233	NIGHT
Yang-2011-1014-43	43	42	day	天	42	day	1260	DAY (24 HOURS)
Yang-2011-1014-44	44	43	today	今天	43	today	1283	TODAY
Yang-2011-1014-45	45	44	yesterday	昨天	44	yesterday	1174	YESTERDAY
Yang-2011-1014-46	46	45	day before yesterday	前天	45	day before yesterday	1180	DAY BEFORE YESTERDAY
Yang-2011-1014-47	47	46	three days ago	大前天	46	three days ago	2333	THREE DAYS BEFORE NOW
Yang-2011-1014-48	48	47	four days ago	四天前	47	four days ago	3278	FOUR DAYS BEFORE NOW
Yang-2011-1014-49	49	48	tomorrow	明天	48	tomorrow	1329	TOMORROW
Yang-2011-1014-50	50	49	day after tomorrow	后天	49,0 / 49,1	day after tomorrow / day after tomorrow	1179	DAY AFTER TOMORROW
Yang-2011-1014-51	51	50	three days from now	大后天	50	three days from now	2332	THREE DAYS FROM NOW
Yang-2011-1014-52	52	51	four days from now	四天后	51	four days from now	3277	FOUR DAYS FROM NOW
Yang-2011-1014-53	53	52	year	年	52	year	1226	YEAR
Yang-2011-1014-54	54	53	new year	新年	53,1 / 53,0	new year / new year		
Yang-2011-1014-55	55	54	this year	今年	54,0 / 54,1	this year / this year	513	THIS YEAR
Yang-2011-1014-56	56	55	last year	去年	55	last year	514	LAST YEAR
Yang-2011-1014-57	57	56	year before last	前年	56,0 / 56,1	year before last / year before last	2331	YEAR BEFORE LAST YEAR
Yang-2011-1014-58	58	57	three years ago	大前年	57	three years ago		
Yang-2011-1014-59	59	58	four years ago	四年前	58	four years ago		
Yang-2011-1014-60	60	59	next year	明年	59,0 / 59,1	next year / next year	515	NEXT YEAR
Yang-2011-1014-61	61	60	year after next	后年	60,0 / 60,1	year after next / year after next	2330	YEAR AFTER NEXT YEAR
Yang-2011-1014-62	62	61	three years from now	大后年	61	three years from now		
Yang-2011-1014-63	63	62	four years from now	四年后	62	four years from now		
Yang-2011-1014-64	64	63	daytime	白天	63	daytime	1225	DAY (NOT NIGHT)
Yang-2011-1014-65	65	64	dawn	黎明	64	dawn	729	DAWN
Yang-2011-1014-66	66	65	morning (early)	早晨	65,0 / 65,1	morning (early) / morning (early)	1339	MORNING
Yang-2011-1014-67	67	66	noon	中午	66	noon	12	MIDDAY
Yang-2011-1014-68	68	67	afternoon	下午	67	afternoon	1807	AFTERNOON
Yang-2011-1014-69	69	68	dusk/evening	黄昏	68,0 / 68,1	dusk/evening / dusk/evening	1629	EVENING
Yang-2011-1014-70	70	69	night(time)	夜(里)/黑夜	69	night(time)		
Yang-2011-1014-71	71	70	this evening	今晚	70,0 / 70,1	this evening / this evening		
Yang-2011-1014-72	72	71	this morning	今早	71,0 / 71,1	this morning / this morning		
Yang-2011-1014-73	73	72	time	时间	72	time	892	TIME
Yang-2011-1014-74	74	73	cow	牛	73,0 / 73,1	cow / cow	3044	BOVINE
Yang-2011-1014-75	75	74	buffalo (water)	水牛	74,0 / 74,1	buffalo (water) / buffalo (water)	2516	WATER BUFFALO
Yang-2011-1014-76	76	75	field cow	黄牛	75	field cow	1153	CATTLE
Yang-2011-1014-77	77	76	horse	马	76	horse	615	HORSE
Yang-2011-1014-78	78	77	pig	猪	77	pig	1337	PIG
Yang-2011-1014-79	79	78	sow	母猪	78	sow	1351	SOW (FEMALE PIG)
