ID	NUMBER	PART_OF_SPEECH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Dolch-1936-220-135	135	verbs	bring	692	BRING
Dolch-1936-220-136	136	verbs	buy	1869	BUY
Dolch-1936-220-137	137	verbs	call	1084	CALL
Dolch-1936-220-138	138	verbs	came	1446	COME
Dolch-1936-220-139	139	verbs	can	972	BE ABLE
Dolch-1936-220-140	140	verbs	carry	700	CARRY
Dolch-1936-220-141	141	verbs	come	1446	COME
Dolch-1936-220-142	142	verbs	could	972	BE ABLE
Dolch-1936-220-143	143	verbs	cut	1432	CUT
Dolch-1936-220-144	144	verbs	did	813	DO
Dolch-1936-220-145	145	verbs	do	813	DO
Dolch-1936-220-146	146	verbs	does	813	DO
Dolch-1936-220-147	147	verbs	*done	813	DO
Dolch-1936-220-148	148	verbs	don't	813	DO
Dolch-1936-220-149	149	verbs	draw	2001	PAINTING
Dolch-1936-220-150	150	verbs	drink	1401	DRINK
Dolch-1936-220-151	151	verbs	eat	1336	EAT
Dolch-1936-220-152	152	verbs	fall	1280	FALL
Dolch-1936-220-153	153	verbs	find	719	FIND
Dolch-1936-220-154	154	verbs	fly	1441	FLY (MOVE THROUGH AIR)
Dolch-1936-220-155	155	verbs	found	719	FIND
Dolch-1936-220-156	156	verbs	gave	1447	GIVE
Dolch-1936-220-157	157	verbs	get	694	GET
Dolch-1936-220-158	158	verbs	give	1447	GIVE
Dolch-1936-220-159	159	verbs	go	695	GO
Dolch-1936-220-160	160	verbs	*goes	695	GO
Dolch-1936-220-161	161	verbs	going	695	GO
Dolch-1936-220-162	162	verbs	got	684	OWN
Dolch-1936-220-163	163	verbs	grow	479	GROW
Dolch-1936-220-164	164	verbs	had	773	HAVE
Dolch-1936-220-165	165	verbs	has	773	HAVE
Dolch-1936-220-166	166	verbs	have	773	HAVE
Dolch-1936-220-167	167	verbs	help	1897	HELP
Dolch-1936-220-168	168	verbs	hold	1448	HOLD
Dolch-1936-220-169	169	verbs	*hurt	2411	HURT (SOMEBODY)
Dolch-1936-220-170	170	verbs	is	1579	BE
Dolch-1936-220-171	171	verbs	jump	1829	JUMP
Dolch-1936-220-172	172	verbs	keep	1477	KEEP
Dolch-1936-220-173	173	verbs	know	1410	KNOW (SOMETHING)
Dolch-1936-220-174	174	verbs	laugh	1355	LAUGH
Dolch-1936-220-175	175	verbs	let		
Dolch-1936-220-176	176	verbs	like	1117	LIKE
Dolch-1936-220-177	177	verbs	live	1422	BE ALIVE
Dolch-1936-220-178	178	verbs	look	1819	LOOK
Dolch-1936-220-179	179	verbs	made	734	MAKE
Dolch-1936-220-180	180	verbs	make	734	MAKE
Dolch-1936-220-181	181	verbs	may		
Dolch-1936-220-182	182	verbs	must	971	MUST
Dolch-1936-220-183	183	verbs	open	1156	OPEN
Dolch-1936-220-184	184	verbs	*pick	2148	PICK
Dolch-1936-220-185	185	verbs	play	1413	PLAY
Dolch-1936-220-186	186	verbs	please		
Dolch-1936-220-187	187	verbs	pull	1455	PULL
Dolch-1936-220-188	188	verbs	put	998	PUT
Dolch-1936-220-189	189	verbs	ran	1519	RUN
Dolch-1936-220-190	190	verbs	read	724	READ
Dolch-1936-220-191	191	verbs	ride	367	RIDE
Dolch-1936-220-192	192	verbs	run	1519	RUN
Dolch-1936-220-193	193	verbs	said	1458	SAY
Dolch-1936-220-194	194	verbs	saw	1948	SAW
Dolch-1936-220-195	195	verbs	say	1458	SAY
Dolch-1936-220-196	196	verbs	see	1409	SEE
Dolch-1936-220-197	197	verbs	shall		
Dolch-1936-220-198	198	verbs	show	1039	SHOW
Dolch-1936-220-199	199	verbs	sing	1261	SING
Dolch-1936-220-200	200	verbs	sit	1416	SIT
Dolch-1936-220-201	201	verbs	sleep	1585	SLEEP
Dolch-1936-220-202	202	verbs	*start	1806	BEGIN
Dolch-1936-220-203	203	verbs	stop	1928	CEASE
Dolch-1936-220-204	204	verbs	take	1749	TAKE
Dolch-1936-220-205	205	verbs	tell	1711	TELL
Dolch-1936-220-206	206	verbs	thank	2412	THANK (SOMBEODY)
Dolch-1936-220-207	207	verbs	think	2271	THINK
Dolch-1936-220-208	208	verbs	*try	1812	TRY
Dolch-1936-220-209	209	verbs	*use	2072	USE (VERB)
Dolch-1936-220-210	210	verbs	walk	1443	WALK
Dolch-1936-220-211	211	verbs	want	1784	WANT
Dolch-1936-220-212	212	verbs	was	1579	BE
Dolch-1936-220-213	213	verbs	*wash	1453	WASH
Dolch-1936-220-214	214	verbs	went	695	GO
Dolch-1936-220-215	215	verbs	were	1579	BE
Dolch-1936-220-216	216	verbs	will	1579	BE
Dolch-1936-220-217	217	verbs	wish	1784	WANT
Dolch-1936-220-218	218	verbs	work	1086	WORK (ACTIVITY)
Dolch-1936-220-219	219	verbs	would	1784	WANT
Dolch-1936-220-220	220	verbs	*write	1672	WRITE
