ID	NUMBER	PART_OF_SPEECH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Dolch-1936-220-1	1	conjunctions	and	1577	AND
Dolch-1936-220-2	2	conjunctions	as		
Dolch-1936-220-3	3	conjunctions	because	1157	BECAUSE
Dolch-1936-220-4	4	conjunctions	but		
Dolch-1936-220-5	5	conjunctions	if	1459	IF
Dolch-1936-220-6	6	conjunctions	or	1014	OR
Dolch-1936-220-7	7	prepositions	about		
Dolch-1936-220-8	8	prepositions	after	1685	AFTER
Dolch-1936-220-9	9	prepositions	at	1461	AT
Dolch-1936-220-10	10	prepositions	by		
Dolch-1936-220-11	11	prepositions	down	1326	DOWN
Dolch-1936-220-12	12	prepositions	for		
Dolch-1936-220-13	13	prepositions	from	693	FROM
Dolch-1936-220-14	14	prepositions	in	1460	IN
Dolch-1936-220-15	15	prepositions	into		
Dolch-1936-220-16	16	prepositions	of		
Dolch-1936-220-17	17	prepositions	on		
Dolch-1936-220-18	18	prepositions	over		
Dolch-1936-220-19	19	prepositions	to		
Dolch-1936-220-20	20	prepositions	under	1485	BELOW OR UNDER
Dolch-1936-220-21	21	prepositions	*upon		
Dolch-1936-220-22	22	prepositions	with	1340	WITH
Dolch-1936-220-23	23	pronouns	he	1211	HE
Dolch-1936-220-24	24	pronouns	her	2092	HIS OR HER
Dolch-1936-220-25	25	pronouns	him	1211	HE
Dolch-1936-220-26	26	pronouns	his	2092	HIS OR HER
Dolch-1936-220-27	27	pronouns	I	1209	I
Dolch-1936-220-28	28	pronouns	it	169	IT
Dolch-1936-220-29	29	pronouns	*its	2092	HIS OR HER
Dolch-1936-220-30	30	pronouns	me	2301	ME
Dolch-1936-220-31	31	pronouns	my	2090	MY
Dolch-1936-220-32	32	pronouns	*myself		
Dolch-1936-220-33	33	pronouns	our	780	OUR
Dolch-1936-220-34	34	pronouns	she	1834	SHE
Dolch-1936-220-35	35	pronouns	that	78	THAT
Dolch-1936-220-36	36	pronouns	their	2400	THEIR
Dolch-1936-220-37	37	pronouns	them	817	THEY
Dolch-1936-220-38	38	pronouns	these	1214	THIS
Dolch-1936-220-39	39	pronouns	they	817	THEY
Dolch-1936-220-40	40	pronouns	this	1214	THIS
Dolch-1936-220-41	41	pronouns	*those	78	THAT
Dolch-1936-220-42	42	pronouns	us	2310	US (OBLIQUE CASE OF WE)
Dolch-1936-220-43	43	pronouns	we	1212	WE
Dolch-1936-220-44	44	pronouns	what	1236	WHAT
Dolch-1936-220-45	45	pronouns	*which	727	WHICH
Dolch-1936-220-46	46	pronouns	who	1235	WHO
Dolch-1936-220-47	47	pronouns	you	1215	THOU
Dolch-1936-220-48	48	pronouns	your	732	YOUR (SINGULAR)
Dolch-1936-220-49	49	adverbs	again	204	AGAIN
Dolch-1936-220-50	50	adverbs	*always	1676	ALWAYS
Dolch-1936-220-51	51	adverbs	around		
Dolch-1936-220-52	52	adverbs	away		
Dolch-1936-220-53	53	adverbs	*before	1882	BEFORE
Dolch-1936-220-54	54	adverbs	far	1406	FAR
Dolch-1936-220-55	55	adverbs	fast	1631	FAST
Dolch-1936-220-56	56	adverbs	first	728	FIRST
Dolch-1936-220-57	57	adverbs	here	136	HERE
Dolch-1936-220-58	58	adverbs	how	1239	HOW
Dolch-1936-220-59	59	adverbs	just	84	JUST
Dolch-1936-220-60	60	adverbs	much	531	HOW MUCH
Dolch-1936-220-61	61	adverbs	never	1656	NEVER
Dolch-1936-220-62	62	adverbs	no	1269	NO
Dolch-1936-220-63	63	adverbs	not	1240	NOT
Dolch-1936-220-64	64	adverbs	now	1376	NOW
Dolch-1936-220-65	65	adverbs	off		
Dolch-1936-220-66	66	adverbs	once	2914	ONCE (IN THE PAST)
Dolch-1936-220-67	67	adverbs	only	1580	ONLY
Dolch-1936-220-68	68	adverbs	out		
Dolch-1936-220-69	69	adverbs	so	2336	OF THIS KIND (SUCH)
Dolch-1936-220-70	70	adverbs	soon	703	SOON
Dolch-1936-220-71	71	adverbs	then	2921	THEN
Dolch-1936-220-72	72	adverbs	there	1937	THERE
Dolch-1936-220-73	73	adverbs	today	1283	TODAY
Dolch-1936-220-74	74	adverbs	*together	2482	TOGETHER
Dolch-1936-220-75	75	adverbs	too		
Dolch-1936-220-76	76	adverbs	up	1591	UP
Dolch-1936-220-77	77	adverbs	very	1311	VERY
Dolch-1936-220-78	78	adverbs	*well	954	WELL
Dolch-1936-220-79	79	adverbs	when	1238	WHEN
Dolch-1936-220-80	80	adverbs	where	1237	WHERE
Dolch-1936-220-81	81	adverbs	why	1270	WHY
Dolch-1936-220-82	82	adverbs	yes	1268	YES
Dolch-1936-220-83	83	adjectives	a		
Dolch-1936-220-84	84	adjectives	all	98	ALL
Dolch-1936-220-85	85	adjectives	an		
Dolch-1936-220-86	86	adjectives	any		
Dolch-1936-220-87	87	adjectives	*best		
Dolch-1936-220-88	88	adjectives	*better		
Dolch-1936-220-89	89	adjectives	big	1202	BIG
Dolch-1936-220-90	90	adjectives	black	163	BLACK
Dolch-1936-220-91	91	adjectives	blue	837	BLUE
Dolch-1936-220-92	92	adjectives	both		
Dolch-1936-220-93	93	adjectives	brown	2409	BROWN
Dolch-1936-220-94	94	adjectives	*clean	704	CLEAN
Dolch-1936-220-95	95	adjectives	cold	1287	COLD
Dolch-1936-220-96	96	adjectives	*eight	1705	EIGHT
Dolch-1936-220-97	97	adjectives	every		
Dolch-1936-220-98	98	adjectives	*five	493	FIVE
Dolch-1936-220-99	99	adjectives	four	1500	FOUR
Dolch-1936-220-100	100	adjectives	full	1429	FULL
Dolch-1936-220-101	101	adjectives	funny		
Dolch-1936-220-102	102	adjectives	good	1035	GOOD
Dolch-1936-220-103	103	adjectives	green	1425	GREEN
Dolch-1936-220-104	104	adjectives	hot	1286	HOT
Dolch-1936-220-105	105	adjectives	kind	844	KIND (THING)
Dolch-1936-220-106	106	adjectives	*light	737	LIGHT (IGNITE)
Dolch-1936-220-107	107	adjectives	little	1246	SMALL
Dolch-1936-220-108	108	adjectives	long	1203	LONG
Dolch-1936-220-109	109	adjectives	many	1198	MANY
Dolch-1936-220-110	110	adjectives	new	1231	NEW
Dolch-1936-220-111	111	adjectives	old	1229	OLD
Dolch-1936-220-112	112	adjectives	one	1493	ONE
Dolch-1936-220-113	113	adjectives	*own		
Dolch-1936-220-114	114	adjectives	pretty	2410	GOOD-LOOKING
Dolch-1936-220-115	115	adjectives	red	156	RED
Dolch-1936-220-116	116	adjectives	right	1019	RIGHT
Dolch-1936-220-117	117	adjectives	round	1395	ROUND
Dolch-1936-220-118	118	adjectives	*seven	1704	SEVEN
Dolch-1936-220-119	119	adjectives	*six	1703	SIX
Dolch-1936-220-120	120	adjectives	small	1246	SMALL
Dolch-1936-220-121	121	adjectives	some	1241	SOME
Dolch-1936-220-122	122	adjectives	ten	1515	TEN
Dolch-1936-220-123	123	adjectives	the		
Dolch-1936-220-124	124	adjectives	three	492	THREE
Dolch-1936-220-125	125	adjectives	two	1498	TWO
Dolch-1936-220-126	126	adjectives	warm	1232	WARM
Dolch-1936-220-127	127	adjectives	white	1335	WHITE
Dolch-1936-220-128	128	adjectives	yellow	1424	YELLOW
Dolch-1936-220-129	129	verbs	am	1579	BE
Dolch-1936-220-130	130	verbs	are	1579	BE
Dolch-1936-220-131	131	verbs	ask	1309	ASK (INQUIRE)
Dolch-1936-220-132	132	verbs	ate	1336	EAT
Dolch-1936-220-133	133	verbs	be	1579	BE
Dolch-1936-220-134	134	verbs	been	1579	BE
