ID	NUMBER	IDS_KEY	ENGLISH	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
List-2020-1365-1069	1069	15-640	white	weiß	1335	WHITE
List-2020-1365-1070	1070	15-650	black	schwarz	163	BLACK
List-2020-1365-1071	1071	15-660	red	rot	156	RED
List-2020-1365-1072	1072	15-670	blue	blau	837	BLUE
List-2020-1365-1073	1073	15-680	green	green	1425	GREEN
List-2020-1365-1074	1074	15-690	yellow	gelb	1424	YELLOW
List-2020-1365-1075	1075	15-710	touch	berühren	1892	TOUCH
List-2020-1365-1076	1076	15-712	pinch	kneifen	378	PINCH
List-2020-1365-1077	1077	15-720	feel	fühlen	1079	FEEL
List-2020-1365-1078	1078	15-740	hard	hart	1884	HARD
List-2020-1365-1079	1079	15-750	soft	weich	1856	SOFT
List-2020-1365-1080	1080	15-760	rough	rauh (uneben)	1923	ROUGH
List-2020-1365-1081	1081	15-770	smooth	glatt	1234	SMOOTH
List-2020-1365-1082	1082	15-780	sharp	scharf	1396	SHARP
List-2020-1365-1083	1083	15-790	blunt, dull	stumpf	379	BLUNT
List-2020-1365-1084	1084	15-810	heavy	schwer	1210	HEAVY
List-2020-1365-1085	1085	15-820	light (in weight)	leicht	1052	LIGHT (WEIGHT)
List-2020-1365-1086	1086	15-830	wet, damp	nass	1726	WET
List-2020-1365-1087	1087	15-840	dry	trocken	1398	DRY
List-2020-1365-1088	1088	15-850	hot	heiß	1286	HOT
List-2020-1365-1089	1089	15-851	warm	warm	1232	WARM
List-2020-1365-1090	1090	15-860	cold	kalt	1287	COLD
List-2020-1365-1091	1091	15-870	clean	sauber	704	CLEAN
List-2020-1365-1092	1092	15-880	dirty, soiled	schmutzig	1230	DIRTY
List-2020-1365-1093	1093	15-890	wrinkled	faltig (runzelig)	380	WRINKLED
List-2020-1365-1094	1094	16-110	soul, spirit	die Seele	811	SOUL
List-2020-1365-1095	1095	16-150	surprised, astonished	überrascht	1572	SURPRISED
List-2020-1365-1096	1096	16-180	good fortune, luck	das Glück	720	GOOD LUCK
List-2020-1365-1097	1097	16-190	misfortune, bad luck	das Unglück	56	BAD LUCK
List-2020-1365-1098	1098	16-230	joyful, glad, happy	froh	1495	HAPPY
List-2020-1365-1099	1099	16-250	laugh	lachen	1355	LAUGH
List-2020-1365-1100	1100	16-251	smile	lächeln	1451	SMILE
List-2020-1365-1101	1101	16-260	play	spielen	1413	PLAY
List-2020-1365-1102	1102	16-270	love	die Liebe	3834	LOVE (AFFECTION)
List-2020-1365-1103	1103	16-270	love	lieben	923	LOVE
List-2020-1365-1104	1104	16-290	kiss	küssen	578	KISS
List-2020-1365-1105	1105	16-300	embrace	umarmen	928	EMBRACE
List-2020-1365-1106	1106	16-310	pain	der Schmerz	1783	PAIN
List-2020-1365-1107	1107	16-310	pain	leiden (weh tun)	2561	HURT (SENSE PAIN)
List-2020-1365-1108	1108	16-320	grief, sorrow, sadness	die Trauer	1668	GRIEF
List-2020-1365-1109	1109	16-330	anxiety, worry	die Sorge	1000	ANXIETY
List-2020-1365-1110	1110	16-340	regret, be sorry	bedauern	1875	REGRET
List-2020-1365-1111	1111	16-350	pity	das Mitleid	1141	PITY
List-2020-1365-1112	1112	16-370	cry, weep	weinen	1839	CRY
List-2020-1365-1113	1113	16-380	tear (noun)	die Träne	1651	TEAR (OF EYE)
List-2020-1365-1114	1114	16-390	groan	stöhnen	716	GROAN
List-2020-1365-1115	1115	16-410	hate	der Hass	3749	HATE (LOATHING)
List-2020-1365-1116	1116	16-410	hate	hassen	1607	HATE
List-2020-1365-1117	1117	16-420	anger	der Zorn	82	ANGER
List-2020-1365-1118	1118	16-440	envy, jealousy	der Neid	40	ENVY
List-2020-1365-1119	1119	16-440	envy, jealousy	die Eifersucht	2016	JEALOUSY
List-2020-1365-1120	1120	16-450	shame (noun)	die Scham	1776	SHAME
List-2020-1365-1121	1121	16-480	proud	stolz	174	PROUD
List-2020-1365-1122	1122	16-510	dare	wagen	1779	DARE
