ID	NUMBER	GERMAN	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	SEMANTIC_CATEGORY	TYPICALITY_MEAN	TYPICALITY_SD	AOA_MEAN	AOA_SD	FAMILIARITY_MEAN	FAMILIARITY_SD	FREQ_DLEX	FREQ_LOG10_DLEX	WORD_LENGTH_PHONEME	WORD_LENGTH_SYLLABLE
Schroeder-2012-824-1	1	Ameise	ant	ANT	587	animal	2.75	1.88832981062213	2	0.64888568452305	3.8	1.05630936457281	5.37920197936	0.730717851565	5	3
Schroeder-2012-824-2	2	Antilope	antelope	ANTELOPE	3674	animal	2.95	1.70061908232205	4	1.21395395733377	2.26315789473684	1.28418176556808	1.11998582245	0.0492125251074	8	4
Schroeder-2012-824-3	3	Dachs	badger	BADGER	3717	animal	2.85	1.8144159564879	3.6	1.04629672756119	2.65	1.18210338847862	2.42799846181	0.385248407268	4	1
Schroeder-2012-824-4	4	Fledermaus	bat	BAT	1793	animal	2.75	1.65035881266054	3.6	1.39170474787692	2.8	1.19648608323224	4.40636757884	0.644080723138	8	3
Schroeder-2012-824-5	5	Bär	bear	BEAR	1820	animal	1.2	0.894427190999916	1.75	0.850696309223401	3.25	1.33278497495796	10.3332998509	1.0142390319	3	1
Schroeder-2012-824-6	6	Biber	beaver	BEAVER	1194	animal	3.05	1.63755273117186	2.95	1.05006265477226	2.68421052631579	1.05686284083011	1.54508993024	0.188953762124	4	2
Schroeder-2012-824-7	7	Biene	bee	BEE	665	animal	2.36842105263158	1.89181060585383	1.9	0.718184846459608	4.05	0.825577947481896	11.6903629643	1.06782799542	4	2
Schroeder-2012-824-8	8	Käfer	beetle	BEETLE	2242	animal	3.10526315789474	1.91179778225468	1.7	0.656946685331786	3.5	1.10023920844036	5.83700640314	0.766190169727	4	2
Schroeder-2012-824-9	9	Raubkatze	big cat			animal	2.95	1.8202082009311	3.5	1.14707866935281	2.85	1.08942283125661	0.24525236988	-0.610386787329	7	3
Schroeder-2012-824-10	10	Bison	bison	BISON	3142	animal	3	1.89181060585383	4.8	1.10501250290616	2.05	1.19097483291276	0.703056793655	-0.153009590805	5	2
Schroeder-2012-824-11	11	Schwarzbär	black bear			animal	2.75	1.77334058829805	3.95	1.19097483291276	2.15	1.18210338847862	0.016350157992	-1.78647804638	8	2
Schroeder-2012-824-12	12	Braunbär	brown bear			animal	2.2	1.43636969291922	3.15	1.13670808176853	2.9	1.11921024787453	0.130801263936	-0.883388059393	7	2
Schroeder-2012-824-13	13	Büffel	buffalo	BUFFALO	934	animal	2.8	1.54238366446907	4.05	0.759154654516248	2.1	1.2096106376586	1.80669245811	0.256884231636	5	2
Schroeder-2012-824-14	14	Stier	bull	BULL	1008	animal	2.45	1.50350467767462	3.3	1.03109548284184	2.25	1.33278497495796	5.79613100816	0.763138193134	4	1
Schroeder-2012-824-15	15	Schmetterling	butterfly	BUTTERFLY	1791	animal	2.2	1.32188063797479	2.15	0.812727700887249	3.75	1.1180339887499	7.3493960174	0.866251649684	8	3
Schroeder-2012-824-16	16	Kamel	camel	CAMEL	1871	animal	1.9	1.2096106376586	2.55	0.825577947481896	2.75	1.1180339887499	2.73047638466	0.436238424763	5	2
Schroeder-2012-824-17	17	Feuerkäfer	Cardinal beetle			animal	4.875	1.7464249196573	4.57894736842105	1.50243467129871	1.70588235294118	0.985184366143778	0.00817507899599	-2.08750804205	7	4
Schroeder-2012-824-18	18	Katze	cat	CAT	1208	animal	1.1	0.447213595499958	1.35	0.489360484929593	4.1	1.25236618152663	19.3095365885	1.28577185123	4	2
Schroeder-2012-824-19	19	Chamäleon	chameleon	CHAMELEON	1555	animal	3.3	1.8093325317714	4.45	1.27630222456166	1.9	0.911909506128991	0.686706635663	-0.163228755987	8	4
Schroeder-2012-824-20	20	Gepard	cheetah	CHEETAH	3146	animal	2.8	1.82381901225798	4.35	1.38696943388321	2.47368421052632	1.34859684498089	0.2043769749	-0.689568033377	6	2
Schroeder-2012-824-21	21	Huhn	chicken	CHICKEN	1318	animal	1.8	1.64156536333625	1.6	0.502624689950034	4.5	0.688247201611685	11.9029150182	1.07565333293	3	1
Schroeder-2012-824-22	22	Schimpanse	chimpanzee	CHIMPANZEE	3734	animal	2.3	1.71985311490316	3.85	1.42441123571146	3.2	1.15165784392487	4.71702058069	0.673667771107	8	3
Schroeder-2012-824-23	23	Kobra	cobra			animal	3.3	1.71985311490316	4	1.62221421130763	2.25	1.01954582251634	0.32700315984	-0.485448050721	5	2
Schroeder-2012-824-24	24	Kuh	cow	COW	1007	animal	1.05	0.223606797749979	1.7	0.732695097065047	3.8	1.15165784392487	15.3200980385	1.1852615445	2	1
Schroeder-2012-824-25	25	Kojote	coyote	COYOTE	912	animal	3.66666666666667	1.97036873228756	5.9	1.11921024787453	2.05	1.05006265477226	0.12262618494	-0.911416782993	6	3
Schroeder-2012-824-26	26	Krebs	crab	CRAB	2348	animal	3.3	1.65751875435925	3.1	1.11921024787453	3.2	1.23969435961577	11.3388345674	1.05456841902	5	1
Schroeder-2012-824-27	27	Krokodil	crocodile	CROCODILE	1857	animal	2.45	1.90497962414852	2.95	1.43178210632764	2.75	1.37170658209707	3.0574795445	0.485363560152	8	3
Schroeder-2012-824-28	28	Hund	dog	DOG	2009	animal	1.2	0.894427190999916	1.4	0.598243041616119	4.15	0.988086934168085	59.6372012758	1.77551725418	4	1
Schroeder-2012-824-29	29	Delphin	dolphin	DOLPHIN	1479	animal	1.7	1.1742858972248	3.65	1.63111198750713	2.95	1.05006265477226	5.62445434924	0.750080396187	6	2
Schroeder-2012-824-30	30	Libelle	dragonfly	DRAGONFLY	2352	animal	3.57894736842105	1.64370142847322	3.85	1.56524758424985	3.15	1.38696943388321	1.81486753711	0.258844932402	6	3
Schroeder-2012-824-31	31	Dromedar	dromedary			animal	3.5	1.67332005306815	4.35	1.42441123571146	2.05	0.944513241388333	0.261602527872	-0.582358063729	7	3
Schroeder-2012-824-32	32	Ente	duck	DUCK	1360	animal	1.3	0.656946685331786	1.8	0.615587011251093	3.85	1.13670808176853	5.39555213736	0.732035893493	4	2
Schroeder-2012-824-33	33	Regenwurm	earthworm	EARTHWORM	2350	animal	3.05	1.8771478925557	2.45	0.6048053188293	3.3	1.30182058752551	2.06829498599	0.315612479127	9	3
Schroeder-2012-824-34	34	Aal	eel	FRESHWATER EEL	1013	animal	2.78947368421053	1.87317162316339	3.05	1.09904264559757	3	1.1697953037312	3.19645588743	0.504668715347	2	1
Schroeder-2012-824-35	35	Elefant	elephant	ELEPHANT	1290	animal	1.15	0.670820393249937	2.05	0.759154654516248	3.65	1.03998987849326	10.284249377	1.01217259906	7	3
Schroeder-2012-824-36	36	Elch	elk	ELK	1772	animal	2.35	1.30887657735053	3.95	1.09904264559757	2.9	1.25236618152663	0.564080450723	-0.248658951312	3	1
Schroeder-2012-824-37	37	Frettchen	ferret			animal	3.78947368421053	1.93157815064439	4.6	1.39170474787692	1.85	0.93330200448673	0.0899258689559	-1.04611535689	7	2
Schroeder-2012-824-38	38	Fisch	fish	FISH	227	animal	1.42105263157895	0.901590537370498	1.5	0.512989176042577	4.55	0.759154654516248	42.6575622011	1.62999603272	3	1
Schroeder-2012-824-39	39	Fuchs	fox	FOX	1312	animal	1.75	1.40955386745706	2.15	0.670820393249937	3.1	1.41048703794488	12.5650964168	1.09916582545	4	1
Schroeder-2012-824-40	40	Frosch	frog	FROG	503	animal	2.15	1.56524758424985	2.05	0.825577947481897	3.4	1.42902248518275	6.65451430274	0.82311636284	4	1
Schroeder-2012-824-41	41	Kreuzspinne	garden spider			animal	4.45	1.9324105480761	3.8	1.39924791829115	2.85	1.22581873821025	0.212552053896	-0.672534694078	9	3
Schroeder-2012-824-42	42	Gazelle	gazelle	GAZELLE	5	animal	3.1	1.77408241664603	4.8	1.00524937990007	2.42105263157895	1.30451308386114	0.694881714659	-0.158089116335	6	3
Schroeder-2012-824-43	43	Giraffe	giraffe	GIRAFFE	3089	animal	1.6	1.04629672756119	2.35	0.812727700887249	3	1.1697953037312	0.948309163535	-0.023050052822	6	3
Schroeder-2012-824-44	44	Ziege	goat	GOAT	1502	animal	1.85	1.26802789276975	2	0.561951486949016	3.45	1.05006265477226	5.98415782507	0.777003039009	4	2
Schroeder-2012-824-45	45	Gans	goose	GOOSE	1187	animal	1.2	0.410391340834062	1.9	0.640723275517187	3.85	1.13670808176853	9.63841813628	0.984005763046	4	1
Schroeder-2012-824-46	46	Meerschweinchen	guinea pig	GUINEA PIG	3718	animal	2.55	1.60509058606475	2.75	0.716350399411379	3.55	1.27630222456166	1.2262618494	0.0885832170067	10	3
Schroeder-2012-824-47	47	Hamster	hamster	HAMSTER	3147	animal	1.9	1.29370947686346	2.75	0.966545666958261	3.05	1.14593101656986	1.08728550647	0.0363435989181	6	2
Schroeder-2012-824-48	48	Hase	hare	HARE	1190	animal	1.35	0.93330200448673	1.7	0.656946685331786	3.8	1.15165784392487	8.21595439097	0.914658019708	4	2
Schroeder-2012-824-49	49	Igel	hedgehog	HEDGEHOG	1797	animal	1.95	1.23437604097225	1.95	0.510417785534041	3.5	1.10023920844036	2.15822085494	0.334095884821	4	2
Schroeder-2012-824-50	50	Nilpferd	hippopotamus	HIPPOPOTAMUS	3145	animal	2.7	1.34164078649987	3.6	1.27320565172283	2.4	1.31389337066357	0.825682978595	-0.0831866682663	7	2
Schroeder-2012-824-51	51	Pferd	horse	HORSE	615	animal	1.05	0.223606797749979	1.75	0.550119604220181	3.2	1.39924791829115	76.3061873486	1.8825597545	4	1
