NUMBER	ID	CONCEPT_IN_SOURCE	ENGLISH	ID_IN_SOURCE	SEMANTIC_CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
184	Kaufman-1973-1028-184	SPIT(TLE), SALIVA	SPIT(TLE), SALIVA	TK127	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1503	SALIVA
185	Kaufman-1973-1028-185	TO SPIT (iv)	TO SPIT (iv)	TK128	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1440	SPIT
186	Kaufman-1973-1028-186	LIP	LIP	TK129	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	478	LIP
187	Kaufman-1973-1028-187	TOOTH	TOOTH	TK130	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1380	TOOTH
188	Kaufman-1973-1028-188	TONGUE	TONGUE	TK131	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1205	TONGUE
189	Kaufman-1973-1028-189	JAW	JAW	TK132	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	798	JAW
190	Kaufman-1973-1028-190	CHIN	CHIN	TK133	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1510	CHIN
191	Kaufman-1973-1028-191	WHISKERS, FACE HAIR, BEARD, MUSTACHE	FACE HAIR, BEARD	TK134	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	678	BEARD
192	Kaufman-1973-1028-192	WHISKERS, FACE HAIR, BEARD, MUSTACHE	WHISKERS, MUSTACHE	TK134	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1165	MOUSTACHE
193	Kaufman-1973-1028-193	EAR	EAR	TK135	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1247	EAR
194	Kaufman-1973-1028-194	NECK	NECK	TK136	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1333	NECK
195	Kaufman-1973-1028-195	THROAT, GULLET	THROAT, GULLET	TK137	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1346	THROAT
196	Kaufman-1973-1028-196	KNEE	KNEE	TK138a	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1371	KNEE
197	Kaufman-1973-1028-197	TO KNEEL	TO KNEEL	TK138b	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	66	KNEEL
