NUMBER	ID	CONCEPT_IN_SOURCE	ENGLISH	ID_IN_SOURCE	SEMANTIC_CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
171	Kaufman-1973-1028-171	HEAD HAIR	HEAD HAIR	TK113	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	2648	HAIR (HEAD)
172	Kaufman-1973-1028-172	BODY HAIR	BODY HAIR	TK114	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	189	HAIR (BODY)
173	Kaufman-1973-1028-173	FUR	FUR	TK115	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	580	FUR
174	Kaufman-1973-1028-174	FOREHEAD	FOREHEAD	TK117	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	123	FOREHEAD
175	Kaufman-1973-1028-175	FACE	FACE	TK118	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1560	FACE
176	Kaufman-1973-1028-176	EYE	EYE	TK119	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1248	EYE
177	Kaufman-1973-1028-177	EYEBROW	EYEBROW	TK120	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1173	EYEBROW
178	Kaufman-1973-1028-178	EYELASH	EYELASH	TK121	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1540	EYELASH
179	Kaufman-1973-1028-179	TEAR (n)	TEAR (n)	TK122	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1651	TEAR (OF EYE)
180	Kaufman-1973-1028-180	NOSE	NOSE	TK123	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1221	NOSE
181	Kaufman-1973-1028-181	SNOT, MUCUS	SNOT, MUCUS	TK124	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	208	NASAL MUCUS (SNOT)
182	Kaufman-1973-1028-182	CHEEK	CHEEK	TK125	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	1730	CHEEK
183	Kaufman-1973-1028-183	MOUTH	MOUTH	TK126	ANIMALS AND HUMANS//BODY PARTS, PRODUCTS, AND PROCESSES	674	MOUTH
