ID	NUMBER	ENGLISH	DUTCH	INDONESIAN	JAPANESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Majid-2015-21-1	1	head	hoofd	kepala	頭	1256	HEAD
Majid-2015-21-2	2	neck	hals	leher	首	1333	NECK
Majid-2015-21-3	3	hand/arm		tangan		2121	ARM OR HAND
Majid-2015-21-4	4	hand	hand		手	1277	HAND
Majid-2015-21-5	5	arm	arm		腕	1673	ARM
Majid-2015-21-6	6	foot/leg		kaki	足	2098	FOOT OR LEG
Majid-2015-21-7	7	foot	voet			1301	FOOT
Majid-2015-21-8	8	leg	been			1297	LEG
Majid-2015-21-9	9	chest	borst	dada	胸	1592	CHEST
Majid-2015-21-10	10	belly	buik	perut	おなか	1251	BELLY
Majid-2015-21-11	11	waist		pinggang		1681	WAIST
Majid-2015-21-12	12	hip		pinggul		1745	HIP
Majid-2015-21-13	13	stomach	maag			819	STOMACH
Majid-2015-21-14	14	face	gezicht	muka	顔	1560	FACE
Majid-2015-21-15	15	eye	oog	mata	目	1248	EYE
Majid-2015-21-16	16	nose	neus	hidung	鼻	1221	NOSE
Majid-2015-21-17	17	mouth	mond	mulut	口	674	MOUTH
Majid-2015-21-18	18	ear	oor	telinga	耳	1247	EAR
Majid-2015-21-19	19	forehead	voorhoofd	dahi	ひたい	123	FOREHEAD
Majid-2015-21-20	20	chin	kin	dagu	あご	1510	CHIN
Majid-2015-21-21	21	cheek	wang	pipi	ほお	1730	CHEEK
