ID	NUMBER	ENGLISH	TUNISIANARABIC	NAME_AGREEMENT_PERCENT	PHONEMES_NUMBER	SYLLABLES_NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
Boukadi-2015-348-1	1	airplane	طيّارة	100	6	3	1597	AIRPLANE
Boukadi-2015-348-2	2	alligator	تِمسَاح	100	6	2	1581	ALLIGATOR
Boukadi-2015-348-3	3	bear	دِب	100	3	1	1820	BEAR
Boukadi-2015-348-4	4	bird	عصفور	100	6	2	937	BIRD
Boukadi-2015-348-5	5	book	كتاب	100	4	1	963	BOOK
Boukadi-2015-348-6	6	bottle	دبُّوزَهْ	100	7	3	1321	BOTTLE
Boukadi-2015-348-7	7	candle	شمعهْ	100	5	2	1273	CANDLE
Boukadi-2015-348-8	8	chair	كرسي	100	5	2	1476	CHAIR
Boukadi-2015-348-9	9	elephant	فِيلْ	100	3	1	1290	ELEPHANT
Boukadi-2015-348-10	10	eye	عِينْ	100	3	1	1248	EYE
Boukadi-2015-348-11	11	fish	حُوتَهْ	100	4	2	227	FISH
Boukadi-2015-348-12	12	giraffe	زرافهْ	100	6	3	3089	GIRAFFE
Boukadi-2015-348-13	13	glass	كاس	100	3	1	604	GLASS
Boukadi-2015-348-14	14	hand	يِدْ	100	3	1	1277	HAND
Boukadi-2015-348-15	15	horse	حصَانْ	100	4	1	615	HORSE
Boukadi-2015-348-16	16	iron	حديِدْ	100	4	1		
Boukadi-2015-348-17	17	key	مِفْتاح	100	6	2	1472	KEY
Boukadi-2015-348-18	18	monkey	قِرْد	100	4	1	1350	MONKEY
Boukadi-2015-348-19	19	mountain	جبَلْ	100	4	1	639	MOUNTAIN
Boukadi-2015-348-20	20	mouse	فَارْ	100	3	1	1491	MOUSE
Boukadi-2015-348-21	21	pants	سِرْوَالْ	100	6	2	809	TROUSERS
Boukadi-2015-348-22	22	refrigerator	ثَلَّاجَهْ	100	6	3	3952	REFRIGERATOR
Boukadi-2015-348-23	23	ruler	مَصْطرَا	100	6	2	3405	RULER
Boukadi-2015-348-24	24	shoe	صَبَّاطْ	100	5	2	1381	SHOE
Boukadi-2015-348-25	25	spoon	مغَرْفَهْ	100	6	2	1378	SPOON
Boukadi-2015-348-26	26	star	نِجْمَهْ	100	5	2	1430	STAR
Boukadi-2015-348-27	27	sun	شَمْس	100	4	1	1343	SUN
Boukadi-2015-348-28	28	table	طَاوْلَهْ	100	5	2	1775	TABLE
Boukadi-2015-348-29	29	watch	مُنْڨَالَةْ يِدْ	100	11	4	3349	WRISTWATCH
Boukadi-2015-348-30	30	tire	عَجْلهْ	100	5	2		
Boukadi-2015-348-31	31	palm tree	نَخْلَهْ	100	5	2	1181	PALM TREE
Boukadi-2015-348-32	32	apple	تُفّاحهْ	96	6	3	1320	APPLE
Boukadi-2015-348-33	33	arm	ذراع	96	4	1	1673	ARM
Boukadi-2015-348-34	34	ball	كُورَهْ	96	4	2	1845	BALL
Boukadi-2015-348-35	35	bicycle	بسكلات	96	7	2	747	BICYCLE
Boukadi-2015-348-36	36	camel	جمل	96	4	1	1871	CAMEL
Boukadi-2015-348-37	37	car	كرهبهْ	96	6	2	1111	CAR
