ID	NUMBER	ENGLISH	CONCEPT_IN_SOURCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	NORWEGIAN	NORWEGIAN_FREQUENCY	SWEDISH	SWEDISH_FREQUENCY	BORROWING	ANIMACY	MASS_NOUN	ABSTRACTNESS
Epps-2021-843-1	1	ZERO	0	3198	NOTHING OR ZERO	frimerke	3	frimärke	7	c	0	0	0
Epps-2021-843-2	2	24-HOUR PERIOD	24-HOUR PERIOD	1260	DAY (24 HOURS)	døgn, døger	--	dygn	57	c	0	0	1
Epps-2021-843-3	3	ADDRESS	ADDRESS	591	ADDRESS	adresse	18	adress	17	l	0	0	0
Epps-2021-843-4	4	ADULTERY	ADULTERY	902	ADULTERY	utruskap@	1	otrohet	4	l	0	x	1
Epps-2021-843-5	5	AFTERNOON	AFTERNOON 1 // AFTERNOON 2	1807	AFTERNOON	aftan, eftan / ettermiddag	4 / 108	afton / eftermiddag	16 / 35	c / c	0 / 0	0 / 0	1 / 1
Epps-2021-843-6	6	AGE	AGE	3974	AGE (EPOCH)	epoke	9	epok	40	l	0	1	1
Epps-2021-843-7	7	AIR	AIR	27	AIR	luft	71	luft	114	l	0	1	0
Epps-2021-843-8	8	AIRPLANE	AIRPLANE	1597	AIRPLANE	--	80	flygplan	92	l	0	0	0
Epps-2021-843-9	9	ALLIGATOR	ALLIGATOR	1581	ALLIGATOR	alligator	0	alligator	0	l	1	0	0
Epps-2021-843-10	10	ALTAR	ALTAR	853	ALTAR	altar, alter	12	altare	11	l	0	0	0
Epps-2021-843-11	11	AMBUSH	AMBUSH	65	AMBUSH	bakhald	3	bakhåll	2	c	0	1	1
Epps-2021-843-12	12	ANCESTORS	ANCESTORS	1669	ANCESTORS	forfader	0	förfader	16	c	1	1	0
Epps-2021-843-13	13	ANCHOR	ANCHOR	1870	ANCHOR	anker	1	ankare	1	l	0	0	0
Epps-2021-843-14	14	ANGER	ANGER 1 // ANGER 2 // ANGER 3	82	ANGER	ilske / sinne / vreide	0 / 0 / 1	ilska / -- / vrede	1 / -- / 13	c / l / c	0 / 0 / 0	x / x / x	1 / 1 / 1
Epps-2021-843-15	15	ANIMAL	ANIMAL	619	ANIMAL	dyr	97	djur	100	c	1	0	0
Epps-2021-843-16	16	ANKLE	ANKLE	803	ANKLE	ankel; okle	0	ankel	0	c	0	0	0
Epps-2021-843-17	17	ANT	ANT	587	ANT	maur	12	myra	3	c	1	1	0
Epps-2021-843-18	18	ANVIL	ANVIL	1648	ANVIL	ste	0	städ	0	c	0	0	0
Epps-2021-843-19	19	ANXIETY	ANXIETY 1 // ANXIETY 2 // ANXIETY 3	1000	ANXIETY	-- / uro / otte	-- / 42 / 16	ängslan@ / oro / --	10 / 63 / --	c / c / c	0 / 0 / 0	x / x / x	1 / 1 / 1
Epps-2021-843-20	20	ARCH	ARCH 1 // ARCH 2	876	ARCH	kvelv / boge	1 / 11	valv / båge	15 / 7	c / c	0 / 0	0 / 0	0 / 0
Epps-2021-843-21	21	ARCTIC LIGHTS	ARCTIC LIGHTS 1 // ARCTIC LIGHTS 2	261	ARCTIC LIGHTS	nordlys / skin	0 / 3	nordljus, norrljus / norrsken	0 / 0	c / c	0 / 0	1 / 1	0 / 0
Epps-2021-843-22	22	ARM	ARM	1673	ARM	arm	109	arm	40	c	0	0	0
Epps-2021-843-23	23	ARMOUR	ARMOUR	1061	ARMOUR	rustning	1	rustning	8	l	0	1	0
Epps-2021-843-24	24	ARMPIT	ARMPIT	1886	ARMPIT	armhole	1	armhåla	1	c	0	0	0
Epps-2021-843-25	25	ARMY	ARMY 1 // ARMY 2	1561	ARMY	armé / hær	1 / 33	armé / här	62 / 7	l / c	0 / 0	1 / 1	0 / 0
Epps-2021-843-26	26	ARROW	ARROW	977	ARROW	pil	2	pil	5	c	0	0	0
Epps-2021-843-27	27	ARSON	ARSON	1889	ARSON	mordbrann	53	mordbrand	15	c	0	x	0
Epps-2021-843-28	28	ASH	ASH	646	ASH	oske	12	aska	2	c	0	1	0
Epps-2021-843-29	29	ATTACK	ATTACK 1 // ATTACK 2	722	ATTACK	anfall / angrep	1 / 17	anfall / angrepp	31 / 41	l / l	0 / 0	1 / 1	0 / 0
Epps-2021-843-30	30	AUCTION	AUCTION			auksjon	--	auktion	--	l	0	0	1
Epps-2021-843-31	31	AUTUMN/FALL	AUTUMN/FALL	1280	FALL	haust	309	höst	196	c	0	1	1
Epps-2021-843-32	32	AWL	AWL	278	AWL	syl	0	syl	0	c	0	0	0
Epps-2021-843-33	33	AXE/AX	AXE/AX	677	AXE	øks	6	yxa	5	c	0	0	0
