ID	NUMBER	SWEDISH	ENGLISH	SEMANTIC_CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Blomberg-2020-160-1	1	ekorre	squirrel	specific	1628	SQUIRREL
Blomberg-2020-160-2	2	banan	banana	specific	868	BANANA
Blomberg-2020-160-3	3	träd	tree	specific	906	TREE
Blomberg-2020-160-4	4	hammare	hammer	specific	1481	HAMMER
Blomberg-2020-160-5	5	paraply	umbrella	specific	3105	UMBRELLA
Blomberg-2020-160-6	6	bil	car	specific	1111	CAR
Blomberg-2020-160-7	7	bord	table	specific	1775	TABLE
Blomberg-2020-160-8	8	kvinna	woman	specific	962	WOMAN
Blomberg-2020-160-9	9	pistol	gun	specific	1566	GUN
Blomberg-2020-160-10	10	plast	plastic	specific	654	PLASTIC
Blomberg-2020-160-11	11	kaffe	coffee	specific	1299	COFFEE
Blomberg-2020-160-12	12	tårta	cake	specific	2408	CAKE
Blomberg-2020-160-13	13	potatis	potato	specific	593	POTATO
Blomberg-2020-160-14	14	hus	house	specific	1252	HOUSE
Blomberg-2020-160-15	15	peppar	pepper	specific	1385	PEPPER
Blomberg-2020-160-16	16	dator	computer	specific	3086	COMPUTER
Blomberg-2020-160-17	17	majs	corn	specific	506	MAIZE
Blomberg-2020-160-18	18	skalbagge	beetle	specific	2242	BEETLE
Blomberg-2020-160-19	19	boll	ball	specific	1845	BALL
Blomberg-2020-160-20	20	soppa	soup	specific	1547	SOUP
Blomberg-2020-160-21	21	jeans	jeans	specific		
Blomberg-2020-160-22	22	klocka	clock	specific	1323	CLOCK
Blomberg-2020-160-23	23	flaska	flask	specific		
Blomberg-2020-160-24	24	mjölk	milk	specific	635	MILK
Blomberg-2020-160-25	25	cykel	bicycle	specific	747	BICYCLE
Blomberg-2020-160-26	26	telefon	telephone	specific	1379	TELEPHONE
Blomberg-2020-160-27	27	flygplan	airplane	specific	1597	AIRPLANE
Blomberg-2020-160-28	28	elefant	elephant	specific	1290	ELEPHANT
Blomberg-2020-160-29	29	tavla	painting	specific	3303	PICTURE (PAINTING)
Blomberg-2020-160-30	30	torg	market	specific	633	MARKET
Blomberg-2020-160-31	31	diamant	diamond	specific		
