ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Miller-1984-100-1	1	no	not, no	1240	NOT
Miller-1984-100-2	2	muchos	many	1198	MANY
Miller-1984-100-3	3	uno	one	1493	ONE
Miller-1984-100-4	4	dos	two	1498	TWO
Miller-1984-100-5	5	grande	big	1202	BIG
Miller-1984-100-6	6	viejo	old	1229	OLD
Miller-1984-100-7	7	chico	small	1246	SMALL
Miller-1984-100-8	8	largo	long	1203	LONG
Miller-1984-100-9	9	nuevo	new	1231	NEW
Miller-1984-100-10	10	bueno	good	1035	GOOD
Miller-1984-100-11	11	pesado	heavy	1210	HEAVY
Miller-1984-100-12	12	seco	dry	1398	DRY
Miller-1984-100-13	13	frío	cold	1287	COLD
Miller-1984-100-14	14	caliente	hot	1286	HOT
Miller-1984-100-15	15	mujer	woman	962	WOMAN
Miller-1984-100-16	16	hombre	man	1554	MAN
Miller-1984-100-17	17	gente	person	683	PERSON
Miller-1984-100-18	18	pez	fish	227	FISH
Miller-1984-100-19	19	pájaro	bird	937	BIRD
Miller-1984-100-20	20	perro	dog	2009	DOG
Miller-1984-100-21	21	piojo	louse	1392	LOUSE
Miller-1984-100-22	22	culebra, víbora	snake	730	SNAKE
Miller-1984-100-23	23	árbol, palo	tree	906	TREE
Miller-1984-100-24	24	corteza, cascara	bark	1204	BARK
Miller-1984-100-25	25	hoja	leaf	628	LEAF
Miller-1984-100-26	26	ráiz	root	670	ROOT
Miller-1984-100-27	27	semilla	seed	714	SEED
Miller-1984-100-28	28	sangre	blood	946	BLOOD
Miller-1984-100-29	29	carne	meat	634	MEAT
Miller-1984-100-30	30	piel	skin	763	SKIN
Miller-1984-100-31	31	hueso	bone	1394	BONE
Miller-1984-100-32	32	grasa	grease	1282	FAT (FROM ANIMALS)
Miller-1984-100-33	33	huevo	egg	744	EGG
Miller-1984-100-34	34	cuerno	horn	1393	HORN (ANATOMY)
Miller-1984-100-35	35	cola	tail	1220	TAIL
Miller-1984-100-36	36	pluma	feather	1201	FEATHER
Miller-1984-100-37	37	cabello	hair	2648	HAIR (HEAD)
Miller-1984-100-38	38	cabeza	head	1256	HEAD
Miller-1984-100-39	39	oreja	ear	1247	EAR
Miller-1984-100-40	40	ojo	eye	1248	EYE
Miller-1984-100-41	41	nariz	nose	1221	NOSE
Miller-1984-100-42	42	boca	mouth	674	MOUTH
Miller-1984-100-43	43	diente	tooth	1380	TOOTH
Miller-1984-100-44	44	lengua	tongue	1205	TONGUE
Miller-1984-100-45	45	garra, uña	claw, nail	2128	CLAW OR NAIL
Miller-1984-100-46	46	pie	foot	1301	FOOT
Miller-1984-100-47	47	rodilla	knee	1371	KNEE
Miller-1984-100-48	48	mano	hand	1277	HAND
Miller-1984-100-49	49	barriga, panza	belly	1251	BELLY
Miller-1984-100-50	50	ombligo	belly button	1838	NAVEL
Miller-1984-100-51	51	cuello	neck	1333	NECK
Miller-1984-100-52	52	teta, chichi, pecho	breasts	1402	BREAST
Miller-1984-100-53	53	corazón	heart	1223	HEART
Miller-1984-100-54	54	hígado	liver	1224	LIVER
Miller-1984-100-55	55	beber, tomar	drink	1401	DRINK
Miller-1984-100-56	56	comer	eat	1336	EAT
Miller-1984-100-57	57	morder	bite	1403	BITE
Miller-1984-100-58	58	vomitar, arrojar	vomit	1278	VOMIT
Miller-1984-100-59	59	ver	see	1409	SEE
Miller-1984-100-60	60	oír	hear	1408	HEAR
Miller-1984-100-61	61	saber	know	1410	KNOW (SOMETHING)
Miller-1984-100-62	62	dormir	sleep	1585	SLEEP
Miller-1984-100-63	63	morir	die	1494	DIE
Miller-1984-100-64	64	matar	kill	1417	KILL
Miller-1984-100-65	65	volar	fly (v)	1441	FLY (MOVE THROUGH AIR)
Miller-1984-100-66	66	andar	walk (v)	1443	WALK
Miller-1984-100-67	67	venir	come	1446	COME
Miller-1984-100-68	68	acostado	lie (v)	1411	LIE (REST)
Miller-1984-100-69	69	sentado	sit	1416	SIT
Miller-1984-100-70	70	parado	stand	1442	STAND
Miller-1984-100-71	71	dar	give	1447	GIVE
Miller-1984-100-72	72	cantar	sing	1261	SING
Miller-1984-100-73	73	sol	sun	1343	SUN
Miller-1984-100-74	74	luna	moon	1313	MOON
Miller-1984-100-75	75	estrella	star	1430	STAR
Miller-1984-100-76	76	cielo	sky	1732	SKY
Miller-1984-100-77	77	agua	water	948	WATER
Miller-1984-100-78	78	viento	wind	960	WIND
Miller-1984-100-79	79	lluvia	rain (n)	658	RAIN (PRECIPITATION)
Miller-1984-100-80	80	nieve	snow (n)	784	SNOW
Miller-1984-100-81	81	piedra	stone	857	STONE
Miller-1984-100-82	82	arena	sand	671	SAND
Miller-1984-100-83	83	tierra	earth	1228	EARTH (SOIL)
Miller-1984-100-84	84	sal	salt	1274	SALT
Miller-1984-100-85	85	nube	cloud	1489	CLOUD
