ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOSS_IN_DIGITAL_SOURCE
Huber-1992-375-316	323	si	if	1459	IF	SI_IF
Huber-1992-375-317	64	sol	sun	1343	SUN	SOL_SUN
Huber-1992-375-318	193	sonahero, maraca	rattle	300	RATTLE	SONAJERO, MARACA_RATTLE
Huber-1992-375-319	365	soplar	blow	175	BLOW (OF WIND)	SOPLAR_BLOW
Huber-1992-375-320	368	sostener	hold	1448	HOLD	SOSTENER_HOLD
Huber-1992-375-321	216	su arco - de él	his bow			SU ARCO - DE ELLOS_THEIR BOW
Huber-1992-375-322	219	su arco - de ellos	their bow			SU ARCO - DE ÉL_HIS BOW
Huber-1992-375-323	218	su arco de ustedes	your (plur.) bow			SU ARCO DE USTEDES_YOUR (PLUR.) BOW
Huber-1992-375-324	210	su mano	his hand			SU MANO_HIS HAND
Huber-1992-375-325	340	sucio	dirty	1230	DIRTY	SUCIO_DIRTY
Huber-1992-375-326	213	sus manos (de ellos)	their hands			SUS MANOS (DE ELLOS)_THEIR HANDS
Huber-1992-375-327	165	tabaco	tobacco	974	TOBACCO	TABACO_TOBACCO
Huber-1992-375-328	194	tambor	drum	908	DRUM	TAMBOR_DRUM
Huber-1992-375-329	76	techo	roof	769	ROOF	TECHO_ROOF
Huber-1992-375-330	366	temer	fear	1419	FEAR (BE AFRAID)	TEMER_FEAR
Huber-1992-375-331	15	teta, seno, pechos	woman's breasts	1402	BREAST	TETA, SENO, PECHO_WOMAN’S BREASTS
Huber-1992-375-332	72	tierra	earth	1228	EARTH (SOIL)	TIERRA_EARTH
Huber-1992-375-333	98	tigre	jaguar	1250	JAGUAR	TIGRE_JAGUAR
Huber-1992-375-334	261	todos	all	98	ALL	TODOS_ALL
Huber-1992-375-335	113	tortuga	tortoise	895	TORTOISE	TORTUGA, MOTELO_RIVER TURTLE
Huber-1992-375-336	114	tortuga, motelo	river turtle	112	TURTLE	TORTUGA_TORTOISE
Huber-1992-375-337	183	tres	three	492	THREE	TRES_THREE
Huber-1992-375-338	69	trueno	thunder	1150	THUNDER	TRUENO_THUNDER
Huber-1992-375-339	215	tu arco	your (sing.) bow			TU ARCO_YOUR (SING.) BOW
Huber-1992-375-340	209	tu mano	your hand			TU MANO_YOUR HAND
Huber-1992-375-341	130	tucán	toucan	308	TOUCAN	TUCÁN, PINSHA_TOUCAN
Huber-1992-375-342	192	último	last	1529	LAST (FINAL)	ÚLTIMO_LAST
Huber-1992-375-343	24	uña	fingernail	1258	FINGERNAIL	UÑA_FINGERNAIL
Huber-1992-375-344	271	uña	fingernail, claw	2128	CLAW OR NAIL	UÑA, GARRA_FINGERNAIL, CLAW
Huber-1992-375-345	181	uno	one	1493	ONE	UNO_ONE
Huber-1992-375-346	201	usted	you (singular)	1215	THOU	USTED_YOU (SINGULAR)
Huber-1992-375-347	206	ustedes	you (plural)	1213	YOU	USTEDES_YOU (PLURAL)
Huber-1992-375-348	39	varón	male	1553	MALE	VARÓN_MALE
Huber-1992-375-349	228	vaya, ve!	go!			VAYA, VE_GO
Huber-1992-375-350	229	ven!	come!			VEN_COME
Huber-1992-375-351	102	venado	deer	1936	DEER	VENADO_DEER
Huber-1992-375-352	286	venir	come	1446	COME	VENIR_COME
Huber-1992-375-353	277	ver	see	1409	SEE	VER_SEE
Huber-1992-375-354	295	verde	green	1425	GREEN	VERDE_GREEN
Huber-1992-375-355	246	viejita	old woman	907	OLD WOMAN	VIEJITA_OLD WOMAN
Huber-1992-375-356	47	viejo	old	406	OLD MAN	VIEJO_OLD
Huber-1992-375-357	347	viejo	old man	1229	OLD	VIEJO_OLD MAN
Huber-1992-375-358	63	viento	wind	960	WIND	VIENTO_WIND
Huber-1992-375-359	16	vientre, abdomen	abdomen, belly	1251	BELLY	VIENTRE, ABDOMEN_ABDOMEN, BELLY
Huber-1992-375-360	373	vivo	alive	1422	BE ALIVE	VIVO_ALIVE
Huber-1992-375-361	284	volar	fly	1441	FLY (MOVE THROUGH AIR)	VOLAR_FLY
Huber-1992-375-362	363	vomitar	vomit	1278	VOMIT	VOMITAR_VOMIT
Huber-1992-375-363	212	vuestras manos	your (plur.) hands			VUESTRAS MANOS_YOUR (PLUR.) HANDS
Huber-1992-375-364	37	vulva	vulva	1837	VULVA	VULVA_VULVA
Huber-1992-375-365	200	yo, mi	I	1209	I	YO_I
Huber-1992-375-366	163	yuca	manioc	925	CASSAVA	YUCA_MANIOC
Huber-1992-375-367	144	zancudo	mosquito	1509	MOSQUITO	ZANCUDO_MOSQUITO
