ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOSS_IN_DIGITAL_SOURCE
Huber-1992-375-62	55	catarata, raudal	rapids	1670	RAPIDS	CATARATA, RAUDAL_RAPIDS
Huber-1992-375-63	81	catre, cama de barbacoa	bed	1663	BED	CATRE, CAMA DE BARBACOA_BED
Huber-1992-375-64	355	cavar	dig	1418	DIG	CAVAR_DIG
Huber-1992-375-65	57	ceniza	ash	646	ASH	CENIZA_ASH
Huber-1992-375-66	96	cerbatana	blowgun	432	BLOWGUN	CERBATANA_BLOWGUN
Huber-1992-375-67	333	cerca	near	1942	NEAR	CERCA_NEAR
Huber-1992-375-68	151	cerro, loma	hill	614	HILL	CERRO, LOMA_HILL
Huber-1992-375-69	180	chicha, masato	chicha	441	CHICHA	CHICHA, MASATO_CHICHA
Huber-1992-375-70	108	chigüiro, ronsoco	capybara	314	CAPYBARA	CHIGÜIRO, RONSOCO_CAPYBARA
Huber-1992-375-71	175	chonta	chonta palm	440	CHONTA PALM	CHONTA_CHONTA PALM
Huber-1992-375-72	364	chupar	suck	1421	SUCK	CHUPAR_SUCK
Huber-1992-375-73	61	cielo	sky	1732	SKY	CIELO_SKY
Huber-1992-375-74	185	cinco	five	493	FIVE	CINCO_FIVE
Huber-1992-375-75	172	coca	coca	137	COCA	COCA_COCA
Huber-1992-375-76	21	codo	elbow	981	ELBOW	CODO_ELBOW
Huber-1992-375-77	121	cola	tail	1220	TAIL	COLA_TAIL
Huber-1992-375-78	230	come!	eat!			COME_EAT
Huber-1992-375-79	145	comején, hormiga blanca	termite	883	TERMITE	COMEJÉN, HORMIGA BLANCA_TERMITE
Huber-1992-375-80	275	comer	eat	1336	EAT	COMER_EAT
Huber-1992-375-81	302	cómo	how	1239	HOW	COMO_HOW
Huber-1992-375-82	320	con	with	1340	WITH	CON_WITH
Huber-1992-375-83	125	coral	coral snake	2240	CORAL SNAKE	CORAL_CORAL SNAKE
Huber-1992-375-84	34	corazón	heart	1223	HEART	CORAZÓN_HEART
Huber-1992-375-85	233	corona	crown of head	1943	CROWN (OF HEAD)	CORONA_CROWN OF HEAD
Huber-1992-375-86	344	correcto	correct	1725	CORRECT (RIGHT)	CORRECTO_CORRECT
Huber-1992-375-87	329	cortar	cut	1432	CUT	CORTAR_CUT
Huber-1992-375-88	264	corteza	bark	1204	BARK	CORTEZA_BARK
Huber-1992-375-89	336	corto	short	1645	SHORT	CORTO_SHORT
Huber-1992-375-90	357	coser	sew	1457	SEW	COSER_SEW
Huber-1992-375-91	46	criatura	baby, infant	1289	BABY	CRIATURA_BABY, INFANT
Huber-1992-375-92	303	cuándo	when	1238	WHEN	CUANDO_WHEN
Huber-1992-375-93	184	cuatro	four	1500	FOUR	CUATRO_FOUR
Huber-1992-375-94	89	cuchillo	knife	1352	KNIFE	CUCHILLO_KNIFE
Huber-1992-375-95	13	cuello	neck	1333	NECK	CUELLO_NECK
Huber-1992-375-96	374	cuerda	rope	1218	ROPE	CUERDA_ROPE
Huber-1992-375-97	269	cuerno	horn	1393	HORN (ANATOMY)	CUERNO_HORN
Huber-1992-375-98	198	curandero	shaman, folk healer	394	SHAMAN (FOLK HEALER)	CURANDERO_SHAMAN, FOLK HEALER
Huber-1992-375-99	195	cushma	cushma	450	CUSHMA	CUSHMA_CUSHMA
Huber-1992-375-100	97	danta	tapir	312	TAPIR	DANTA_TAPIR
