ID	NUMBER	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	POS	TBL_ENGLISH
Huang-1992-1820-1	1	sky	天	1732	SKY	n	sky
Huang-1992-1820-2	2	sun	太阳	1343	SUN	n	sun
Huang-1992-1820-3	3	light	光	630	LIGHT (RADIATION)	n	light
Huang-1992-1820-4	4	moon	月亮	1313	MOON	n	moon
Huang-1992-1820-5	5	star	星星	1430	STAR	n	star
Huang-1992-1820-6	6	weather	天气	952	WEATHER	n	weather
Huang-1992-1820-7	7	cloud	云	1489	CLOUD	n	cloud
Huang-1992-1820-8	8	thunder	雷	1150	THUNDER	n	thunder
Huang-1992-1820-9	9	wind	风	960	WIND	n	wind
Huang-1992-1820-10	10	rain	雨	658	RAIN (PRECIPITATION)	n	rain
Huang-1992-1820-11	11	rainbow	虹	1733	RAINBOW	n	rainbow
Huang-1992-1820-12	12	snow	雪	784	SNOW	n	snow
Huang-1992-1820-13	13	hail	雹子	609	HAIL	n	hail
Huang-1992-1820-14	14	frost	霜	2034	FROST	n	frost
Huang-1992-1820-15	15	dew	露水	1977	DEW	n	dew
Huang-1992-1820-16	16	fog	雾	249	FOG	n	fog
Huang-1992-1820-17	17	ice	冰	617	ICE	n	ice
Huang-1992-1820-18	18	fire	火	221	FIRE	n	fire
Huang-1992-1820-19	19	smoke	烟(火~)	778	SMOKE (EXHAUST)	n	smoke
Huang-1992-1820-20	20	air; breath	气	27	AIR	n	air; breath
Huang-1992-1820-21	21	steam	蒸汽	1193	STEAM	n	steam
Huang-1992-1820-22	22	earth / ground	地	2159	GROUND	n	earth / ground
Huang-1992-1820-23	23	hill / mountain	山	639	MOUNTAIN	n	hill / mountain
Huang-1992-1820-24	24	hillside / mountain slope	山坡	3076	SLOPE	n	hillside / mountain slope
Huang-1992-1820-25	25	valley	山谷	921	VALLEY	n	valley
Huang-1992-1820-26	26	cliff	悬崖	992	CLIFF	n	cliff
Huang-1992-1820-27	27	rock	岩石	668	ROCK	n	rock
