ID	NUMBER	ENGLISH	SPANISH	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS	LEXIBANK_GLOSS
Chacon-2017-129-69	69	noche	night	basic/cultural	1233	NIGHT	NOCHE_NIGHT
Chacon-2017-129-70	70	nombre	name	basic/cultural	1405	NAME	NOMBRE_NAME
Chacon-2017-129-71	71	nuevo	new	basic/cultural	1231	NEW	NUEVO_NEW
Chacon-2017-129-72	72	ojo	eye	basic/cultural	1248	EYE	OJO_EYE
Chacon-2017-129-73	73	oreja	ear	basic/cultural	1247	EAR	OREJA_EAR
Chacon-2017-129-74	74	orejera, arete	ear ornament	cultural			OREJERA//ARETE_EAR ORNAMENT
Chacon-2017-129-75	75	oso hormiguero	anteater	cultural	181	ANTEATER	OSO HORMIGUERO_ANTEATER
Chacon-2017-129-76	76	oír	hear	basic/cultural	1408	HEAR	OÍR_HEAR
Chacon-2017-129-77	77	paca, guagua, majas	paca	cultural	316	PACA	PACA//GUAGUA//MAJAS_PACA
Chacon-2017-129-78	78	padre	father	cultural	1217	FATHER	PADRE_FATHER
Chacon-2017-129-79	79	pantano	swamp	cultural	1145	SWAMP	PANTANO_SWAMP
Chacon-2017-129-80	80	pava de monte	guan	cultural	437	GUAN	PAVA DE MONTE_GUAN
Chacon-2017-129-81	81	payo	curassow	cultural	315	CURASSOW	PAYO_CURASSOW
Chacon-2017-129-82	82	perico, pihuicho	parakeet	cultural	886	PARAKEET	PERICO//PIHUICHO_PARAKEET
Chacon-2017-129-83	83	perro	dog	basic/cultural	2009	DOG	PERRO_DOG
Chacon-2017-129-84	84	pescado	fish	basic/cultural	227	FISH	PESCADO_FISH
Chacon-2017-129-85	85	picaflor, colibrí	hummingbird	cultural	1589	HUMMINGBIRD	PICAFLOR//COLIBRÍ_HUMMINGBIRD
Chacon-2017-129-86	86	piedra	stone	basic/cultural	857	STONE	PIEDRA_STONE
Chacon-2017-129-87	87	piel	skin	basic/cultural	763	SKIN	PIEL_SKIN
Chacon-2017-129-88	88	piojo	louse	basic/cultural	1392	LOUSE	PIOJO_LOUSE
Chacon-2017-129-89	89	pluma	feather	cultural	1201	FEATHER	PLUMA_FEATHER
Chacon-2017-129-90	90	plátano	plantain	cultural	399	PLANTAIN	PLÁTANO_PLANTAIN
Chacon-2017-129-91	91	porra, macana	club	cultural	1763	CLUB	PORRA//MACANA_CLUB
Chacon-2017-129-92	92	pulga	flea	cultural	232	FLEA	PULGA_FLEA
Chacon-2017-129-93	93	quebrada, caño	stream	cultural			QUEBRADA//CAÑO_STREAM
Chacon-2017-129-94	94	red	fish net	cultural	388	FISHNET	RED_FISH NET
Chacon-2017-129-95	95	remo	paddle	cultural	3137	OAR	REMO_PADDLE
Chacon-2017-129-96	96	rodilla	knee	basic/cultural	1371	KNEE	RODILLA_KNEE
Chacon-2017-129-97	97	río	river	cultural	666	RIVER	RÍO_RIVER
Chacon-2017-129-98	98	sal	salt	cultural	1274	SALT	SAL_SALT
Chacon-2017-129-99	99	sangre	blood	basic/cultural	946	BLOOD	SANGRE_BLOOD
Chacon-2017-129-100	100	saíno	collared peccary	cultural	435	COLLARED PECCARY	SAÍNO_COLLARED PECCARY
Chacon-2017-129-101	101	sementera de maíz	corn field	cultural	449	CORN FIELD	SEMENTERA DE MAÍZ_CORN FIELD
Chacon-2017-129-102	102	semilla	seed	cultural	714	SEED	SEMILLA_SEED
Chacon-2017-129-103	103	serpiente, culebra	snake	cultural	730	SNAKE	SERPIENTE//CULEBRA_SNAKE
Chacon-2017-129-104	104	sol	sun	basic/cultural	1343	SUN	SOL_SUN
Chacon-2017-129-105	105	sonajero, maraca	rattle	cultural	300	RATTLE	SONAJERO//MARACA_RATTLE
Chacon-2017-129-106	106	soplar	blow	cultural	175	BLOW (OF WIND)	SOPLAR_BLOW
Chacon-2017-129-107	107	tabaco	tobacco	cultural	974	TOBACCO	TABACO_TOBACCO
Chacon-2017-129-108	108	tambor	drum	cultural	908	DRUM	TAMBOR_DRUM
Chacon-2017-129-109	109	techo	roof	cultural	769	ROOF	TECHO_ROOF
Chacon-2017-129-110	110	teta, seno, pecho	woman’s breasts	basic/cultural	1402	BREAST	TETA//SENO//PECHO_WOMAN’S BREASTS
Chacon-2017-129-111	111	tierra	earth	cultural	1228	EARTH (SOIL)	TIERRA_EARTH
Chacon-2017-129-112	112	tigre	jaguar	cultural	1250	JAGUAR	TIGRE_JAGUAR
Chacon-2017-129-113	113	tortuga	tortoise	cultural	895	TORTOISE	TORTUGA_TORTOISE
Chacon-2017-129-114	114	tortuga, motelo	river turtle	cultural	112	TURTLE	TORTUGA//MOTELO_RIVER TURTLE
Chacon-2017-129-115	115	trocha	path	basic/cultural	2252	PATH	TROCHA_PATH
Chacon-2017-129-116	116	tucán, pinsha	toucan	cultural	308	TOUCAN	TUCÁN//PINSHA_TOUCAN
Chacon-2017-129-117	117	uno	one	basic/cultural	1493	ONE	UNO_ONE
Chacon-2017-129-118	118	usted	you (singular)	basic/cultural	1215	THOU	USTED_YOU (SINGULAR)
Chacon-2017-129-119	119	ustedes	you (plural)	basic/cultural	1213	YOU	USTEDES_YOU (PLURAL)
Chacon-2017-129-120	120	uña, garra	fingernail, claw	cultural	2128	CLAW OR NAIL	UÑA//GARRA_FINGERNAIL//CLAW
Chacon-2017-129-121	121	venado	deer	cultural	1936	DEER	VENADO_DEER
Chacon-2017-129-122	122	venir	come	basic/cultural	1446	COME	VENIR_COME
Chacon-2017-129-123	123	ver	see	basic/cultural	1409	SEE	VER_SEE
Chacon-2017-129-124	124	viejo	old man	cultural	406	OLD MAN	VIEJO_OLD MAN
Chacon-2017-129-125	125	yo	i	basic/cultural	1209	I	YO_I
Chacon-2017-129-126	126	yuca	manioc	cultural	925	CASSAVA	YUCA_MANIOC
Chacon-2017-129-127	127	zancudo	mosquito	cultural	1509	MOSQUITO	ZANCUDO_MOSQUITO
Chacon-2017-129-128	128	árbol	tree	basic/cultural	906	TREE	ÁRBOL_TREE
Chacon-2017-129-129	129	ñame	yam	cultural	410	YAM	ÑAME_YAM
