ID	NUMBER	ENGLISH	SPANISH	CATEGORY	CONCEPTICON_ID	CONCEPTICON_GLOSS	LEXIBANK_GLOSS
Chacon-2017-129-1	1	abeja	bee	cultural	665	BEE	ABEJA_BEE
Chacon-2017-129-2	2	achiote, bija	achiote	cultural	349	ACHIOTE	ACHIOTE//BIJA_ACHIOTE
Chacon-2017-129-3	3	agua	water	basic/cultural	948	WATER	AGUA_WATER
Chacon-2017-129-4	4	agutí	agouti	cultural	313	AGOUTI	AGUTÍ_AGOUTI
Chacon-2017-129-5	5	ajahuasca, jajé	banisterium	cultural	276	BANISTERIUM	AJAHUASCA//JAJÉ_BANISTERIUM
Chacon-2017-129-6	6	ají	chili pepper	cultural	919	CHILI PEPPER	AJÍ_CHILI PEPPER
Chacon-2017-129-7	7	algodón	cotton	cultural	1850	COTTON	ALGODÓN_COTTON
Chacon-2017-129-8	8	armadillo, quinquincho, chupa	armadillo	cultural	1885	ARMADILLO	ARMADILLO//QUINQUINCHO//CHUPA_ARMADILLO
Chacon-2017-129-9	9	beber	drink	basic/cultural	1401	DRINK	BEBER_DRINK
Chacon-2017-129-10	10	caimán	cayman	cultural	2438	CAIMAN	CAIMÁN_CAYMAN
Chacon-2017-129-11	11	calabazo poro	gourd	cultural	411	GOURD	CALABAZO PORO_GOURD
Chacon-2017-129-12	12	camino, sendero, trocha	path, trail	basic/cultural			CAMINO//SENDERO//TROCHA_PATH//TRAIL
Chacon-2017-129-13	13	camote, batata	sweet potato	cultural	159	SWEET POTATO	CAMOTE//BATATA_SWEET POTATO
Chacon-2017-129-14	14	candela, fuego	fire	basic/cultural	221	FIRE	CANDELA//FUEGO_FIRE
Chacon-2017-129-15	15	canoa	canoe	cultural	1970	CANOE	CANOA_CANOE
Chacon-2017-129-16	16	caribe	piranha	cultural	317	PIRANHA	CARIBE_PIRANHA
Chacon-2017-129-17	17	casa	house	cultural	1252	HOUSE	CASA_HOUSE
Chacon-2017-129-18	18	catarata, raudal	rapids	cultural	1670	RAPIDS	CATARATA//RAUDAL_RAPIDS
Chacon-2017-129-19	19	caña brava	cane	cultural	146	SUGAR CANE	CAÑA BRAVA_CANE
Chacon-2017-129-20	20	cerbatana	blowgun	cultural	432	BLOWGUN	CERBATANA_BLOWGUN
Chacon-2017-129-21	21	chicha, masato	chicha	cultural	441	CHICHA	CHICHA//MASATO_CHICHA
Chacon-2017-129-22	22	chigüiro, ronsoco	capybara	cultural	314	CAPYBARA	CHIGÜIRO//RONSOCO_CAPYBARA
Chacon-2017-129-23	23	chonta	chonta palm	cultural	440	CHONTA PALM	CHONTA_CHONTA PALM
Chacon-2017-129-24	24	cinco	five	cultural	493	FIVE	CINCO_FIVE
Chacon-2017-129-25	25	coca	coca	cultural	137	COCA	COCA_COCA
Chacon-2017-129-26	26	corona	crown of head	cultural	1943	CROWN (OF HEAD)	CORONA_CROWN OF HEAD
Chacon-2017-129-27	27	cuchillo	knife	cultural	1352	KNIFE	CUCHILLO_KNIFE
Chacon-2017-129-28	28	cuerno	horn	basic/cultural	1393	HORN (ANATOMY)	CUERNO_HORN
Chacon-2017-129-29	29	curandero	shaman, folk healer	cultural	394	SHAMAN (FOLK HEALER)	CURANDERO_SHAMAN//FOLK HEALER
Chacon-2017-129-30	30	danta	tapir	cultural	312	TAPIR	DANTA_TAPIR
Chacon-2017-129-31	31	diente	tooth	basic/cultural	1380	TOOTH	DIENTE_TOOTH
Chacon-2017-129-32	32	dos	two	basic/cultural	1498	TWO	DOS_TWO
Chacon-2017-129-33	33	estera	mat	cultural	195	MAT	ESTERA_MAT
Chacon-2017-129-34	34	estrella	star	basic/cultural	1430	STAR	ESTRELLA_STAR
Chacon-2017-129-35	35	flecha	arrow	cultural	977	ARROW	FLECHA_ARROW
Chacon-2017-129-36	36	gallinazo	buzzard	cultural	1865	BUZZARD	GALLINAZO_BUZZARD
Chacon-2017-129-37	37	gato	cat	cultural	1208	CAT	GATO_CAT
Chacon-2017-129-38	38	gente	people	basic/cultural	789	PEOPLE	GENTE_PEOPLE
Chacon-2017-129-39	39	guacamayo	macaw	cultural	1630	MACAW	GUACAMAYO_MACAW
Chacon-2017-129-40	40	hacha	axe	cultural	677	AXE	HACHA_AXE
Chacon-2017-129-41	41	hamaca	hammock	cultural	2019	HAMMOCK	HAMACA_HAMMOCK
Chacon-2017-129-42	42	harina de yuca	manioc flour	cultural	324	MANIOC FLOUR	HARINA DE YUCA_MANIOC FLOUR
Chacon-2017-129-43	43	hoja	leaf	basic/cultural	2250	LEAF (LEAFLIKE OBJECT)	HOJA_LEAF
Chacon-2017-129-44	44	hoja de árbol	tree leaf	basic/cultural	628	LEAF	HOJA DE ÁRBOL_TREE LEAF
Chacon-2017-129-45	45	hormiga	ant	cultural	587	ANT	HORMIGA_ANT
Chacon-2017-129-46	46	hueso	bone	basic/cultural	1394	BONE	HUESO_BONE
Chacon-2017-129-47	47	hígado	liver	basic/cultural	1224	LIVER	HÍGADO_LIVER
Chacon-2017-129-48	48	isla	island	cultural	622	ISLAND	ISLA_ISLAND
Chacon-2017-129-49	49	jabalí mayor	white-lipped peccary	cultural	436	WHITE-LIPPED PECCARY	JABALÍ MAYOR_WHITE-LIPPED PECCARY
Chacon-2017-129-50	50	lago	lake	cultural	624	LAKE	LAGO_LAKE
Chacon-2017-129-51	51	lanza	spear	cultural	945	SPEAR	LANZA_SPEAR
Chacon-2017-129-52	52	lechuza, buho	owl	cultural	735	OWL	LECHUZA//BUHO_OWL
Chacon-2017-129-53	53	lengua	tongue	basic/cultural	1205	TONGUE	LENGUA_TONGUE
Chacon-2017-129-54	54	león, puma	puma	cultural	1891	PUMA	LEÓN//PUMA_PUMA
Chacon-2017-129-55	55	lleno	full	basic/cultural	1429	FULL	LLENO_FULL
Chacon-2017-129-56	56	loro	parrot	cultural	882	PARROT	LORO_PARROT
Chacon-2017-129-57	57	luna	moon	cultural	1313	MOON	LUNA_MOON
Chacon-2017-129-58	58	mano	hand	basic/cultural	1277	HAND	MANO_HAND
Chacon-2017-129-59	59	mapana	anaconda, water boa	cultural	896	ANACONDA (WATER BOA)	MAPANA_ANACONDA//WATER BOA
Chacon-2017-129-60	60	marido, esposo	husband	cultural	1200	HUSBAND	MARIDO//ESPOSO_HUSBAND
Chacon-2017-129-61	61	marimonda, maquisapa	spider monkey	cultural	434	SPIDER MONKEY	MARIMONDA//MAQUISAPA_SPIDER MONKEY
Chacon-2017-129-62	62	maíz	corn, maize	cultural	506	MAIZE	MAÍZ_CORN//MAIZE
Chacon-2017-129-63	63	mono aullador	howler monkey	cultural	433	HOWLER MONKEY	MONO AULLADOR_HOWLER MONKEY
Chacon-2017-129-64	64	montaña	mountain	basic/cultural	639	MOUNTAIN	MONTAÑA_MOUNTAIN
Chacon-2017-129-65	65	monte	bush	cultural	1683	BUSH	MONTE_BUSH
Chacon-2017-129-66	66	morir	die	basic/cultural	1494	DIE	MORIR_DIE
Chacon-2017-129-67	67	nariz	nose	basic/cultural	1221	NOSE	NARIZ_NOSE
Chacon-2017-129-68	68	nigua, pigue	chiggoe, jigger flea	cultural	438	CHIGGOE (JIGGER FLEA)	NIGUA//PIGUE_CHIGGOE//JIGGER FLEA
