ID	NUMBER	SRCID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	COMMENT
Nagano-2013-1256-1	1	3	head	1256	HEAD	
Nagano-2013-1256-2	2	4	have a headache (v)			
Nagano-2013-1256-3	3	5	stubborn/People say he does not listen.			
Nagano-2013-1256-4	4	7	hair of the head	2678	HAIR OR FUR	
Nagano-2013-1256-5	5	9	brain	1583	BRAIN	
Nagano-2013-1256-6	6	11	forehead	123	FOREHEAD	
Nagano-2013-1256-7	7	13	eye	1248	EYE	
Nagano-2013-1256-8	8	14	eyeball			
Nagano-2013-1256-9	9	16	eyebrow	1173	EYEBROW	
Nagano-2013-1256-10	10	17	eyelash	1540	EYELASH	
Nagano-2013-1256-11	11	19	tears	1651	TEAR (OF EYE)	
Nagano-2013-1256-12	12	21	blind	1653	BLIND	
Nagano-2013-1256-13	13	22	blind	1653	BLIND	
Nagano-2013-1256-14	14	24	nose	1221	NOSE	
Nagano-2013-1256-15	15	25	snivel	208	NASAL MUCUS (SNOT)	
Nagano-2013-1256-16	16	27	ear	1247	EAR	
Nagano-2013-1256-17	17	28	ear wax	32	EARWAX	
Nagano-2013-1256-18	18	30	deaf	996	DEAF	
Nagano-2013-1256-19	19	32	mouth	674	MOUTH	
Nagano-2013-1256-20	20	34	lips	478	LIP	
Nagano-2013-1256-21	21	36	tongue	1205	TONGUE	
Nagano-2013-1256-22	22	38	dumb	1492	DUMB	
Nagano-2013-1256-23	23	40	tooth	1380	TOOTH	
Nagano-2013-1256-24	24	41	decay (v)			
Nagano-2013-1256-25	25	43	spittle	1503	SALIVA	
Nagano-2013-1256-26	26	44	saliva	1503	SALIVA	
Nagano-2013-1256-27	27	45	phlegm	3061	PHLEGM	
Nagano-2013-1256-28	28	47	breathe (v)	1407	BREATHE	
Nagano-2013-1256-29	29	49	voice	1363	VOICE	
Nagano-2013-1256-30	30	51	cough			
Nagano-2013-1256-31	31	53	cough (v)	879	COUGH	
Nagano-2013-1256-32	32	55	sneeze			
Nagano-2013-1256-33	33	57	sneeze (v)	1621	SNEEZE	
Nagano-2013-1256-34	34	59	yawn	1028	YAWN	
Nagano-2013-1256-35	35	60	hiccup (v)	162	HICCOUGH	
Nagano-2013-1256-36	36	61	belch (v)	2245	BELCH	
Nagano-2013-1256-37	37	63	jaw, chin	1510	CHIN	
Nagano-2013-1256-38	38	65	face	1560	FACE	
Nagano-2013-1256-39	39	66	feel shamed (v)	1894	ASHAMED	
Nagano-2013-1256-40	40	68	cheek	1730	CHEEK	
Nagano-2013-1256-41	41	69	temple	1604	TEMPLES	
Nagano-2013-1256-42	42	71	mustache	1165	MOUSTACHE	
Nagano-2013-1256-43	43	72	beard	678	BEARD	
Nagano-2013-1256-44	44	73	whiskers			腮须  sideburns
Nagano-2013-1256-45	45	75	neck	1333	NECK	
Nagano-2013-1256-46	46	76	neck	1333	NECK	
Nagano-2013-1256-47	47	77	nape	1347	NAPE (OF NECK)	
Nagano-2013-1256-48	48	79	throat	1346	THROAT	
Nagano-2013-1256-49	49	80	throat	1346	THROAT	
Nagano-2013-1256-50	50	82	shoulder	1482	SHOULDER	
Nagano-2013-1256-51	51	83	shoulder blade	172	SHOULDERBLADE	
Nagano-2013-1256-52	52	85	arm	1673	ARM	
Nagano-2013-1256-53	53	87	elbow	981	ELBOW	
Nagano-2013-1256-54	54	89	wrist	799	WRIST	
Nagano-2013-1256-55	55	91	hand	1277	HAND	
Nagano-2013-1256-56	56	93	palm	1183	PALM OF HAND	
Nagano-2013-1256-57	57	95	finger	1303	FINGER	
Nagano-2013-1256-58	58	101	nail	1258	FINGERNAIL	
Nagano-2013-1256-59	59	103	fist	1473	FIST	
Nagano-2013-1256-60	60	105	breast	1592	CHEST	
Nagano-2013-1256-61	61	106	breast (of woman)	1402	BREAST	
Nagano-2013-1256-62	62	107	mother's milk			
Nagano-2013-1256-63	63	109	rib	801	RIB	
Nagano-2013-1256-64	64	111	lungs	688	LUNG	
Nagano-2013-1256-65	65	113	heart	1223	HEART	
Nagano-2013-1256-66	66	115	belly	1251	BELLY	
Nagano-2013-1256-67	67	118	guts	1334	GUTS	
Nagano-2013-1256-68	68	120	bowels	1991	INTESTINES	
Nagano-2013-1256-69	69	122	stomach	819	STOMACH	
Nagano-2013-1256-70	70	124	liver	1224	LIVER	
Nagano-2013-1256-71	71	126	kidneys	489	KIDNEY	
Nagano-2013-1256-72	72	128	navel	1838	NAVEL	
Nagano-2013-1256-73	73	130	back	1291	BACK	
Nagano-2013-1256-74	74	131	back (vs. front)	2323	BACK (PART)	
Nagano-2013-1256-75	75	133	waist	1681	WAIST	
Nagano-2013-1256-76	76	134	buttocks	834	BUTTOCKS	
Nagano-2013-1256-77	77	136	excrement	675	FAECES (EXCREMENT)	
Nagano-2013-1256-78	78	137	excrement of sheep			
Nagano-2013-1256-79	79	138	excrement of cattle			
Nagano-2013-1256-80	80	139	excrement of horse			
Nagano-2013-1256-81	81	140	excrement of donkey			
Nagano-2013-1256-82	82	142	void feces (vt)	676	SHIT (DEFECATE)	
Nagano-2013-1256-83	83	143	void feces (vi)	676	SHIT (DEFECATE)	
Nagano-2013-1256-84	84	145	bladder	1746	BLADDER	
Nagano-2013-1256-85	85	147	urine	1142	URINE	
Nagano-2013-1256-86	86	149	urinate (v)	592	PISS	
Nagano-2013-1256-87	87	151	toilet	219	TOILET	
Nagano-2013-1256-88	88	153	fart	1159	FART	
Nagano-2013-1256-89	89	155	penis	1222	PENIS	
Nagano-2013-1256-90	90	156	penis	1222	PENIS	
Nagano-2013-1256-91	91	158	testicles	797	TESTICLES	
Nagano-2013-1256-92	92	159	testicles	797	TESTICLES	
Nagano-2013-1256-93	93	161	vulva	1837	VULVA	
Nagano-2013-1256-94	94	163	thigh	800	THIGH	
Nagano-2013-1256-95	95	165	knee	1371	KNEE	
Nagano-2013-1256-96	96	167	leg	1297	LEG	
Nagano-2013-1256-97	97	168	shin	186	SHIN	
Nagano-2013-1256-98	98	169	calf	1989	CALF	
Nagano-2013-1256-99	99	171	foot	1301	FOOT	
Nagano-2013-1256-100	100	173	limp (v)	366	LIMP	
Nagano-2013-1256-101	101	175	body	1480	BODY	
Nagano-2013-1256-102	102	176	corpse	767	CORPSE	
Nagano-2013-1256-103	103	178	hair of skin	189	HAIR (BODY)	
Nagano-2013-1256-104	104	180	skin	763	SKIN	
Nagano-2013-1256-105	105	182	birth-mark	1751	BIRTHMARK	
Nagano-2013-1256-106	106	183	bruise	1148	BRUISE	
Nagano-2013-1256-107	107	185	mole	1907	MOLE	
Nagano-2013-1256-108	108	187	pockmark	530	FRECKLE	
Nagano-2013-1256-109	109	189	a burn			
Nagano-2013-1256-110	110	192	pus	1808	PUS	
Nagano-2013-1256-111	111	194	sweat	125	SWEAT (SUBSTANCE)	
Nagano-2013-1256-112	112	196	dirt	25	DIRT	
Nagano-2013-1256-113	113	198	blood	946	BLOOD	
Nagano-2013-1256-114	114	200	bone	1394	BONE	
Nagano-2013-1256-115	115	201	marrow	1835	MARROW	
Nagano-2013-1256-116	116	203	flesh	2259	FLESH	
Nagano-2013-1256-117	117	205	strength	202	STRENGTH	
Nagano-2013-1256-118	118	206	power (political)	2526	POWER	
Nagano-2013-1256-119	119	208	look at (vt)	1819	LOOK	
Nagano-2013-1256-120	120	209	see (vi)	1409	SEE	
Nagano-2013-1256-121	121	211	smell it (v)	1586	SMELL (PERCEIVE)	
Nagano-2013-1256-122	122	213	listen to (vt)	1608	LISTEN	
Nagano-2013-1256-123	123	214	hear (vi)	1408	HEAR	
Nagano-2013-1256-124	124	216	laugh (v)	1355	LAUGH	
Nagano-2013-1256-125	125	218	cry, weep (v)	1839	CRY	
Nagano-2013-1256-126	126	220	shout (v)	715	SHOUT	
Nagano-2013-1256-127	127	223	clothing			
Nagano-2013-1256-128	128	224	cloths in general	1895	CLOTHES	
Nagano-2013-1256-129	129	226	Tibetan cloth			
Nagano-2013-1256-130	130	227	sleeve	2953	SLEEVE	
Nagano-2013-1256-131	131	232	clothe (v)			
Nagano-2013-1256-132	132	0232a	wear (v)	976	WEAR	
Nagano-2013-1256-133	133	234	dress sm stg (vt)	814	DRESS UP	
Nagano-2013-1256-134	134	236	take off (vt)	3538	TAKE OFF	
Nagano-2013-1256-135	135	238	naked	590	NAKED	
Nagano-2013-1256-136	136	240	hat	771	HAT	
Nagano-2013-1256-137	137	242	umbrella	3105	UMBRELLA	
Nagano-2013-1256-138	138	244	pagne	1965	LOINCLOTH	
Nagano-2013-1256-139	139	246	trousers	809	TROUSERS	
Nagano-2013-1256-140	140	248	belt	772	BELT	
Nagano-2013-1256-141	141	250	collar	2012	COLLAR	
Nagano-2013-1256-142	142	252	shoe	1381	SHOE	
Nagano-2013-1256-143	143	254	barefooted			
Nagano-2013-1256-144	144	256	cloth (n)	1616	CLOTH	
Nagano-2013-1256-145	145	258	cotton	1850	COTTON	
Nagano-2013-1256-146	146	260	flax	916	LINEN	
Nagano-2013-1256-147	147	262	wool/wool (山羊毛)	964	WOOL	
