ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	PORTUGUESE
Chacon-2019-220-1	1	grate	3114	GRATE (SOMETHING)	raspar
Chacon-2019-220-2	2	hairy			piloso (peludo
Chacon-2019-220-3	3	he	1211	HE	ele
Chacon-2019-220-4	4	instrumental			instrumental
Chacon-2019-220-5	5	manioc flour in water			chibe
Chacon-2019-220-6	6	manioc squeezer			tipiti
Chacon-2019-220-7	7	good morning			bom dia
Chacon-2019-220-8	8	river chanel			paranã
Chacon-2019-220-9	9	porrige	3651	MUSH (FOOD)	mingau
Chacon-2019-220-10	10	sand	3460	BEACH	Praia
Chacon-2019-220-11	11	above	1741	ABOVE	encima
Chacon-2019-220-12	12	afternoon	1807	AFTERNOON	tarde
Chacon-2019-220-13	13	all	98	ALL	todos
Chacon-2019-220-14	14	anaconda	896	ANACONDA (WATER BOA)	cobra-grande
Chacon-2019-220-15	15	and	1577	AND	e
Chacon-2019-220-16	16	animal	619	ANIMAL	animal
Chacon-2019-220-17	17	arm	1673	ARM	braço
Chacon-2019-220-18	18	ash	646	ASH	cinza
Chacon-2019-220-19	19	back	1291	BACK	costas
Chacon-2019-220-20	20	bad	1292	BAD	mal
Chacon-2019-220-21	21	bark	1204	BARK	casca
Chacon-2019-220-22	22	alive	1422	BE ALIVE	vivo
Chacon-2019-220-23	23	born	1090	BE BORN	Nascer
Chacon-2019-220-24	24	behind	1686	BEHIND	atrás
Chacon-2019-220-25	25	belly	1251	BELLY	barriga
Chacon-2019-220-26	26	below	1485	BELOW OR UNDER	em baixo
Chacon-2019-220-27	27	big	1202	BIG	grande
Chacon-2019-220-28	28	bird	937	BIRD	pássaro
Chacon-2019-220-29	29	bite	1403	BITE	morder
Chacon-2019-220-30	30	black	163	BLACK	preto
Chacon-2019-220-31	31	blood	946	BLOOD	sangue
Chacon-2019-220-32	32	blow	176	BLOW (WITH MOUTH)	soprar
Chacon-2019-220-33	33	dull	379	BLUNT	embotado
Chacon-2019-220-34	34	bone	1394	BONE	osso
Chacon-2019-220-35	35	boy, child	1366	BOY	menino
Chacon-2019-220-36	36	breast	1402	BREAST	seio
Chacon-2019-220-37	37	burn	2102	BURN	queimar
Chacon-2019-220-38	38	canoe	1970	CANOE	Canoa
Chacon-2019-220-39	39	chest	1592	CHEST	peito
Chacon-2019-220-40	40	clean	704	CLEAN	limpo
Chacon-2019-220-41	41	cloud	1489	CLOUD	nuvem
Chacon-2019-220-42	42	cold	1287	COLD	frio
Chacon-2019-220-43	43	come	1446	COME	vir
Chacon-2019-220-44	44	cook	1100	COOK (SOMETHING)	Cozinhar
Chacon-2019-220-45	45	corpse	767	CORPSE	Cadáver
Chacon-2019-220-46	46	correct	1725	CORRECT (RIGHT)	correto
Chacon-2019-220-47	47	count	1420	COUNT	contar
Chacon-2019-220-48	48	cut	1432	CUT	cortar
Chacon-2019-220-49	49	dark	706	DARK	escuro
Chacon-2019-220-50	50	day	1260	DAY (24 HOURS)	dia
Chacon-2019-220-51	51	devil	1973	DEMON	Diabo
Chacon-2019-220-52	52	die	1494	DIE	morrer
Chacon-2019-220-53	53	dig	1418	DIG	cavar
Chacon-2019-220-54	54	dirty	1230	DIRTY	sujo
Chacon-2019-220-55	55	dog	2009	DOG	cachorro
Chacon-2019-220-56	56	drink	1401	DRINK	beber
Chacon-2019-220-57	57	dry	1398	DRY	seco
Chacon-2019-220-58	58	dust	2	DUST	poeira
Chacon-2019-220-59	59	ear	1247	EAR	orelha
Chacon-2019-220-60	60	earth	1228	EARTH (SOIL)	terra
Chacon-2019-220-61	61	eat	1336	EAT	comer
Chacon-2019-220-62	62	egg	744	EGG	ovo
Chacon-2019-220-63	63	eye	1248	EYE	olho
Chacon-2019-220-64	64	fall	1280	FALL	cair
Chacon-2019-220-65	65	far	1406	FAR	longe
Chacon-2019-220-66	66	grease	323	FAT (ORGANIC SUBSTANCE)	gordura
Chacon-2019-220-67	67	father	1217	FATHER	pai
Chacon-2019-220-68	68	afraid	1419	FEAR (BE AFRAID)	ter medo
Chacon-2019-220-69	69	feather	1201	FEATHER	pena
Chacon-2019-220-70	70	few	1242	FEW	poucos
Chacon-2019-220-71	71	field	212	FIELD	roça
Chacon-2019-220-72	72	fight	1423	FIGHT	lutar
Chacon-2019-220-73	73	nail	1896	FINGERNAIL OR TOENAIL	unha
Chacon-2019-220-74	74	fire	221	FIRE	fogo
Chacon-2019-220-75	75	fish	227	FISH	peixe
Chacon-2019-220-76	76	fish (v)	2638	FISHING	Pescar
Chacon-2019-220-77	77	five	493	FIVE	cinco
Chacon-2019-220-78	78	meat	2615	FLESH OR MEAT	carne
Chacon-2019-220-79	79	float	1574	FLOAT	fllutuar
Chacon-2019-220-80	80	flower	239	FLOWER	flor
Chacon-2019-220-81	81	fly	1441	FLY (MOVE THROUGH AIR)	voar
Chacon-2019-220-82	82	fog	249	FOG	neblina
Chacon-2019-220-83	83	foot	1301	FOOT	pé
Chacon-2019-220-84	84	jungle	3808	JUNGLE	selva
Chacon-2019-220-85	85	four	1500	FOUR	quatro
Chacon-2019-220-86	86	fruit	1507	FRUIT	fruta
Chacon-2019-220-87	87	full	1429	FULL	cheio
Chacon-2019-220-88	88	fur	580	FUR	pelo
Chacon-2019-220-89	89	girl	1646	GIRL	Menina
Chacon-2019-220-90	90	give	1447	GIVE	dar
Chacon-2019-220-91	91	go	695	GO	ir
Chacon-2019-220-92	92	good	1035	GOOD	bom
Chacon-2019-220-93	93	herb, grass			erva, capim
Chacon-2019-220-94	94	green	1425	GREEN	verde
Chacon-2019-220-95	95	guts	1334	GUTS	tripa
Chacon-2019-220-96	96	hair	2648	HAIR (HEAD)	cabelo
Chacon-2019-220-97	97	hammock	2019	HAMMOCK	rede
Chacon-2019-220-98	98	hand	1277	HAND	mão
Chacon-2019-220-99	99	head	1256	HEAD	cabeça
Chacon-2019-220-100	100	louse	310	HEAD LOUSE	piolho
Chacon-2019-220-101	101	hear	1408	HEAR	ouvir
Chacon-2019-220-102	102	heart	1223	HEART	coração
Chacon-2019-220-103	103	heavy	1210	HEAVY	pesado
Chacon-2019-220-104	104	here	136	HERE	aqui
Chacon-2019-220-105	105	hit	1433	HIT	bater
Chacon-2019-220-106	106	hold	1448	HOLD	segurar
Chacon-2019-220-107	107	horn	1393	HORN (ANATOMY)	chifre
Chacon-2019-220-108	108	hot	2272	HOT OR WARM	quente
Chacon-2019-220-109	109	how	1239	HOW	como
Chacon-2019-220-110	110	hunt	1435	HUNT	caçar
Chacon-2019-220-111	111	husband	1200	HUSBAND	marido
Chacon-2019-220-112	112	i	1209	I	eu
Chacon-2019-220-113	113	home (at home)			em casa
Chacon-2019-220-114	114	in	1460	IN	em
Chacon-2019-220-115	115	inside	1606	INSIDE	dentro
Chacon-2019-220-116	116	jaguar	1250	JAGUAR	onça
Chacon-2019-220-117	117	kill	1417	KILL	matar
Chacon-2019-220-118	118	knee	1371	KNEE	joelho
Chacon-2019-220-119	119	know	1410	KNOW (SOMETHING)	saber
Chacon-2019-220-120	120	lake	624	LAKE	lago
Chacon-2019-220-121	121	tapuru	2640	LARVA	tapuru
Chacon-2019-220-122	122	leaf	628	LEAF	folha
Chacon-2019-220-123	123	left	244	LEFT	esquerdo
Chacon-2019-220-124	124	leg	1297	LEG	perna
Chacon-2019-220-125	125	lying	215	LIE DOWN	deitado
Chacon-2019-220-126	126	light (v)	737	LIGHT (IGNITE)	acender
Chacon-2019-220-127	127	lips	478	LIP	lábios
Chacon-2019-220-128	128	liver	1224	LIVER	fígado
Chacon-2019-220-129	129	long	1203	LONG	comprido
Chacon-2019-220-130	130	man	1554	MAN	homem
Chacon-2019-220-131	131	many	1198	MANY	muitos
Chacon-2019-220-132	132	milk	635	MILK	leite
Chacon-2019-220-133	133	moon	1313	MOON	lua
Chacon-2019-220-134	134	morning	1339	MORNING	manhã
Chacon-2019-220-135	135	mother	1216	MOTHER	mãe
Chacon-2019-220-136	136	mountain	639	MOUNTAIN	serra
Chacon-2019-220-137	137	mouth	674	MOUTH	boca
Chacon-2019-220-138	138	name	1405	NAME	nome
Chacon-2019-220-139	139	narrow	1267	NARROW	estreito
Chacon-2019-220-140	140	navel	1838	NAVEL	umbigo
Chacon-2019-220-141	141	near	1942	NEAR	perto
Chacon-2019-220-142	142	neck	1333	NECK	pescoço
Chacon-2019-220-143	143	new	1231	NEW	novo
Chacon-2019-220-144	144	night	1233	NIGHT	noite
Chacon-2019-220-145	145	no	1269	NO	não
Chacon-2019-220-146	146	nose	1221	NOSE	nariz
Chacon-2019-220-147	147	old	1229	OLD	velho
Chacon-2019-220-148	148	one	1493	ONE	um
Chacon-2019-220-149	149	other	197	OTHER	outro
Chacon-2019-220-150	150	path	2252	PATH	caminho
Chacon-2019-220-151	151	people	789	PEOPLE	gente
Chacon-2019-220-152	152	person, civilized			Pessoa Civilizado
Chacon-2019-220-153	153	pierce	398	PIERCE	furar
